asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0BH8CFTB3,10.99,"Clear Quartz with Amethyst Drusy Quartz Chip Tumbled Bracelet for Women Power Energy Balance Meditation Spitital Jewelry Adjustable (6""-7.5"")",4.2,USD,True,False,10.99,False,,,1,13,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",2.0,,https://m.media-amazon.com/images/I/71oFL+z0rQL._AC_UL320_.jpg,organic,7454898011,clear quartz,1,1,142.87,0.0,0.0
B07RJTMC73,12.95,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 6mm Round Beads",4.4,USD,True,False,12.95,False,,,1,2792,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",3.0,,https://m.media-amazon.com/images/I/71XF257Eo7L._AC_UL320_.jpg,organic,7454898011,clear quartz,1,2,36156.4,0.0,0.0
B09BDGDB7F,11.95,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 4mm Round Beads",4.4,USD,True,False,11.95,False,,,1,1056,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",4.0,,https://m.media-amazon.com/images/I/51M6kbO9u5L._AC_UL320_.jpg,organic,7454898011,clear quartz,1,3,12619.199999999999,0.0,0.0
B0CN2PQPKX,8.09,Natural Healing Power Gemstone Crystal Beads Unisex Adjustable Macrame Bracelets,4.5,USD,True,False,8.09,False,,,1,7870,False,8.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",5.0,,https://m.media-amazon.com/images/I/61iec8vUvcL._AC_UL320_.jpg,organic,7454898011,clear quartz,1,4,63668.299999999996,0.9000000000000004,0.10011123470522806
B0CF5XXXRP,15.99,"Natural Gemstone Semi Precious Healing Crystals Handmade Stretchy Round Beads Bracelet, Enhance Positive Energy",4.6,USD,True,False,15.99,False,,,1,2222,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",6.0,,https://m.media-amazon.com/images/I/71vc9PWuEvL._AC_UL320_.jpg,organic,7454898011,clear quartz,1,5,35529.78,0.0,0.0
B0C8LRYKR3,8.45,"Grade A++ Crystal Bead Bracelet, Wholesale Genuine Gemstone Stetch Bracelet, Healing Crystal Bracelet Bead Bracelet, Gift for Men & Women",4.4,USD,True,False,8.45,False,,,1,17,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",7.0,,https://m.media-amazon.com/images/I/51XJ20GYyLL._AC_UL320_.jpg,organic,7454898011,clear quartz,1,6,143.64999999999998,0.0,0.0
B086WLMJ2G,14.99,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 8mm Round Beads",4.5,USD,True,False,14.99,False,,,1,3448,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",8.0,,https://m.media-amazon.com/images/I/713HV+S0rtL._AC_UL320_.jpg,organic,7454898011,clear quartz,1,7,51685.520000000004,0.0,0.0
B072WGBS2Q,14.99,"Gemstone Beaded Stretch Bracelet 8mm Round Beads 7""",4.5,USD,True,False,14.99,False,,,1,2561,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",9.0,,https://m.media-amazon.com/images/I/71db9-gRdGL._AC_UL320_.jpg,organic,7454898011,clear quartz,1,8,38389.39,0.0,0.0
B075VD1P4N,7.99,Natural Gemstone Round Beads Stretch Bracelet Healing Reiki 8mm,4.5,USD,True,False,7.99,False,,,1,2150,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",10.0,,https://m.media-amazon.com/images/I/310v4oJKb-L._AC_UL320_.jpg,organic,7454898011,clear quartz,1,9,17178.5,0.0,0.0
B07N4GDD4Z,14.99,"Gemstone Beaded Stretch Bracelet Fit Various Wrist Sizes, 5 Layers Birthstone Chakra bracelet for Women Teen Girls",4.4,USD,True,False,14.99,False,,,1,357,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",11.0,,https://m.media-amazon.com/images/I/617fyxaUGfL._AC_UL320_.jpg,organic,7454898011,clear quartz,1,10,5351.43,0.0,0.0
