asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B07T8JFZVQ,17.95,14K Gold Plated 3mm Cubic Zirconia Classic Tennis Bracelet | Gold Bracelets for Women | Size 6.5-7.5 Inch,4.4,USD,True,True,17.95,False,,2K+ bought in past month,1,27320,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",1.0,,https://m.media-amazon.com/images/I/51PpuzQQniL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,1,490394.0,0.0,0.0
B0BVB9Z3NC,9.98,"Cubic Zirconia Adjustable Cuff Bracelet for Women Men, White Gold Plated CZ Bracelet and Anklets Chain",4.2,USD,True,False,9.98,False,,,1,68,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",3.0,,https://m.media-amazon.com/images/I/612bigPYP9L._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,2,678.64,0.0,0.0
B09Q29L3LH,11.99,18K Gold Plated Love Friendship Bracelet with Cubic Zirconia Stones Bangle Cuff Best Gifts with Crystal for Mother's Day Valentine's Day Wedding Couples and Birthdays,4.3,USD,True,True,11.99,False,,50+ bought in past month,1,1910,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",4.0,,https://m.media-amazon.com/images/I/51Ws6qHHjPL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,3,22900.9,0.0,0.0
B0CTM6PR6X,13.99,"Tennis Bracelet for Women, 14K Gold Plated Cubic Zirconia Adjustable Slider Bracelets Trendy Jewelry Gift",4.4,USD,True,False,13.99,False,,,1,413,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",5.0,,https://m.media-amazon.com/images/I/61LaYRzj6AL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,4,5777.87,0.0,0.0
B0CQ4XXKT2,13.99,Tennis Bracelets For Women Men - Silver Plated Bracelet Stack Cubic Zirconia CZ Diamond Adjustable Stackable Bracelets Set For Prom Wedding Jewelry Gift 3Pcs,4.6,USD,True,False,13.99,False,,100+ bought in past month,1,15,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",6.0,,https://m.media-amazon.com/images/I/81T7jFm2U0L._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,5,209.85,0.0,0.0
B0167Z9UQQ,12.99,Blue Tennis Cubic Zirconia Bracelet for Mom Daughter Womens Classic 14K Plated Sapphire Bangle Crystal Valentine's Day Jewelry Gifts,4.6,USD,True,False,12.99,False,,,1,1680,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",7.0,,https://m.media-amazon.com/images/I/71M-SsNc9FL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,6,21823.2,0.0,0.0
B08D6RP9VX,16.45,"14K Gold Plated Cubic Zirconia Classic Tennis Bracelet | Gold Bracelets for Women | 4mm CZ, Size 6.5-7.5 Inch",4.2,USD,True,False,16.45,False,,600+ bought in past month,1,2752,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",8.0,,https://m.media-amazon.com/images/I/61JPhR99XkL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,7,45270.4,0.0,0.0
B0BG35VGFS,6.99,Gold Plated Bracelets Silver Chain Bracelet Cubic Zirconia Tennis Bracelets for Women Rhinestones Bracelet for Women,4.4,USD,True,False,6.99,False,,,1,22,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",9.0,,https://m.media-amazon.com/images/I/51LxBXTrMnL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,8,153.78,0.0,0.0
B09QCBPM73,9.99,Adjustable Tennis Bracelets for Women Teen Girls Rainbow Cubic Zirconia Bracelet 14K White Gold Plated Hypoallergenic Slider Bracelet Jewelry Gift,4.4,USD,True,False,9.99,False,,,1,392,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",10.0,,https://m.media-amazon.com/images/I/71NC2tUbEsL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,9,3916.08,0.0,0.0
B0CSCZJ5VJ,16.99,14k Gold Filled Tennis Bracelet|3mm Cubic Zirconia Classic Tennis Bracelet|Gold Link Bracelets For Women 6.15/6.75/7.15 Inch,3.5,USD,True,False,16.99,False,,200+ bought in past month,1,235,False,25.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",11.0,,https://m.media-amazon.com/images/I/51MJEM2Z7DL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,10,3992.6499999999996,9.0,0.34628703347441325
B09NDM45SV,17.99,18K White/Yellow Gold Plated 3.0 Cubic Zirconia Classic Tennis Bracelet for Women and Men 6-9 Inches,4.3,USD,True,False,17.99,False,,,1,2334,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",12.0,,https://m.media-amazon.com/images/I/61aIhhQmsHL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,11,41988.659999999996,0.0,0.0
B08DL8DLJF,15.95,"14K Gold Plated Cubic Zirconia Bangle Classic Tennis Bracelet | 7.5"" Gold Bracelets for Women",4.5,USD,True,False,15.95,False,,50+ bought in past month,1,2006,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",13.0,,https://m.media-amazon.com/images/I/61BUeJ2KvDL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,12,31995.699999999997,0.0,0.0
B0B5DMQP5Q,13.99,Tennis Bracelet for Women and Men 3mm-7mm Cubic Zirconia 18K White Gold/Yellow Gold Plated Size 6-8.5 inches,4.3,USD,True,False,13.99,False,,,1,858,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",14.0,,https://m.media-amazon.com/images/I/61m0c0mtCVL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,13,12003.42,0.0,0.0
B08C5H6TT3,17.95,"14K Gold Plated Cubic Zirconia Classic Tennis Bracelet | Gold Bracelets for Women | 4mm CZ, Size 6.5-7.5 Inch",4.5,USD,True,False,17.95,False,,100+ bought in past month,1,3173,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",15.0,,https://m.media-amazon.com/images/I/61jooDNnH-S._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,14,56955.35,0.0,0.0
B08C5GQM39,18.45,"14K Gold Plated Cubic Zirconia Classic Tennis Bracelet | Gold Bracelets for Women | 4mm CZ, Size 6.5-7.5 Inch",4.5,USD,True,False,18.45,False,,100+ bought in past month,1,2118,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",16.0,,https://m.media-amazon.com/images/I/71fgRtrDQLL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,15,39077.1,0.0,0.0
B0CKW2KRWG,17.99,18K Yellow Gold Plated 3.0mm Cubic Zirconia Classic Tennis Bracelet for Women and Men,4.5,USD,True,False,17.99,False,,,1,2054,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",17.0,,https://m.media-amazon.com/images/I/61xonvD5T3L._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,16,36951.46,0.0,0.0
B0BYJQHNXS,9.98,Love Bracelets 18K Gold Plated Crystal Belt Bangle Cubic Zirconia Titanium Steel Classic Girl Women's Gift,3.8,USD,True,False,9.98,False,,,1,56,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",18.0,,https://m.media-amazon.com/images/I/619vIHlDwAL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,17,558.88,0.0,0.0
B0CHYFR6DH,6.23,Fashion Adjustable Slider Bolo Clasp Tennis Bracelet for Women Hypoallergenic White Gold Plated Cubic Zirconia Bracelets Gift Y4043,4.4,USD,True,False,6.23,False,,,1,51,False,8.99,FREE delivery on $35 shipped by Amazon.,19.0,,https://m.media-amazon.com/images/I/71fC7MAfptL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,18,317.73,2.76,0.30700778642936594
B0C9LVQKKK,15.99,14K Gold Plated Cubic Zirconia Classic Tennis Bracelet Adjustable,3.7,USD,True,False,15.99,False,,50+ bought in past month,1,7,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",20.0,,https://m.media-amazon.com/images/I/71jXdcpoKOL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,19,111.93,0.0,0.0
B0C6PRS75H,13.59,"Gold Bracelets for Women - 2Pcs 18K Gold Plated Love Cubic Zirconia Bangle Crystal Friendship Bracelet Jewelry,Wedding Party Christmas Valentine's Day Birthday Gifts for Her Girlfriend Sister Daughter",4.4,USD,True,False,13.59,False,,50+ bought in past month,1,483,False,16.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",21.0,,https://m.media-amazon.com/images/I/61HSKYnqcML._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,20,6563.97,3.3999999999999986,0.200117716303708
B0CFYP8PSM,17.99,"18K White Gold Heart Tennis Bracelet for Women Heart Cubic Zirconias, Size 6-8 inches",4.3,USD,True,False,17.99,False,,,1,42,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",22.0,,https://m.media-amazon.com/images/I/810YSVNoyYL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,21,755.5799999999999,0.0,0.0
B0CMD1NB5W,19.99,Cubic Zirconia Simulated Pearl Bridal Wedding Leaf Filigree Tennis Bracelet for Brides Bridesmaid Birthday Mothers Christmas Valentines Day Jewelry Gifts for Women,4.4,USD,True,False,19.99,False,,,1,23,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",23.0,,https://m.media-amazon.com/images/I/61G6M5uxE2L._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,22,459.77,0.0,0.0
B01MU49KLO,13.95,14K Gold Plated Cubic Zirconia Solitaire Diamond Bracelet | Bridesmaid Bracelets | Curb Cable Bracelets for Women,4.4,USD,True,False,13.95,False,,50+ bought in past month,1,2931,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",24.0,,https://m.media-amazon.com/images/I/61zOlgZo3lL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,23,40887.45,0.0,0.0
B09NN2LXWH,18.99,GMESME 18K White Gold Plated 4.0 Round Cubic Zirconia Classic Tennis Bracelet 6/6.5/7/7.5/8/8.5/9 Inch,4.4,USD,True,False,18.99,False,,,1,2403,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",25.0,,https://m.media-amazon.com/images/I/61LY5xWTLUL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,24,45632.969999999994,0.0,0.0
B017A5SXDS,19.99,"Sparkling Multi-Color Round Cubic Zirconia CZ Women's Tennis Bracelet (7.50 cttw, 7 Inch)",4.5,USD,True,False,19.99,False,,,1,895,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",26.0,,https://m.media-amazon.com/images/I/6162f7Xw5mL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,25,17891.05,0.0,0.0
B0D73KTB7J,9.99,18K Gold Plated Bracelets for Women Love Bangle with Cubic Zirconia Crystal Friendship Bracelets for Women Fashion Simple Jewelry Gifts,4.3,USD,True,False,9.99,False,,,1,7,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",27.0,,https://m.media-amazon.com/images/I/61imfcec2QL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,26,69.93,0.0,0.0
B09DRZ6L66,14.99,Gold Bracelets for Men and Women 18K Yellow Gold Plated 4.0 Round Cubic Zirconia Classic Tennis Bracelet Size 6-9 Inch,4.4,USD,True,False,14.99,False,,50+ bought in past month,1,596,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",28.0,,https://m.media-amazon.com/images/I/71G95hmvAgL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,27,8934.04,0.0,0.0
B0B2L58FF5,7.99,Gold Bangle Bracelet For Women 14K Real Gold Cuff Bracelets Cubic Zirconia Stainless Steel Water Proof Bracelet Gift,4.3,USD,True,False,7.99,False,,,1,296,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",29.0,,https://m.media-amazon.com/images/I/61BeCvr4TFL._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,28,2365.04,0.0,0.0
B0C88Z2372,15.99,Gold Tiny Pearl Bracelet 18K Gold Plated Baroque Freshwater Pearl Bracelet for Women Cubic Zirconia Adjustable Bracelet Dainty Gold Bracelet,4.2,USD,True,False,15.99,False,,,1,86,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",30.0,,https://m.media-amazon.com/images/I/61fX20N-17L._AC_UL320_.jpg,organic,7454898011,cubic zirconia,1,29,1375.14,0.0,0.0
