asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B01J3APTHQ,13.49,Rockcloud Healing Crystal Natural Rose Quartz Heart Love Carved Palm Worry Stone Chakra Reiki Balancing,4.6,USD,,False,13.49,True,,50+ bought in past month,1,3951,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JIoFaHwYKC3v7rHU4DUOWpcAAAGRLR-l_AEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICDJA4ul,paid,7454898011,fluorite,1,1,53298.99,0.0,0.0
B075VCG75G,9.99,Natural Gemstone Round Beads Stretch Bracelet Healing Reiki 8mm,4.5,USD,True,False,9.99,False,,,1,2150,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",2.0,,https://m.media-amazon.com/images/I/614ELxLsMgL._AC_UL320_.jpg,organic,7454898011,fluorite,1,1,21478.5,0.0,0.0
B0C8M3GHXG,8.6,"Grade A++ Crystal Bead Bracelet, Wholesale Genuine Gemstone Stetch Bracelet, Healing Crystal Bracelet Bead Bracelet, Gift for Men & Women",4.4,USD,True,False,8.6,False,,,1,17,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",3.0,,https://m.media-amazon.com/images/I/61JuP4SvuxL._AC_UL320_.jpg,organic,7454898011,fluorite,1,2,146.2,0.0,0.0
B07LDJB433,11.99,Charged Premium Natural Crystal Chip Bead Bracelet + Moroccan Selenite Charging Crystal [Included],4.3,USD,True,False,11.99,False,,,1,1282,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",4.0,,https://m.media-amazon.com/images/I/714MIUHNKjL._AC_UL320_.jpg,organic,7454898011,fluorite,1,3,15371.18,0.0,0.0
B08ZDH1C2L,8.59,4mm Natural Round Beads Gemstones Rock Crystal Stretch Bracelet 7 Inch Unisex,4.4,USD,True,False,8.59,False,,,1,448,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",5.0,,https://m.media-amazon.com/images/I/51H1TEQypTL._AC_UL320_.jpg,organic,7454898011,fluorite,1,4,3848.3199999999997,0.0,0.0
B095Y8ZJN9,18.99,Healing Stone Bracelet 8mm Beads Chakra Crystal Energy Heart Charm Bracelet Handmade Jewelry for Women,4.5,USD,True,False,18.99,False,,,1,6133,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",6.0,,https://m.media-amazon.com/images/I/51+DKYHOhmL._AC_UL320_.jpg,organic,7454898011,fluorite,1,5,116465.66999999998,0.0,0.0
B0CRHNDQJR,13.99,Crystal Rose Bracelet for Women 8mm Healing Crystals Gemstones Beaded Bracelet Anxiety Crystal Stone Stretch Bracelets Spiritual Crystal Gifts for Women Mothers Day,4.8,USD,True,False,13.99,False,,,1,5,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",7.0,,https://m.media-amazon.com/images/I/51POwliUKpL._AC_UL320_.jpg,organic,7454898011,fluorite,1,6,69.95,0.0,0.0
B07KNGTK3Z,12.99,Lotus Crystal Fluorite Healing Energy Bead Bracelet for Women Stainless Steel and Alloy,4.7,USD,True,False,12.99,False,,,1,730,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",8.0,,https://m.media-amazon.com/images/I/61LHctb7TdL._AC_UL320_.jpg,organic,7454898011,fluorite,1,7,9482.7,0.0,0.0
B09JWVBVXQ,15.99,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 8mm Round Beads",4.5,USD,True,False,15.99,False,,,1,3448,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",9.0,,https://m.media-amazon.com/images/I/51o+OvYJK+L._AC_UL320_.jpg,organic,7454898011,fluorite,1,8,55133.520000000004,0.0,0.0
B09JWTX4VV,13.99,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 6mm Round Beads",4.4,USD,True,False,13.99,False,,,1,2792,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",10.0,,https://m.media-amazon.com/images/I/51UhRZ-H6SL._AC_UL320_.jpg,organic,7454898011,fluorite,1,9,39060.08,0.0,0.0
B0C8F18CJ5,11.95,"Grade A ++ Gemstone Round Bead Adjustable Bracelet 10mm, Genuine Crystal Bead Bracelet, Gift for Men & Women",4.6,USD,True,False,11.95,False,,,1,24,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",11.0,,https://m.media-amazon.com/images/I/510mo-MaWiL._AC_UL320_.jpg,organic,7454898011,fluorite,1,10,286.79999999999995,0.0,0.0
B0C7FLVW56,8.6,"Crystal Bead Bracelet, Wholesale Genuine Stretch Gemstone Bracelet, Healing Crystal Bracelet, Gift for Men & Women",4.3,USD,True,False,8.6,False,,,1,33,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",12.0,,https://m.media-amazon.com/images/I/61JuP4SvuxL._AC_UL320_.jpg,organic,7454898011,fluorite,1,11,283.8,0.0,0.0
B0CXQ5KM7B,11.99,"Raw Stone Healing Bracelet for Meditation,Cleansing and Relaxing Purpose- Women's Crystal Jewelry for Clarity & Tranquility",4.5,USD,True,False,11.99,False,,,1,26,False,13.99,"FREE delivery Wed, Aug 14 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",13.0,,https://m.media-amazon.com/images/I/71p0CS401PL._AC_UL320_.jpg,organic,7454898011,fluorite,1,12,311.74,2.0,0.14295925661186562
B08X1CNXD5,9.59,Gem Semi Precious Gemstones 8mm Round Beads Crystal Stretch Bracelets 7 Inch Unisex,4.5,USD,True,False,9.59,False,,,1,221,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",14.0,,https://m.media-amazon.com/images/I/61cl7Wl9lAL._AC_UL320_.jpg,organic,7454898011,fluorite,1,13,2119.39,0.0,0.0
B08XBRPWS7,9.69,Gem Semi Precious Gemstones Crystal 8mm Round Beads Adjustable Braided Macrame Tassels Bracelets Unisex,4.4,USD,True,False,9.69,False,,,1,82,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",15.0,,https://m.media-amazon.com/images/I/61tT3iaR7XS._AC_UL320_.jpg,organic,7454898011,fluorite,1,14,794.5799999999999,0.0,0.0
B07PPHR7PL,18.99,"8mm Genuine Gemstone Stretch Bracelet for Women Men Unisex, Natural Energy Crystal Stone Beads, Classic Simple Design Cuff Birthday Gift 7.5 Inch",4.5,USD,True,False,18.99,False,,,1,562,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",16.0,,https://m.media-amazon.com/images/I/516Ix-cGHOL._AC_UL320_.jpg,organic,7454898011,fluorite,1,15,10672.38,0.0,0.0
