asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B07BY9BLVQ,169.0,19.20 ct. t.w. Garnet Tennis Bracelet in Sterling Silver,4.7,USD,True,False,169.0,False,,,1,28,False,0.0,"FREE delivery Tomorrow, Aug 8",1,,https://m.media-amazon.com/images/I/615CMsVK+NL._AC_UL320_.jpg,organic,7454898011,garnet,1,1,4732.0,0.0,0.0
B01IJRJ4NE,19.97,Oval Ladies Tennis Bracelet inlay Garnet White Topaz Amethyst Citrine Peridot Pink Topaz 7 to 8 inch,4.4,USD,True,False,19.97,False,,,1,359,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",3,,https://m.media-amazon.com/images/I/71dLvjcHSmL._AC_UL320_.jpg,organic,7454898011,garnet,1,2,7169.23,0.0,0.0
B0722LH4NB,15.99,Natural Moonstone Labradorite Pearl Bangle For Women 6X9Mm Pear Shape Gemstone Silver Overlay Handmade Cuff Bangle Jewelry Women's Day Gift For Mom Wife Her,4.3,USD,True,False,15.99,False,,,1,1830,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",4,,https://m.media-amazon.com/images/I/61XrrCS+GCL._AC_UL320_.jpg,organic,7454898011,garnet,1,3,29261.7,0.0,0.0
B09BDFKV6M,13.99,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 4mm Round Beads",4.4,USD,True,False,13.99,False,,,1,1056,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",5,,https://m.media-amazon.com/images/I/61y69qP8QAL._AC_UL320_.jpg,organic,7454898011,garnet,1,4,14773.44,0.0,0.0
B089QBP5TV,11.99,"Natural Healing Gemstone Bracelet, 8mm Semi Precious Stone Bracelet for Men Women, Stress Relief Crystal Jewelry",4.5,USD,True,False,11.99,False,,,1,1237,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",6,,https://m.media-amazon.com/images/I/61WfCCpm8RL._AC_UL320_.jpg,organic,7454898011,garnet,1,5,14831.630000000001,0.0,0.0
B01N0ST8B8,22.97,Classic Ladies Bracelet Garnet White Topaz Amethyst Citrine Peridot Pink Topza 7 Inches,4.4,USD,True,False,22.97,False,,300+ bought in past month,1,1521,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",7,,https://m.media-amazon.com/images/I/61WJSkQbMbL._AC_UL320_.jpg,organic,7454898011,garnet,1,6,34937.369999999995,0.0,0.0
B0D5LHWBX3,13.99,Birthstone Bracelets for Women Gold Dainty Link Bracelet Birthstone Jewelry Birthday Gifts for Her Mom Wife Girlfriend Anniversary Jewelry,4.6,USD,True,False,13.99,False,,,1,24,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",8,,https://m.media-amazon.com/images/I/515Rn1DH5JL._AC_UL320_.jpg,organic,7454898011,garnet,1,7,335.76,0.0,0.0
B091C68G2V,71.99,"Birthstone Bracelets Sterling Silver Tennis Bracelets Charm Fine Jewelry Birthday Jewelry Gifts for Women Mom 7""",4.3,USD,True,False,71.99,False,,,1,1100,False,89.99,"FREE delivery Wed, Aug 14",9,,https://m.media-amazon.com/images/I/61h9qrXNjnL._AC_UL320_.jpg,organic,7454898011,garnet,1,8,79189.0,18.0,0.20002222469163242
B000SMNJ6M,64.0,18k Yellow Gold Plated Sterling Silver Genuine Gemstones and Diamond Accent Tennis Bracelet (previously Amazon Collection),4.6,USD,True,False,64.0,False,,,1,508,False,76.0,"FREE delivery Wed, Aug 14",10,,https://m.media-amazon.com/images/I/81Khlw4DF7L._AC_UL320_.jpg,organic,7454898011,garnet,1,9,32512.0,12.0,0.15789473684210525
B01ES81G7A,89.99,925 Sterling Silver Red Garnet Tennis Bracelet For Women | 4.50 Cttw | January Gemstone Birthstone | 3MM Round Garnet | Fully Adjustable Up to 9 Inch,4.4,USD,True,False,89.99,False,,,1,119,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",11,,https://m.media-amazon.com/images/I/61eLdYMpqGL._AC_UL320_.jpg,organic,7454898011,garnet,1,10,10708.81,0.0,0.0
