asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B09DKL6D1Q,19.97,Gold Layered Necklace Set 3 PCS for Women Girls Dainty Trendy Paperclip Snake Choker Gold Filled Stainless Steel Figaro Chain Layering Necklaces Jewelry Gifts Square Pendant Letter A-Z,4.3,USD,,False,19.97,True,,50+ bought in past month,1,3521,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JKhkLPu6KDBOpgkBMi0_RQ4AAAGRLRZ_3QEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICD6AW2K,paid,7454898011,gold plated,1,1,70314.37,0.0,0.0
B09N6VBBZ7,19.99,Tennis Bracelet for Women 1 Row 18K Yellow Gold/White Gold Plated 5mm Round Cubic Zirconia Bracelets 6.5-8.5 inch,4.6,USD,,False,19.99,True,,50+ bought in past month,1,670,False,0.0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JD2TgDwQd86kevh_j_r8pjkAAAGRLRZ_7AEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICBB1eBC,paid,7454898011,gold plated,1,2,13393.3,0.0,0.0
B07QWYL28P,18.95,14K Gold Plated 3mm Cubic Zirconia Classic Tennis Bracelet | Gold Bracelets for Women | Size 6.5-7.5 Inch,4.4,USD,True,True,18.95,False,,1K+ bought in past month,1,27320,False,20.82,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",1.0,,https://m.media-amazon.com/images/I/610VsCaFMXL._AC_UL320_.jpg,organic,7454898011,gold plated,1,1,517714.0,1.870000000000001,0.08981748318924115
B09Q28D6DL,11.99,18K Gold Plated Love Friendship Bracelet with Cubic Zirconia Stones Bangle Cuff Best Gifts with Crystal for Mother's Day Valentine's Day Wedding Couples and Birthdays,4.3,USD,True,True,11.99,False,,1K+ bought in past month,1,1910,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",3.0,,https://m.media-amazon.com/images/I/517wf9Vl1YL._AC_UL320_.jpg,organic,7454898011,gold plated,1,2,22900.9,0.0,0.0
B08PC58G7R,15.45,14K Gold Plated Paperclip/Curb/Figaro Chain Adjustable Bracelet for Women,4.4,USD,True,False,15.45,False,,1K+ bought in past month,1,3016,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",4.0,,https://m.media-amazon.com/images/I/615uWhm5HsS._AC_UL320_.jpg,organic,7454898011,gold plated,1,3,46597.2,0.0,0.0
B0C1NPZZQ4,14.99,Dainty 14K Gold Stack Bracelet for Women - Trendy Bangle Cuff Figaro Satellite CZ Link Chain Bracelets Adjustable Waterproof,4.1,USD,True,False,14.99,False,,1K+ bought in past month,1,593,False,15.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",5.0,,https://m.media-amazon.com/images/I/51apL1Ih+8L._AC_UL320_.jpg,organic,7454898011,gold plated,1,4,8889.07,1.0,0.06253908692933083
B06ZZTWWBF,15.99,"14K Gold Plated Gold Bangle Bracelets for Women Christmas Birthday Gifts, Set of 7 Pieces",4.4,USD,True,False,15.99,False,,200+ bought in past month,1,1081,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",6.0,,https://m.media-amazon.com/images/I/61uOzCiFCHL._AC_UL320_.jpg,organic,7454898011,gold plated,1,5,17285.19,0.0,0.0
B08JPNLT9M,10.95,Dainty Layered Gold Chain Bracelet for Women 14K Gold Plated Handmade Adjustable Bracelet Satellite Beads Oval Mariner Figaro Link Chain Bracelets Minimalist Layering Stacking Jewelry Gift for Women,4.3,USD,True,False,10.95,False,,,1,570,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",7.0,,https://m.media-amazon.com/images/I/61n0-Or6zxL._AC_UL320_.jpg,organic,7454898011,gold plated,1,6,6241.5,0.0,0.0
B0D7M54M9D,10.99,"Dainty Gold Hand Chain Bracelet,18K Real Gold Plated Minimalist Handmade Beaded Finger Chain Bracelets for Women",5.0,USD,True,False,10.99,False,,,1,4,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",8.0,,https://m.media-amazon.com/images/I/41Aln+bFvOL._AC_UL320_.jpg,organic,7454898011,gold plated,1,7,43.96,0.0,0.0
B0C5CXKRY9,14.99,"Gold Bracelets for Women - 14K Gold Plated Dainty Bracelets Set, Layered Chain Bracelets Pack Jewelry",4.2,USD,True,False,14.99,False,,50+ bought in past month,1,595,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",9.0,,https://m.media-amazon.com/images/I/61Cwy+Y5vmL._AC_UL320_.jpg,organic,7454898011,gold plated,1,8,8919.05,0.0,0.0
