asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B09FPZC7DX,14.89,"Jovivi Hematite Black Obsidian Tiger Eye Stone Bracelets for Men Women 10mm Natural Round Gemstone Beads Beaded Healing Crystal Bracelet for Protection, Good Luck",4.3,USD,,False,14.89,True,,100+ bought in past month,1,776,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JLOpAVEzCuIuxfrvUd9EL3kAAAGRLR-3iAEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICC0TT5c,paid,7454898011,hematite,1,1,11554.640000000001,0.0,0.0
B097M3YVJ8,20.49,"Triple Protection Bracelet - 8mm Beaded Bracelet for Women Men - Natural Stones of Tiger Eye, Hematite, Black Obsidian - Healing Crystal Bracelet for Anxiety Relief - Adjustable Size",4.4,USD,,False,20.49,True,,200+ bought in past month,1,1179,False,24.99,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JPEjZcJegV0cUbAYpCdQHJ0AAAGRLR-3lQEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICCRJ-bO,paid,7454898011,hematite,1,2,24157.71,4.5,0.18007202881152462
B091YQKFQH,13.99,8 Pcs Hematite Bracelet Set for Men Women Stretch Round Bead Stone Bracelet Unisex Jewelry Gift,4.2,USD,True,False,13.99,False,,,1,284,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",1.0,,https://m.media-amazon.com/images/I/81XTxBrY+DS._AC_UL320_.jpg,organic,7454898011,hematite,1,1,3973.16,0.0,0.0
B0C645WHQB,7.99,"Healing Crystal Beaded Bracelets for Women,Natural Amethyst Gemstones Bracelet,Anxiety Stress Relief Heart Charm Bracelet Handmade purple Jewelry Gifts for Women",4.6,USD,True,False,7.99,False,,,1,288,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",3.0,,https://m.media-amazon.com/images/I/61R9wSq0c0L._AC_UL320_.jpg,organic,7454898011,hematite,1,2,2301.12,0.0,0.0
B089PV1TY1,8.99,"Natural Healing Gemstone Bracelet, 8mm Semi Precious Stone Bracelet for Men Women, Stress Relief Crystal Jewelry",4.5,USD,True,False,8.99,False,,,1,1237,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",4.0,,https://m.media-amazon.com/images/I/61jQiKIvdqL._AC_UL320_.jpg,organic,7454898011,hematite,1,3,11120.630000000001,0.0,0.0
B09DYWYJL8,9.79,"Black Obsidian Hematite Stretch Bracelet, Stacking Hematite Beaded Bracelet for Women Men Jewelry",4.3,USD,True,False,9.79,False,,,1,93,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",5.0,,https://m.media-amazon.com/images/I/61Q7jlJ8pYL._AC_UL320_.jpg,organic,7454898011,hematite,1,4,910.4699999999999,0.0,0.0
B09BDFBYBK,9.95,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 4mm Round Beads",4.4,USD,True,False,9.95,False,,,1,1056,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",6.0,,https://m.media-amazon.com/images/I/51N24SzL7rL._AC_UL320_.jpg,organic,7454898011,hematite,1,5,10507.199999999999,0.0,0.0
B0CRCNMKMV,24.99,Hematite Bracelet | AAA Grade Hematite Beads 8.5mm | Magnetic Hematite Bracelets for Men and Women,4.4,USD,True,False,24.99,False,,,1,25,False,29.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",7.0,,https://m.media-amazon.com/images/I/81816U4UuEL._AC_UL320_.jpg,organic,7454898011,hematite,1,6,624.75,5.0,0.16672224074691563
B0CBNZX9R3,7.99,"4pcs Beaded Bracelets for Women,Natural Healing Crystal Gemstones Bracelet,Anxiety Stress Relief Bracelet Handmade purple Jewelry Gifts for Women",4.6,USD,True,False,7.99,False,,300+ bought in past month,1,123,False,0.0,"FREE delivery Thu, Aug 15 on $35 of items shipped by Amazon",8.0,,https://m.media-amazon.com/images/I/71-GgPH6xqL._AC_UL320_.jpg,organic,7454898011,hematite,1,7,982.77,0.0,0.0
B0C8M2DM6K,7.45,"Grade A++ Crystal Bead Bracelet, Wholesale Genuine Gemstone Stetch Bracelet, Healing Crystal Bracelet Bead Bracelet, Gift for Men & Women",4.4,USD,True,False,7.45,False,,,1,17,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",9.0,,https://m.media-amazon.com/images/I/61poGygeFcL._AC_UL320_.jpg,organic,7454898011,hematite,1,8,126.65,0.0,0.0
B0CN2NB1HD,7.19,Natural Healing Power Gemstone Crystal Beads Unisex Adjustable Macrame Bracelets,4.5,USD,True,False,7.19,False,,,1,7870,False,7.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",10.0,,https://m.media-amazon.com/images/I/616Tn6ErZSL._AC_UL320_.jpg,organic,7454898011,hematite,1,9,56585.3,0.7999999999999998,0.10012515644555692
B0C3B2HFD9,7.99,Faceted Natural Hematite Crystal Bead Healing Energy Protection Stretch Bracelet 7 inch,0.0,USD,True,False,7.99,False,,,1,0,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",11.0,,https://m.media-amazon.com/images/I/51Y56q7AwhL._AC_UL320_.jpg,organic,7454898011,hematite,1,10,0.0,0.0,0.0
B0CP97BWWV,6.29,Healing Crystal Stone Bracelets for Women Men Stress Relief Anxiety Yoga Bracelet Semi-Precious Gemstone Bracelets Healing Gifts birthday Gifts For Teen Girls jade bracelet,3.7,USD,True,False,6.29,False,,,1,34,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",12.0,,https://m.media-amazon.com/images/I/61pM7+8DYZL._AC_UL320_.jpg,organic,7454898011,hematite,1,11,213.86,0.0,0.0
B0CMCK8HW9,8.99,Healing Crystal Bracelet Genuine Stone Bracelet Protection Anxiety Bracelet 7 Chakra Bracelet 6.5 inch Malachite Aquamarine Citrine 8MM Beads Get Well Soon Bracelet,4.5,USD,True,False,8.99,False,,50+ bought in past month,1,108,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",13.0,,https://m.media-amazon.com/images/I/81a9q+luIKL._AC_UL320_.jpg,organic,7454898011,hematite,1,12,970.9200000000001,0.0,0.0
B01N1MH2A8,9.95,"Gemstone Beaded Stretch Bracelet 8mm Round Beads 7""",4.5,USD,True,False,9.95,False,,,1,2561,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",14.0,,https://m.media-amazon.com/images/I/71WbGe7DFTL._AC_UL320_.jpg,organic,7454898011,hematite,1,13,25481.949999999997,0.0,0.0
B0CPX1DHDS,16.99,"Hematite - Unique Unisex Bracelets - Help Health Support - Meditation Yoga - 8mm Beads Stretch Bracelet for Men, Women, Her & Him With Luxury Gift Box",4.9,USD,True,False,16.99,False,,,1,32,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",15.0,,https://m.media-amazon.com/images/I/61sLXs6owbL._AC_UL320_.jpg,organic,7454898011,hematite,1,14,543.68,0.0,0.0
B07PZF8C8D,9.95,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 8mm Round Beads",4.5,USD,True,False,9.95,False,,,1,3448,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",16.0,,https://m.media-amazon.com/images/I/71ccOgQnZ5L._AC_UL320_.jpg,organic,7454898011,hematite,1,15,34307.6,0.0,0.0
B07PWYLKZZ,9.95,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 6mm Round Beads",4.4,USD,True,False,9.95,False,,,1,2792,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",17.0,,https://m.media-amazon.com/images/I/71Q6BjIs00L._AC_UL320_.jpg,organic,7454898011,hematite,1,16,27780.399999999998,0.0,0.0
B09B88ZPZP,6.59,2Pcs Hematite Obsidian Tiger Eye Stone Beaded Magnet Stretchy Bracelets for Women Men Meditation Yoga Jewelry,4.4,USD,True,False,6.59,False,,,1,27,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",18.0,,https://m.media-amazon.com/images/I/61FiEv1cj2L._AC_UL320_.jpg,organic,7454898011,hematite,1,17,177.93,0.0,0.0
B08VGQYDZ9,14.99,Hematite 486 Healing Stones Beaded Stretch Bracelet 2 size for men. Good Luck Therapy Bracelets. Strong Elastic Sring,4.4,USD,False,False,14.99,False,,,1,86,False,0.0,FREE delivery on $35 shipped by Amazon.,19.0,,https://m.media-amazon.com/images/I/61ny1JNYOnL._AC_UL320_.jpg,organic,7454898011,hematite,1,18,1289.14,0.0,0.0
B0CNKK6P2V,14.99,"Crystal Bracelets for Women and Men Birthday Gifts, Handmade 6mm Beaded Stone Bracelets for Chakra Balance, Reiki Healing, Positive Energy, Money, Good Luck Gifts for Mom",4.3,USD,True,False,14.99,False,,,1,144,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",20.0,,https://m.media-amazon.com/images/I/71cOIeYusxL._AC_UL320_.jpg,organic,7454898011,hematite,1,19,2158.56,0.0,0.0
B093GLJ2KG,6.99,Gemstone 6mm Natural Round Beads Gemstones Crystal Stretch Bracelet 7 Inch Unisex,4.5,USD,True,False,6.99,False,,,1,224,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",21.0,,https://m.media-amazon.com/images/I/61+KJRVuRES._AC_UL320_.jpg,organic,7454898011,hematite,1,20,1565.76,0.0,0.0
B0CJ4S32BG,14.99,Genuine Stone Wrap Bracelet for Women Natural Crystal Beaded Wrap Bracelet 2/3/5 Adjustable Bohemian Handmade Bracelet Jewelry Gifts for Women,4.5,USD,True,False,14.99,False,,,1,282,False,22.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",22.0,,https://m.media-amazon.com/images/I/71XLI2tvX3L._AC_UL320_.jpg,organic,7454898011,hematite,1,21,4227.18,7.999999999999998,0.3479773814702044
B0CRCVXG7L,19.99,"Tiger Eye Bracelet Men with Black Obsidian Beads and Hematite Crystals 8,5 mm. (AAA Grade) | Natural Crystal Bracelet For Women | Mens Wrist Bracelet | Unisex Jewelry Beaded Quartz Stones | Zinc Bracelet for Women",4.5,USD,True,False,19.99,False,,,1,11,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",23.0,,https://m.media-amazon.com/images/I/814KgQ7Yu+L._AC_UL320_.jpg,organic,7454898011,hematite,1,22,219.89,0.0,0.0
B07TSS1BFB,6.99,Hematite Leather Wrap Bracelets Beaded Healing Stone Cuff Bracelet Rhinestone Boho Jewelry Gift for Women with Clasp,4.3,USD,True,False,6.99,False,,,1,491,False,12.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",24.0,,https://m.media-amazon.com/images/I/71omloe4iJL._AC_UL320_.jpg,organic,7454898011,hematite,1,23,3432.09,6.0,0.4618937644341801
