asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0CN91M3NP,49.98,White Jade Bracelet for Women Green Jade Red Chalcedony Stone Beaded Stretch Bracelets Gemstone Beads Lucky Jewelry,5.0,USD,,False,49.98,True,,,1,1,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JEIrjZMG90Ty_YA3r7oBgmgAAAGRLRj-kgEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDEgICAzVIQb,paid,7454898011,jade,1,1,49.98,0.0,0.0
B09PSMZ4VV,20.49,Crystal Vibe Green Jade Bracelet for Women - Bring Good Luck Wealth Prosperity - Stress Relief Healing Crystal Bracelet - 8mm Beaded Bracelets for men - Adjustable Size - Mother's Day Gift,4.4,USD,,False,20.49,True,,200+ bought in past month,1,1179,False,0.0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JAwIpFaZQ0NO7DZG-oGD4LAAAAGRLRj-jwEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICAeH4Rj,paid,7454898011,jade,1,2,24157.71,0.0,0.0
B07BMCBQ2D,139.0,Jade Good Fortune Bracelet in 18kt Gold Over Sterling,4.3,USD,True,False,139.0,False,,100+ bought in past month,1,2256,False,0.0,"FREE delivery Tomorrow, Aug 8",1.0,,https://m.media-amazon.com/images/I/61rJXGnHFtL._AC_UL320_.jpg,organic,7454898011,jade,1,1,313584.0,0.0,0.0
B098F62FNK,139.0,Good Fortune Jade Bracelet in 18kt Gold Over Sterling,4.4,USD,True,False,139.0,False,,50+ bought in past month,1,642,False,0.0,"FREE delivery Tomorrow, Aug 8",2.0,,https://m.media-amazon.com/images/I/61NwhA7Ll1S._AC_UL320_.jpg,organic,7454898011,jade,1,2,89238.0,0.0,0.0
B0BY1MX7MM,12.99,2.3in Natural Guizhou cui green stone jade bracelet for women with box (59-60mm),3.9,USD,True,False,12.99,False,,100+ bought in past month,1,75,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",3.0,,https://m.media-amazon.com/images/I/41J7r2OH9kL._AC_UL320_.jpg,organic,7454898011,jade,1,3,974.25,0.0,0.0
B07CB9PL5W,99.0,10mm Jade Bead Stretch Bracelet,4.5,USD,True,False,99.0,False,,,1,70,False,0.0,"FREE delivery Tomorrow, Aug 8",5.0,,https://m.media-amazon.com/images/I/61mU+7HBe9L._AC_UL320_.jpg,organic,7454898011,jade,1,4,6930.0,0.0,0.0
B0CXS6XXJ2,11.99,"White Jade Bangle Bracelet for Women, Retro Style Ice Gray Natural Jade Gemstone Jewelry, Mother's Day Gift for Women",3.6,USD,True,False,11.99,False,,50+ bought in past month,1,36,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",6.0,,https://m.media-amazon.com/images/I/51DjDqnX7dL._AC_UL320_.jpg,organic,7454898011,jade,1,5,431.64,0.0,0.0
B098F4NKQM,159.0,Jade Good Fortune Bracelet in Sterling Silver,4.2,USD,True,False,159.0,False,,,1,497,False,0.0,"FREE delivery Tomorrow, Aug 8",7.0,,https://m.media-amazon.com/images/I/610BZPCdT4S._AC_UL320_.jpg,organic,7454898011,jade,1,6,79023.0,0.0,0.0
B0D1KDC7MT,12.99,2.4 in Natural Jade Bracelets Jade Bangle Bracelets with Box Good Luck Bracelets Mother's Day Gifts for Women,3.8,USD,True,False,12.99,False,,100+ bought in past month,1,8,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",8.0,,https://m.media-amazon.com/images/I/61+lOWIdgEL._AC_UL320_.jpg,organic,7454898011,jade,1,7,103.92,0.0,0.0
B0B7D5FZTD,18.99,Natural Jade Bangle Women Gifts Men Fine Jewelry Jadeite Bangles Certified Jades Stone Bracelets Accessories Jewellery,4.1,USD,True,False,18.99,False,,,1,17,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",9.0,,https://m.media-amazon.com/images/I/41qTKfC56lL._AC_UL320_.jpg,organic,7454898011,jade,1,8,322.83,0.0,0.0
B0D4LFBF7P,11.98,"14k gold Hetian jade peace buckle bracelet Feng Shui Bracelet Handmade Jade Bracelet Harmony Buckle Hetian Jade Ladies Lucky Bracelet, Chinese Lucky Feng Shui Bracelet, for Mother and Wife（Dark green）",0.0,USD,False,False,11.98,False,,,1,0,False,0.0,FREE delivery Aug 19 - 29,10.0,,https://m.media-amazon.com/images/I/51tIrPEcOQL._AC_UL320_.jpg,organic,7454898011,jade,1,9,0.0,0.0,0.0
B09FM4YL7J,24.99,Natural Green Jade Bangle Bracelet for Women Genuine with Certificate丨100% Grade A Jade Handmade Bracelets - Healing Protection Good Luck Bracelet Bangles with Jewelry Box (54-64mm),4.0,USD,True,False,24.99,False,,,1,269,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",11.0,,https://m.media-amazon.com/images/I/51YOnu4xtnL._AC_UL320_.jpg,organic,7454898011,jade,1,10,6722.3099999999995,0.0,0.0
B0CJMK6SR8,13.98,Bamboo Shape Beads Natural White/Green/Gray Jade Stones Lucky Bag Charm Stretch Beaded Bracelet Gold Plated Handmade Jewelry for Women,4.6,USD,True,False,13.98,False,,,1,16,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",12.0,,https://m.media-amazon.com/images/I/41R6yElTL7L._AC_UL320_.jpg,organic,7454898011,jade,1,11,223.68,0.0,0.0
B0B5VNB313,24.99,"Jade Bracelet for Women, Natural Green Jade Bangle, Genuine Grade A Jadeite Bangles with Jewelry Box",3.8,USD,True,False,24.99,False,,,1,16,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",13.0,,https://m.media-amazon.com/images/I/51jR-XfKauL._AC_UL320_.jpg,organic,7454898011,jade,1,12,399.84,0.0,0.0
B0C3GY6BCD,8.99,"Hotan Jade Leaf Bracelet Natural 2-Layer Green Nephrite Jade Bracelet for Women Round Bead Design with Zircon Leaf Charm Bracelet,Lucky Jade Bracelet Ladies Jewelry",4.1,USD,True,False,8.99,False,,,1,45,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",14.0,,https://m.media-amazon.com/images/I/61MTthuDsrL._AC_UL320_.jpg,organic,7454898011,jade,1,13,404.55,0.0,0.0
B0CSSW9JHP,6.29,Christian Cross Gifts for Women Men Healing Energy Crystal Bracelets Faith Easter Catholic Religious Jewelry Natural Stone Stretch Bracelets Stress Relief Anxiety Yoga Bracelet Birthday Gifts,4.1,USD,True,False,6.29,False,,,1,6,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",15.0,,https://m.media-amazon.com/images/I/71oG9TdHahL._AC_UL320_.jpg,organic,7454898011,jade,1,14,37.74,0.0,0.0
