asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0CCD45G35,14.97,"Christian Gifts Cross Bracelet for Women Faith Easter Catholic Religious Christian Jewelry, Meaningful Baptism Communion Natural Beads Bracelets",4.8,USD,True,False,14.97,True,,,1,248,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",1,,https://m.media-amazon.com/images/I/71fJNe0WN8L._AC_UL320_.jpg,paid,7454898011,jasper,1,1,3712.56,0.0,0.0
B0D9K5PXT7,9.96,"For Granddaughter - For You Are Always In Mine Beads Bracelet, Double Layer Natural Emperor Jasper Beaded Wrap Bracelet Infinity Heart Bracelet for Mind Peace Ziella Bracelet For My Granddaughter",0.0,USD,True,False,9.96,True,,,1,0,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",11,,https://m.media-amazon.com/images/I/61du5nOjobL._AC_UL320_.jpg,paid,7454898011,jasper,1,2,0.0,0.0,0.0
B0D2XS6LLJ,14.99,"Moonstone (Love & Protection) Bracelets and Sunstone (Fearlessness & Self-Confidence) for Women Teen Girls Birthday Gifts, Unique & Personalized, Suitable for Giving to Family and Friends.",4.9,USD,True,False,14.99,True,,,1,13,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",16,,https://m.media-amazon.com/images/I/8192fzvVRkL._AC_UL320_.jpg,paid,7454898011,jasper,1,3,194.87,0.0,0.0
B08JSC5HYX,23.99,Dazzling Handmade Leather Wrap Bracelet Collection,4.3,USD,True,False,23.99,True,,,1,934,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",17,,https://m.media-amazon.com/images/I/61AZGrU7KlL._AC_UL320_.jpg,paid,7454898011,jasper,1,4,22406.66,0.0,0.0
B07KX18VW8,14.99,Women Boho Handmade Natural Stone Crystal Leather Bead Wrap Bracelets Collection,4.4,USD,True,False,14.99,True,,,1,8513,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",18,,https://m.media-amazon.com/images/I/71LMZZVD2lL._AC_UL320_.jpg,paid,7454898011,jasper,1,5,127609.87,0.0,0.0
B07DPH11JY,8.99,Natural Healing Power Gemstone Crystal Beads Unisex Adjustable Macrame Bracelets,4.5,USD,True,False,8.99,True,,,1,7870,False,9.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",19,,https://m.media-amazon.com/images/I/61qdC+mNibL._AC_UL320_.jpg,paid,7454898011,jasper,1,6,70751.3,1.0,0.10010010010010009
B0D473ZLCG,12.97,Retirement Gifts for Women Natural Stone Bracelets Imperial Jasper Bracelets Happy Retirement Gifts for Grandma Coworker Friends Teacher Nurse Mom Leaving Gifts Compass Bracelets,4.7,USD,True,False,12.97,True,,,1,4,False,14.97,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",24,,https://m.media-amazon.com/images/I/61Mzes+GHtL._AC_UL320_.jpg,paid,7454898011,jasper,1,7,51.88,2.0,0.1336005344021376
B0BMYXC5T8,8.99,"for Granddaughter for You are Always in Mine Beads“ Bracelet, Natural Emperor Jasper Stone Beaded Wrap Bracelet Duoble Layer for Mind Peace,Bracelet for Granddaughter",4.8,USD,False,False,8.99,True,,,1,11,False,0.0,FREE delivery Aug 16 - 26,25,,https://m.media-amazon.com/images/I/61SQMsYm4rL._AC_UL320_.jpg,paid,7454898011,jasper,1,8,98.89,0.0,0.0
B00CXUY89E,30.01,"Green Jasper, Crystal and Glass Bead Bracelet",0.0,USD,False,False,30.01,True,,,1,0,False,0.0,FREE delivery Aug 16 - 21 Or fastest delivery Aug 15 - 20,26,,https://m.media-amazon.com/images/I/51Uv2ryj9sL._AC_UL320_.jpg,paid,7454898011,jasper,1,9,0.0,0.0,0.0
B0CN4BVWN8,14.97,Birthday Gifts for Women Girls Natural Stones Bracelets 13 16 18 21 30 40 50 60 70 80 Year Old Happy Birthday Gifts for Girls,4.8,USD,True,False,14.97,True,,,1,26,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",27,,https://m.media-amazon.com/images/I/81PN9mFBUUL._AC_UL320_.jpg,paid,7454898011,jasper,1,10,389.22,0.0,0.0
