asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B01AAAJQ54,15.99,Natural Moonstone Labradorite Pearl Bangle For Women 6X9Mm Pear Shape Gemstone Silver Overlay Handmade Cuff Bangle Jewelry Women's Day Gift For Mom Wife Her,4.3,USD,True,False,15.99,False,,50+ bought in past month,1,1830,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",2,,https://m.media-amazon.com/images/I/612sFPZdCdL._AC_UL320_.jpg,organic,7454898011,labradorite,1,1,29261.7,0.0,0.0
B0142XF1P4,16.99,"8.85 Cts South Western Native American Style Round Shape Natural & Synthetic Gemstones Bracelet For Women, Handmade Birthstone Bracelet For Women Jewelry Gifts For Her Wife Women Sister Girfriend",4.4,USD,True,False,16.99,False,,,1,1649,False,19.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",3,,https://m.media-amazon.com/images/I/61t4l+2GT9L._AC_UL320_.jpg,organic,7454898011,labradorite,1,2,28016.51,3.0,0.1500750375187594
B08Q48K5DS,12.99,New Gemstone Healing Chakra Bracelet Anxiety Crystal Natural Stone Men Women Stress Relief Reiki Yoga Diffuser Semi Precious,4.3,USD,True,False,12.99,False,,,1,1486,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",4,,https://m.media-amazon.com/images/I/71t8AbpMInL._AC_UL320_.jpg,organic,7454898011,labradorite,1,3,19303.14,0.0,0.0
B016EZBAZS,17.99,8.80 Cts Natural Moonstone Turquoise Labradorite Malachite Cuff Bangle 12x16mm Oval Shape Gemstone Silver Overlay Handmade Cuff Bangle Jewelry Women's Day Gifts For Mom Wife,4.0,USD,True,False,17.99,False,,,1,535,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",5,,https://m.media-amazon.com/images/I/61lD8rHUUzL._AC_UL320_.jpg,organic,7454898011,labradorite,1,4,9624.65,0.0,0.0
B07XNMFQQP,3.35,7mm Genuine Natural Labradorite Colorful Light Crystal Round Beads Women Men Bracelet Jewelry AAAA,3.4,USD,False,False,3.35,False,,,1,37,False,6.17,FREE delivery Aug 19 - 29,6,,https://m.media-amazon.com/images/I/61Ud-h1fppL._AC_UL320_.jpg,organic,7454898011,labradorite,1,5,123.95,2.82,0.4570502431118314
B071XHV957,13.99,3.44 Cts Natural Moonstone Aquamarine Labradorite Cuff Bangle 9x11mm Oval Shape Gemstone Silver Overlay Handmade Cuff Bangle Jewelry,4.4,USD,True,False,13.99,False,,,1,142,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",7,,https://m.media-amazon.com/images/I/71z-ohPgFEL._AC_UL320_.jpg,organic,7454898011,labradorite,1,6,1986.58,0.0,0.0
B09BDH3NZ9,12.95,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 4mm Round Beads",4.4,USD,True,False,12.95,False,,,1,1056,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",8,,https://m.media-amazon.com/images/I/51epxRj6heL._AC_UL320_.jpg,organic,7454898011,labradorite,1,7,13675.199999999999,0.0,0.0
B0142XGQM6,22.99,Natural Moonstone Labradorite Lapis Bracelet Gemstone Round Shape 925 Silver Overlay Handmade Link Bracelet Jewelry,4.0,USD,True,False,22.99,False,,,1,77,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",9,,https://m.media-amazon.com/images/I/61AqNoqu4mL._AC_UL320_.jpg,organic,7454898011,labradorite,1,8,1770.2299999999998,0.0,0.0
B0BGM7LWCH,66.75,Labradorite Station Bracelet in 18kt Gold Over Sterling. 7 inches,2.8,USD,True,False,66.75,False,,,1,2,False,0.0,"FREE delivery Tomorrow, Aug 8",10,,https://m.media-amazon.com/images/I/71qsyCJEM6L._AC_UL320_.jpg,organic,7454898011,labradorite,1,9,133.5,0.0,0.0
B0C8FGQLXG,7.45,"Crystal Bead Bracelet, Wholesale Genuine Stretch Gemstone Bracelet, Healing Crystal Bracelet, Gift for Men & Women",4.3,USD,True,False,7.45,False,,,1,33,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",11,,https://m.media-amazon.com/images/I/41iCW4YKFHL._AC_UL320_.jpg,organic,7454898011,labradorite,1,10,245.85,0.0,0.0
