asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B09P7W9V58,38.99,Lapis lazuli Necklace Jewelry Sterling Silver Blue Lapis Pendant Necklaces Boho Gifts for Women,4.1,USD,,False,38.99,True,,,1,23,False,44.99,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JPLZ7uv5jLVggGNi1-8BToEAAAGRLReZ3gEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICDAOyA0,paid,7454898011,lapis lazuli,1,1,896.7700000000001,6.0,0.13336296954878862
B07QPWF6G5,37.49,"Kate Lynn ""Rise From the Ashes Phoenix Necklace Made with Crystals from Austria, 18""+2"" Necklace, Packaged with Jewelry Box, Birthday Gift for Women, Symbol of Luck and Renewal",4.7,USD,,False,37.49,True,,500+ bought in past month,1,3215,False,0.0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JIAUt-ouEdgbsMx4QuD40ugAAAGRLReZ6wEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICAFOIkt,paid,7454898011,lapis lazuli,1,2,120530.35,0.0,0.0
B07DX1L5RG,261.75,Lapis Bali-Style Dragonfly Cuff Bracelet in Sterling Silver and 18kt Yellow Gold,4.7,USD,True,False,261.75,False,,,1,78,False,0.0,"FREE delivery Tomorrow, Aug 8",2.0,,https://m.media-amazon.com/images/I/71eFyLaCjEL._AC_UL320_.jpg,organic,7454898011,lapis lazuli,1,1,20416.5,0.0,0.0
B07RK1FCBV,18.99,Healing Stone Bracelet 8mm Beads Chakra Crystal Energy Heart Charm Bracelet Handmade Jewelry for Women,4.5,USD,False,False,18.99,False,,50+ bought in past month,1,6133,False,0.0,FREE delivery on $35 shipped by Amazon.,3.0,,https://m.media-amazon.com/images/I/61H5DORrpSL._AC_UL320_.jpg,organic,7454898011,lapis lazuli,1,2,116465.66999999998,0.0,0.0
B07F67HRYH,8.99,"chengmu 8mm Natural Lapis Lazuli Stretch Bracelet for Women Men Handmade Round Beads Semi Precious Gemstone for Crystal Elastic Beaded Bracelet 7.5"" Unisex",4.5,USD,True,False,8.99,False,,,1,687,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",4.0,,https://m.media-amazon.com/images/I/61CATHbVlYS._AC_UL320_.jpg,organic,7454898011,lapis lazuli,1,3,6176.13,0.0,0.0
B0CZ3T47Q1,10.99,"Lapis Lazuli Bracelet - Genuine Lapis Lazuli Natural Stone, Healing Bracelets for Women Crystal Bracelet Anti Anxiety Stress Relief Delicate Spiritual Protection December Birthstone Gifts",5.0,USD,True,False,10.99,False,,,1,6,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",5.0,,https://m.media-amazon.com/images/I/61nEa+N0OFL._AC_UL320_.jpg,organic,7454898011,lapis lazuli,1,4,65.94,0.0,0.0
B077YHWBQ6,9.99,"Natural Bead Bracelet Semi Precious Gemstone Beaded Bracelet for Women Healing Crystal Stone Stretch Bracelet Men Couple Bracelets (2pcs,6-8mm/8-10mm)",4.4,USD,True,False,9.99,False,,,1,1972,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",6.0,,https://m.media-amazon.com/images/I/81ceaUGyTVL._AC_UL320_.jpg,organic,7454898011,lapis lazuli,1,5,19700.28,0.0,0.0
B07PP4DKLH,20.15,"4mm Smooth Round Lapis Lazuli Stretch Bracelets in Various Sizes (6, 6.5, 7, 7.5, 8 Inches)",4.5,USD,True,False,20.15,False,,,1,75,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",7.0,,https://m.media-amazon.com/images/I/61y7nncL+sL._AC_UL320_.jpg,organic,7454898011,lapis lazuli,1,6,1511.25,0.0,0.0
B07NRV8W4S,15.95,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 8mm Round Beads",4.5,USD,True,False,15.95,False,,50+ bought in past month,1,3448,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",8.0,,https://m.media-amazon.com/images/I/713d24Wgb-L._AC_UL320_.jpg,organic,7454898011,lapis lazuli,1,7,54995.6,0.0,0.0
B09NF1QHF8,74.0,Lapis Lazuli Bracelet - Adjustable Double Strand Black Leather with Silver Beads and Blue Stone - Handmade Chakra Bracelets for Women,4.3,USD,True,False,74.0,False,,,1,16,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Tomorrow, Aug 8",9.0,,https://m.media-amazon.com/images/I/612PV384fqL._AC_UL320_.jpg,organic,7454898011,lapis lazuli,1,8,1184.0,0.0,0.0
B0B94SPKKM,17.99,"4mm Natural Gemstone Beads Stretch Bracelet for Women, With Freshwater Pearls, Energy Gem Birthday Gift for Her 7.2”",4.5,USD,True,False,17.99,False,,,1,105,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",10.0,,https://m.media-amazon.com/images/I/61fF13EaMzL._AC_UL320_.jpg,organic,7454898011,lapis lazuli,1,9,1888.9499999999998,0.0,0.0
B07PZ2RGRG,16.99,"8mm Genuine Gemstone Stretch Bracelet for Women Men Unisex, Natural Energy Crystal Stone Beads, Classic Simple Design Cuff Birthday Gift 7.5 Inch",4.5,USD,True,False,16.99,False,,,1,562,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",11.0,,https://m.media-amazon.com/images/I/61k9QXeZkbS._AC_UL320_.jpg,organic,7454898011,lapis lazuli,1,10,9548.38,0.0,0.0
B0CMZFTMLT,9.98,"Crystal Bracelet for Women Men,Natural Gemstone Bead Bracelet,Healing Crystal Stone Chakra Anxiety Stress Relief Cuboid Round Beaded Stretch Bracelet Jewelry Gifts for Christmas",4.4,USD,True,False,9.98,False,,,1,3,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",12.0,,https://m.media-amazon.com/images/I/51MvRYGgElL._AC_UL320_.jpg,organic,7454898011,lapis lazuli,1,11,29.94,0.0,0.0
B0911WJP11,150.0,Lapis Bless Bracelet in Sterling Silver. 7.5 inches,3.9,USD,True,False,150.0,False,,,1,23,False,0.0,"FREE delivery Tomorrow, Aug 8",13.0,,https://m.media-amazon.com/images/I/71bEfwB4PbL._AC_UL320_.jpg,organic,7454898011,lapis lazuli,1,12,3450.0,0.0,0.0
B077MP79FN,11.99,Charged Premium Natural Crystal Chip Bead Bracelet + Moroccan Selenite Charging Crystal [Included],4.3,USD,True,False,11.99,False,,,1,1282,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",14.0,,https://m.media-amazon.com/images/I/81Pj9iwtRwL._AC_UL320_.jpg,organic,7454898011,lapis lazuli,1,13,15371.18,0.0,0.0
B075SK3XVF,12.99,Natural 10mm Gemstone Bracelets Healing Power Crystal Macrame Adjustable 7-9 Inch,4.4,USD,True,False,12.99,False,,,1,1522,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",15.0,,https://m.media-amazon.com/images/I/61PrpxGtthL._AC_UL320_.jpg,organic,7454898011,lapis lazuli,1,14,19770.78,0.0,0.0
