asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B07M5Z7Q4Q,7.99,"Handmade Gem Semi Precious Gemstone 6mm Round Beads Stretch Bracelet 7"" Unisex",4.5,USD,True,False,7.99,False,,,1,5171,False,8.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",2,,https://m.media-amazon.com/images/I/61e8vSnmiYL._AC_UL320_.jpg,organic,7454898011,lepidolite,1,1,41316.29,1.0,0.11123470522803114
B0CKWXV35R,7.99,"4pcs Beaded Bracelets for Women,Natural Healing Crystal Gemstones Bracelet,Anxiety Stress Relief Bracelet Handmade purple Jewelry Gifts for Women",4.6,USD,True,False,7.99,False,,200+ bought in past month,1,123,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",3,,https://m.media-amazon.com/images/I/61TFdfYYRTL._AC_UL320_.jpg,organic,7454898011,lepidolite,1,2,982.77,0.0,0.0
B09YL8GPXH,13.99,AAA LEPIDOLITE Natural Healing Power Gemstone Crystal Beads Unisex Adjustable Macrame Bracelets 8mm,3.9,USD,True,False,13.99,False,,,1,7,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",4,,https://m.media-amazon.com/images/I/61UBMRd660L._AC_UL320_.jpg,organic,7454898011,lepidolite,1,3,97.93,0.0,0.0
B07VSLSCZC,10.99,Charged Premium Natural Crystal 4mm Bead Bracelet + Moroccan Selenite Charging Crystal,4.5,USD,True,False,10.99,False,,,1,395,False,12.99,FREE delivery on $35 shipped by Amazon.,5,,https://m.media-amazon.com/images/I/71MfO8aEhvL._AC_UL320_.jpg,organic,7454898011,lepidolite,1,4,4341.05,2.0,0.15396458814472672
B07DQFYMLN,8.99,Gem Semi Precious Gemstone 6mm Round Beads Stretch Bracelet 6.5 Inch Unisex,4.5,USD,True,False,8.99,False,,,1,1080,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",6,,https://m.media-amazon.com/images/I/51L+2D87aQL._AC_UL320_.jpg,organic,7454898011,lepidolite,1,5,9709.2,0.0,0.0
B08ZDL1SCH,8.99,4mm Natural Round Beads Gemstones Rock Crystal Stretch Bracelet 7 Inch Unisex,4.4,USD,True,False,8.99,False,,,1,448,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",7,,https://m.media-amazon.com/images/I/61A3AaD2gEL._AC_UL320_.jpg,organic,7454898011,lepidolite,1,6,4027.52,0.0,0.0
B0CT2JW2QN,9.99,"Natural Stone Beads Bracelet With Healing Stones Crystal Beginner Gift Set of 4 for Emotional Balance, Lava Rock, Lapis Lazuli, Sodalite, Apatite, Turquoise, Amazonite, Obsidian, Hematite, Tiger's eye Palm Stones",4.4,USD,True,False,9.99,False,,,1,28,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",8,,https://m.media-amazon.com/images/I/71rtLTFnidL._AC_UL320_.jpg,organic,7454898011,lepidolite,1,7,279.72,0.0,0.0
B09DDHLZ9H,10.99,Metaphysical Bracelets - Gifts for Women Men Mom Kids,4.7,USD,True,False,10.99,False,,,1,434,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",9,,https://m.media-amazon.com/images/I/718AK7lxnLL._AC_UL320_.jpg,organic,7454898011,lepidolite,1,8,4769.66,0.0,0.0
B0C8M45358,9.2,"Grade A++ Crystal Bead Bracelet, Wholesale Genuine Gemstone Stetch Bracelet, Healing Crystal Bracelet Bead Bracelet, Gift for Men & Women",4.4,USD,True,False,9.2,False,,,1,17,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",10,,https://m.media-amazon.com/images/I/51HV73d4uXL._AC_UL320_.jpg,organic,7454898011,lepidolite,1,9,156.39999999999998,0.0,0.0
B0D4VDFNB6,5.98,Healing Crystal Beaded Bracelets Natural Gemstone Chip Crystal Bracelet Anxiety Protection Empath Strand Crystal Spiritual Bracelets Amethyst Tiger Eye Bracelets Crystal Energy Bracelets Gifts,5.0,USD,True,False,5.98,False,,,1,7,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",11,,https://m.media-amazon.com/images/I/61FW5LUL5aL._AC_UL320_.jpg,organic,7454898011,lepidolite,1,10,41.86,0.0,0.0
B086GFLYT9,8.99,Gem Semi Precious Gemstone 8mm Round Beads Stretch Bracelet 7 Inch Unisex,4.4,USD,True,False,8.99,False,,,1,45,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",12,,https://m.media-amazon.com/images/I/519JgtPtBqL._AC_UL320_.jpg,organic,7454898011,lepidolite,1,11,404.55,0.0,0.0
B09ZLNVD7Z,9.59,Natural Gemtone 4mm Round Beads Crystal Adjustable Braided Macrame Tassels Bracelets Unisex,4.3,USD,True,False,9.59,False,,,1,43,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",13,,https://m.media-amazon.com/images/I/61fDsj0twHL._AC_UL320_.jpg,organic,7454898011,lepidolite,1,12,412.37,0.0,0.0
B08HMS4Q4Z,8.59,Gemstone 6mm Natural Round Beads Gemstones Crystal Stretch Bracelet 7 Inch Unisex,4.5,USD,True,False,8.59,False,,,1,224,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",14,,https://m.media-amazon.com/images/I/617K9SVOU2L._AC_UL320_.jpg,organic,7454898011,lepidolite,1,13,1924.1599999999999,0.0,0.0
B07T92T89S,14.99,Gemstone Chakra Bracelet Anxiety Crystal Natural Stone Stress Relief Reiki Yoga Diffuser Semi Precious,4.5,USD,True,False,14.99,False,,,1,3836,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",15,,https://m.media-amazon.com/images/I/51jDr+W7T8L._AC_UL320_.jpg,organic,7454898011,lepidolite,1,14,57501.64,0.0,0.0
B08HYZ9BFC,8.59,Gem Semi Precious Gemstones 8mm Natural Quartzite Stone Round Beads Rock Crystal Jasper Stretch Bracelet 7 Inch Unisex,4.5,USD,True,False,8.59,False,,,1,81,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",16,,https://m.media-amazon.com/images/I/71LSEei4uaL._AC_UL320_.jpg,organic,7454898011,lepidolite,1,15,695.79,0.0,0.0
B08X366LYH,8.39,Semi Precious Crystal 6mm Round Beads Rock Yoga Stretch Bracelet 7 Inch Unisex Unisex,4.3,USD,True,False,8.39,False,,,1,143,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",17,,https://m.media-amazon.com/images/I/61kYrLmKqkL._AC_UL320_.jpg,organic,7454898011,lepidolite,1,16,1199.77,0.0,0.0
B08XBH4CQH,8.99,Gem Semi Precious Gemstones 6mm Round Beads Stone Crystal Adjustable Braided Bracelets Unisex,4.3,USD,True,False,8.99,False,,,1,162,False,0.0,FREE delivery on $35 shipped by Amazon.,18,,https://m.media-amazon.com/images/I/61AGToAG9mL._AC_UL320_.jpg,organic,7454898011,lepidolite,1,17,1456.38,0.0,0.0
B0CPDPCDZQ,13.99,Gem Semi Precious Gemstone Love Heart Charm Stretch Beaded Bracelet Unisex,0.0,USD,True,False,13.99,False,,,1,0,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",19,,https://m.media-amazon.com/images/I/61dzyETxo2L._AC_UL320_.jpg,organic,7454898011,lepidolite,1,18,0.0,0.0,0.0
B09JY3LL3G,10.99,Natural Gemstone Bracelet 7-7.5 In Stretch Gems Stones 8mm Round - Beads Healing Crystals Quartz - Chakra Bracelet (Lepidolite),5.0,USD,True,False,10.99,False,,,1,3,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",20,,https://m.media-amazon.com/images/I/31iPeJlYdLL._AC_UL320_.jpg,organic,7454898011,lepidolite,1,19,32.97,0.0,0.0
