asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0BXBTZFJN,12.99,"Von Keib Real Malachite Natural Crystal Gemstone Bracelet Stretch Bracelet for Meditation Yoga Semi Precious Handmade Round Malachite Beads 5 mm (0.20"") Unisex for Women Men Large",4.5,USD,True,False,12.99,False,,,1,12,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",2,,https://m.media-amazon.com/images/I/61QNnawu3KL._AC_UL320_.jpg,organic,7454898011,malachite,1,1,155.88,0.0,0.0
B08Q488FF8,13.99,New Gemstone Healing Chakra Bracelet Anxiety Crystal Natural Stone Men Women Stress Relief Reiki Yoga Diffuser Semi Precious,4.3,USD,True,False,13.99,False,,,1,1486,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",3,,https://m.media-amazon.com/images/I/71Xkcikus+L._AC_UL320_.jpg,organic,7454898011,malachite,1,2,20789.14,0.0,0.0
B09P4VLZCV,9.99,Healing Stone Beaded Bracelets for Women Semi-Precious Gemstones Bracelets Pearl Beaded Bracelet Adjustable Strand Bracelets 6MM,4.5,USD,True,False,9.99,False,,,1,185,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",4,,https://m.media-amazon.com/images/I/61l8wSEy5EL._AC_UL320_.jpg,organic,7454898011,malachite,1,3,1848.15,0.0,0.0
B072R37GZB,14.99,Natural Moonstone Labradorite Pearl Bangle For Women 6X9Mm Pear Shape Gemstone Silver Overlay Handmade Cuff Bangle Jewelry Women's Day Gift For Mom Wife Her,4.3,USD,True,False,14.99,False,,,1,1830,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",5,,https://m.media-amazon.com/images/I/61j14ra3WwL._AC_UL320_.jpg,organic,7454898011,malachite,1,4,27431.7,0.0,0.0
B09S5TXWSX,8.99,6/8/10/12/14mm Round Natural Malachite Beaded Bracelet Dainty Gemstone Bangle Malachite Stone Stretch Bracelets Yoga Healing Crystals Quartz Chakra Bracelet for Women Men Girls Gifts,4.0,USD,True,False,8.99,False,,,1,52,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",6,,https://m.media-amazon.com/images/I/51u55ChPP3L._AC_UL320_.jpg,organic,7454898011,malachite,1,5,467.48,0.0,0.0
B09T2FNWD3,9.99,Cultured Freshwater Single Pearl Bracelet Handmade Genuine Leather Wrap Bracelet Agate Malachite Tiger Eyes with Charm Jewelry Synthetic Pearl Beaded Gold Bracelet,4.4,USD,True,False,9.99,False,,,1,288,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",7,,https://m.media-amazon.com/images/I/71OrkzYxJML._AC_UL320_.jpg,organic,7454898011,malachite,1,6,2877.12,0.0,0.0
B0CMCJHZ2K,13.99,Healing Crystal Bracelet Genuine Stone Bracelet Protection Anxiety Bracelet 7 Chakra Bracelet 6.5 inch Malachite Aquamarine Citrine 8MM Beads Get Well Soon Bracelet,4.5,USD,True,False,13.99,False,,,1,108,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",8,,https://m.media-amazon.com/images/I/71pALhwE5VL._AC_UL320_.jpg,organic,7454898011,malachite,1,7,1510.92,0.0,0.0
B071JYN7GT,15.99,"8.85 Cts South Western Native American Style Round Shape Natural & Synthetic Gemstones Bracelet For Women, Handmade Birthstone Bracelet For Women Jewelry Gifts For Her Wife Women Sister Girfriend",4.4,USD,True,False,15.99,False,,,1,1649,False,17.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",9,,https://m.media-amazon.com/images/I/61AAOQUE2tL._AC_UL320_.jpg,organic,7454898011,malachite,1,8,26367.510000000002,1.9999999999999982,0.11117287381878813
B0857HZRG6,22.95,"4 mm Round Malachite Stretch Bracelet, 7"" for Men, Women and Teens",4.5,USD,True,False,22.95,False,,,1,11,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",10,,https://m.media-amazon.com/images/I/61RNmJE9TTL._AC_UL320_.jpg,organic,7454898011,malachite,1,9,252.45,0.0,0.0
B09Z8H733L,11.99,AAA MALACHITE A Natural Healing Power Gemstone Crystal Beads Unisex Adjustable Macrame Bracelets 8mm,3.2,USD,True,False,11.99,False,,,1,5,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",11,,https://m.media-amazon.com/images/I/61WCsidNjxL._AC_UL320_.jpg,organic,7454898011,malachite,1,10,59.95,0.0,0.0
