asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0BJNSWJCJ,59.99,"5 Stone Moissanite Rings for Women, 3.75MM D Color VVS1 Clarity Lab Created Diamond Anniversary Rings 14K White Gold Filled S925 Sterling Silver 5 Stone Moissanite Wedding Band for Women Jewelry Gifts",4.2,USD,,False,59.99,True,,100+ bought in past month,1,503,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JFnekNCf5DctGfzKPGyO38gAAAGRLRSWNwEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICAH7m93,paid,7454898011,moissanite,1,1,30174.97,0.0,0.0
B09YM66PLL,29.99,"Moissanite Stud Earrings for Women,0.6-4ct 18K White Gold Plated Silver Friction Back and Post for Women Men, D Color VVS1 Round Lab Created Diamond Earrings Men",4.5,USD,,False,29.99,True,,500+ bought in past month,1,894,False,0.0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JEdyLP9t6bj4NO7fvnj_la8AAAGRLRSWUAEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDEgICAAM-HY,paid,7454898011,moissanite,1,2,26811.059999999998,0.0,0.0
B0CC4PS6S2,99.99,"Moissanite Tennis Bracelet, 1.52ct-7.76ct Diamond Bracelets for Women, 18K White Gold Plated S925 Sterling Silver Adjustable Tennis Bracelets, D Color VVS1 Round Brilliant Cut Lab Created Moissanite Bracelets Trendy Gifts for Her",4.6,USD,True,False,99.99,False,,50+ bought in past month,1,150,False,0.0,"FREE delivery Mon, Aug 12",1.0,,https://m.media-amazon.com/images/I/719urHgmKjL._AC_UL320_.jpg,organic,7454898011,moissanite,1,1,14998.5,0.0,0.0
B0CLTVR9YH,100.0,"moissanite tennis bracelet 18k white gold plated 925 silver 3-6.5mm D Color VVS1 Round Cut moissanite bracelets for women Men Gift birthday anniversary (3MM, 6.5 inch)",4.7,USD,True,False,100.0,False,,,1,53,False,0.0,"FREE delivery Mon, Aug 12",2.0,,https://m.media-amazon.com/images/I/61LGpRP8hDL._AC_UL320_.jpg,organic,7454898011,moissanite,1,2,5300.0,0.0,0.0
B0CGPPVFXM,65.99,"Moissanite Cuff Bangle, 1.8cttw D Color Lab Created Diamond Bracelet fit 7"" Below Wrist, 18K Gold Plated Sterling Silver Bangle for Women or Girlfriend Birthday Gifts",4.3,USD,True,False,65.99,False,,,1,23,False,0.0,"FREE delivery Mon, Aug 12",3.0,,https://m.media-amazon.com/images/I/61egXloRPOL._AC_UL320_.jpg,organic,7454898011,moissanite,1,3,1517.77,0.0,0.0
B0CMZZD1MC,98.0,2.22-35.00CT Moissanite Tennis Bracelet Women Men 2-6.5mm D Color VVS1 Round Cut Diamond Tennis Bracelet 18k White Gold Plated 925 Sterling Silver Tennis Bracelet Women,4.3,USD,True,False,98.0,False,,,1,55,False,0.0,"FREE delivery Mon, Aug 12",4.0,,https://m.media-amazon.com/images/I/71bfSob3iHL._AC_UL320_.jpg,organic,7454898011,moissanite,1,4,5390.0,0.0,0.0
B0CT5GL4P4,269.99,Moissanite Tennis Bracelet 15.5-19 Carats Lab-Grown Diamond Bracelets 925 Sterling Silver Diamond Tennis Bracelet 5mm D Color VVS1 Round Cut Moissanite Bracelet for Women Men,4.9,USD,True,False,269.99,False,,,1,28,False,0.0,"FREE delivery Mon, Aug 12",5.0,,https://m.media-amazon.com/images/I/71-WEuUtyeL._AC_UL320_.jpg,organic,7454898011,moissanite,1,5,7559.72,0.0,0.0
B0BFHRBST5,59.99,"Moissanite Bracelets for Women, 925 Sterling Silver Plated 18K Gold, Dainty Link Bracelet, Valentine's day Birthday Jewellery Gift for Women Girls Her",4.2,USD,True,False,59.99,False,,,1,37,False,0.0,"FREE delivery Thu, Aug 15",6.0,,https://m.media-amazon.com/images/I/61xJS0ADZKL._AC_UL320_.jpg,organic,7454898011,moissanite,1,6,2219.63,0.0,0.0
B0BQDPDYV3,209.99,"Moissanite Tennis Bracelet 2.25-21 Carat Moissanite Bracelets for Women Men's Bracelets 18k White Gold Plated 925 Sterling Silver Bracelet, 2mm-5mm D Color VVS1 Round Cut Lab Created Diamond Tennis Bracelet with GRA Certificate",4.2,USD,True,False,209.99,False,,,1,306,False,0.0,"FREE delivery Wed, Aug 14",7.0,,https://m.media-amazon.com/images/I/61fjwn+TapL._AC_UL320_.jpg,organic,7454898011,moissanite,1,7,64256.94,0.0,0.0
B0B3JB5PYC,158.99,Moissanite Tennis Bracelet for Women Sterling Silver Wedding Bracelets for Brides Stacking Dainty Bracelets with 18K White Gold Plated,4.3,USD,True,False,158.99,False,,,1,76,False,0.0,"FREE delivery Mon, Aug 12",8.0,,https://m.media-amazon.com/images/I/61UwUFQVgJL._AC_UL320_.jpg,organic,7454898011,moissanite,1,8,12083.240000000002,0.0,0.0
