asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0CLHS96G8,138.98,"Rocks2Rings Genuine Moldavite Crystal - Large Herkimer Diamond Necklace Pendant - VERY high vibration Czech Republic Tektite Healing Stone Reiki Valentines Gift S61a (Silver, 1.8 Gram Moldavite, S)",4.9,USD,,False,138.98,True,,#1 Top Rated,1,271,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JInek8lydpU6GX7ElX35OdsAAAGRLR_uBwEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICARxeq6,paid,7454898011,moldavite,1,1,37663.579999999994,0.0,0.0
B0927WPHNY,44.99,Crystal Vibe Moldavite Necklace Real for Women Men Healing Crystal with Silver Chain Green Natural Energy Gemstone Pendant for Protection and Healing,3.8,USD,,False,44.99,True,,,1,146,False,49.99,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JKTxz6DwHcMUHeUXrJo_jpwAAAGRLR_uRAEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICBB0uMZ,paid,7454898011,moldavite,1,2,6568.54,5.0,0.10002000400080016
B09LYQQNLB,4.99,Natural Moldavite Green aerolites Czech Crystal Stone Raw Stone Grinding 8mm Bead Meteorite Bracelet Czech Meteorite Bracelet (Size : 1pcs),3.3,USD,False,False,4.99,False,,50+ bought in past month,1,14,False,5.49,FREE delivery Aug 28 - Sep 18,1.0,,https://m.media-amazon.com/images/I/41EKttJswmL._AC_UL320_.jpg,organic,7454898011,moldavite,1,1,69.86,0.5,0.09107468123861566
B0C7CFR2VK,27.77,Sterling Silver Moldavite and Herkimer Gemstone Bracelet - Elegant Wedding Gift for Women (8 Inch),4.2,USD,False,False,27.77,False,,,1,11,False,39.99,FREE delivery Aug 22 - 28 Or fastest delivery Aug 13 - 15,2.0,,https://m.media-amazon.com/images/I/61satPlGaNL._AC_UL320_.jpg,organic,7454898011,moldavite,1,2,305.46999999999997,12.220000000000002,0.30557639409852466
B0B4BXRVGC,16.36,8mm/10mm/12mm MOLDAVITE BRACELET Energy Jewelry Green Peridot Woman Man Czech Moldavite Stone Stretch Buddha Bracelet (IK-3SF3) SBOTTON-8571,1.8,USD,False,False,16.36,False,,,1,4,False,0.0,FREE delivery Aug 20 - 30,3.0,,https://m.media-amazon.com/images/I/61XD1ENlb6L._AC_UL320_.jpg,organic,7454898011,moldavite,1,3,65.44,0.0,0.0
B08F35P9N1,54.99,"World Wide Gems Jewelry Moldavite (6mm) & Black Tourmaline (3mm) -AAA Grade- Bracelet, Protection Bracelet, Minimalist, Dainty, Genuine Gemstone, Natural",2.8,USD,True,False,54.99,False,,,1,5,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Tomorrow, Aug 8",4.0,,https://m.media-amazon.com/images/I/41fHDvTIk+L._AC_UL320_.jpg,organic,7454898011,moldavite,1,4,274.95,0.0,0.0
B09LYPWY7V,9.99,KUYIN Natural Moldavite Green aerolites Czech Crystal Stone Raw Stone Grinding 8mm Bead Meteorite Bracelet Czech Meteorite Bracelet (Size : 2pcs),1.0,USD,False,False,9.99,False,,,1,1,False,0.0,FREE delivery Aug 21 - 30,6.0,,https://m.media-amazon.com/images/I/51AbU511gNL._AC_UL320_.jpg,organic,7454898011,moldavite,1,5,9.99,0.0,0.0
B0C5VD9P8G,18.81,"8mm/10mm/12mm/14mm moldavite Bracelets Jewelry Green Peridot Woman Man Czech moldavite Stone Stretch Buddha Bracelets，Gift for Men Woman, 11223S1BOTTON (Size : 8MM)",0.0,USD,False,False,18.81,False,,,1,0,False,0.0,FREE delivery Aug 20 - 30,7.0,,https://m.media-amazon.com/images/I/61XD1ENlb6L._AC_UL320_.jpg,organic,7454898011,moldavite,1,6,0.0,0.0,0.0
B07DPHGFHG,12.59,Natural Healing Power Gemstone Crystal Beads Unisex Adjustable Macrame Bracelets,4.5,USD,True,False,12.59,False,,,1,7870,False,13.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",8.0,,https://m.media-amazon.com/images/I/51607J+9X2L._AC_UL320_.jpg,organic,7454898011,moldavite,1,7,99083.3,1.4000000000000004,0.10007147962830595
B09L9N6DLZ,398.0,Genuine Moldavite Bracelet set in 925 Sterling Silver,0.0,USD,False,False,398.0,False,,,1,0,False,0.0,"FREE delivery Fri, Aug 9",9.0,,https://m.media-amazon.com/images/I/51XEcuApZOS._AC_UL320_.jpg,organic,7454898011,moldavite,1,8,0.0,0.0,0.0
B07HHPQD7T,7.99,"1pc Natural Stretch Gemstone Bracelet 8mm (0.31"") Bead 7"" to 8.5 inch Healing Crystal Energy Quartz Chakra Jewelry Women Men Birthday Gift",4.5,USD,True,False,7.99,False,,,1,5846,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",10.0,,https://m.media-amazon.com/images/I/41+hdP0rAbL._AC_UL320_.jpg,organic,7454898011,moldavite,1,9,46709.54,0.0,0.0
B082KMVWWN,12.99,"8mm Genuine Gemstone Stretch Bracelet for Women Men Unisex, Natural Energy Crystal Stone Beads, Classic Simple Design Cuff Birthday Gift 7.5 Inch",4.5,USD,True,False,12.99,False,,,1,562,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",11.0,,https://m.media-amazon.com/images/I/61fC+1XgPRL._AC_UL320_.jpg,organic,7454898011,moldavite,1,10,7300.38,0.0,0.0
B083812JBX,18.99,"3mm Mini Beads Natural Gemstone Adjustable Bracelet For Women, Energy Gem Charm Jewelry, Birthday Gift 7.1""",4.4,USD,True,False,18.99,False,,,1,649,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",12.0,,https://m.media-amazon.com/images/I/51hPlkMG6nL._AC_UL320_.jpg,organic,7454898011,moldavite,1,11,12324.509999999998,0.0,0.0
B075SHXCNL,10.99,Natural 10mm Gemstone Bracelets Healing Power Crystal Macrame Adjustable 7-9 Inch,4.4,USD,True,False,10.99,False,,,1,1522,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",13.0,,https://m.media-amazon.com/images/I/6187PR-CVqL._AC_UL320_.jpg,organic,7454898011,moldavite,1,12,16726.78,0.0,0.0
B099KN8M4G,12.99,Handmade Gem Bracelet Adjustable Macrame Gemstone 8mm Round Beads Crystals Quartz Unisex,4.5,USD,True,False,12.99,False,,,1,653,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",14.0,,https://m.media-amazon.com/images/I/71J70K-StTL._AC_UL320_.jpg,organic,7454898011,moldavite,1,13,8482.47,0.0,0.0
B0B18FTXMT,16.99,"4mm Natural Gemstone Beads Stretch Bracelet for Women, With Freshwater Pearls, Energy Gem Birthday Gift for Her 7.2”",4.5,USD,True,False,16.99,False,,,1,105,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",15.0,,https://m.media-amazon.com/images/I/51NAPpTAKxL._AC_UL320_.jpg,organic,7454898011,moldavite,1,14,1783.9499999999998,0.0,0.0
B06XW94XBY,8.99,Gem Semi Precious Gemstone 6mm Round Beads Stretch Bracelet 6.5 Inch,4.5,USD,True,False,8.99,False,,,1,795,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",16.0,,https://m.media-amazon.com/images/I/51HI7-bpEtL._AC_UL320_.jpg,organic,7454898011,moldavite,1,15,7147.05,0.0,0.0
B07PK1LYLY,18.9,"Natural Herkimer Gemstone Beaded Bracelet with 2"" Extension Wristband Unisex Wristlet April Birthstone",4.2,USD,True,False,18.9,False,,,1,47,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",17.0,,https://m.media-amazon.com/images/I/61yAvl+bulL._AC_UL320_.jpg,organic,7454898011,moldavite,1,16,888.3,0.0,0.0
B08946BMRC,14.99,Charged Premium Natural Crystal 4mm Bead Bracelet + Moroccan Selenite Charging Crystal,4.5,USD,True,False,14.99,False,,,1,395,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",18.0,,https://m.media-amazon.com/images/I/71B3EZ8ZuTL._AC_UL320_.jpg,organic,7454898011,moldavite,1,17,5921.05,0.0,0.0
B0132AGF8U,9.99,8mm Round Beads Stretch Bracelet 7 Inch Unisex,4.5,USD,True,False,9.99,False,,,1,2567,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",19.0,,https://m.media-amazon.com/images/I/51ICPNKOQYL._AC_UL320_.jpg,organic,7454898011,moldavite,1,18,25644.33,0.0,0.0
B000BU8VFU,19.59,925 Sterling Silver Cube Shape Austrian Crystals 7.5 Inch Handmade Bracelet for Womens,5.0,USD,False,False,19.59,False,,,1,2,False,0.0,"$4.99 delivery Fri, Aug 16 Or fastest delivery Aug 12 - 14",20.0,,https://m.media-amazon.com/images/I/61EsmcaRdfL._AC_UL320_.jpg,organic,7454898011,moldavite,1,19,39.18,0.0,0.0
B0BHHWY8X1,9.99,"8.85 Cts South Western Native American Style Round Shape Natural & Synthetic Gemstones Bracelet For Women, Handmade Birthstone Bracelet For Women Jewelry Gifts For Her Wife Women Sister Girfriend",4.4,USD,True,False,9.99,False,,,1,1649,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",21.0,,https://m.media-amazon.com/images/I/71vzzwmHvUL._AC_UL320_.jpg,organic,7454898011,moldavite,1,20,16473.510000000002,0.0,0.0
B0CN8K49DS,15.45,"Grade A++ Crystal Bead Bracelet, Wholesale Genuine Gemstone Stetch Bracelet, Healing Crystal Bracelet Bead Bracelet, Gift for Men & Women",4.4,USD,True,False,15.45,False,,,1,17,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",22.0,,https://m.media-amazon.com/images/I/51qQHDBREEL._AC_UL320_.jpg,organic,7454898011,moldavite,1,21,262.65,0.0,0.0
B0CH9P3Y86,12.99,"Gemstone Crystal Beaded Bracelet for Mama Nana,Natural Stone Bracelet for Sister Daughter Wife,Birthday Anniversary Holiday Bracelet for Women",3.6,USD,True,False,12.99,False,,,1,4,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",23.0,,https://m.media-amazon.com/images/I/61bmr0DmaQL._AC_UL320_.jpg,organic,7454898011,moldavite,1,22,51.96,0.0,0.0
B07M92VLL2,9.99,4MM Mini Gemstone Energy Bracelets Tiny Bracelet Natural Stone Statement Bracelet Charm Beaded Couples Bracelets,4.4,USD,True,False,9.99,False,,,1,1128,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",24.0,,https://m.media-amazon.com/images/I/41JILcQvXuL._AC_UL320_.jpg,organic,7454898011,moldavite,1,23,11268.72,0.0,0.0
B0CZDP5BK9,3.99,Crystal Moonstone Bracelet Moon Star Pixiu Healing Beaded Bracelets Lucky Energy Yoga Bracelet Gift for Women Girls,5.0,USD,True,False,3.99,False,,,1,1,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",25.0,,https://m.media-amazon.com/images/I/61101+yhFeL._AC_UL320_.jpg,organic,7454898011,moldavite,1,24,3.99,0.0,0.0
B01MYUB92Q,11.95,"Gemstone Beaded Stretch Bracelet 8mm Round Beads 7""",4.5,USD,True,False,11.95,False,,,1,2561,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",26.0,,https://m.media-amazon.com/images/I/71mMblJYZoL._AC_UL320_.jpg,organic,7454898011,moldavite,1,25,30603.949999999997,0.0,0.0
B09S5K67PW,8.99,6/8/10/12/14mm Round Natural Malachite Beaded Bracelet Dainty Gemstone Bangle Malachite Stone Stretch Bracelets Yoga Healing Crystals Quartz Chakra Bracelet for Women Men Girls Gifts,4.0,USD,True,False,8.99,False,,,1,52,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",27.0,,https://m.media-amazon.com/images/I/51u55ChPP3L._AC_UL320_.jpg,organic,7454898011,moldavite,1,26,467.48,0.0,0.0
B06XWG1GXM,8.99,Gem Semi Precious Gemstone 10mm Round Beads Stretch Bracelet 7 Inch Unisex,4.5,USD,True,False,8.99,False,,,1,1234,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",28.0,,https://m.media-amazon.com/images/I/51PgkCxiKmL._AC_UL320_.jpg,organic,7454898011,moldavite,1,27,11093.66,0.0,0.0
B07MCLGBVL,8.99,"Gem Semi Precious Gemstone 6mm Round Beads Stretch Bracelet 7"" Unisex",4.6,USD,True,False,8.99,False,,,1,223,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",29.0,,https://m.media-amazon.com/images/I/61hJSCaTqkL._AC_UL320_.jpg,organic,7454898011,moldavite,1,28,2004.77,0.0,0.0
B0C5VD99P7,41.52,"Natural Moldavite Green aerolites Czech Crystal Stone Raw Stone Grinding 8mm Bead Meteorite Bracelet, 11223S1BOTTON",0.0,USD,False,False,41.52,False,,,1,0,False,0.0,FREE delivery Aug 20 - 30,30.0,,https://m.media-amazon.com/images/I/81VVOwwQCnL._AC_UL320_.jpg,organic,7454898011,moldavite,1,29,0.0,0.0,0.0
B01MRUCQH5,7.69,Gem Semi Precious Gemstone 8mm Round Beads Stretch Bracelet 7 Inch Unisex,4.5,USD,True,False,7.69,False,,,1,786,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",31.0,,https://m.media-amazon.com/images/I/51w7p+hlx6L._AC_UL320_.jpg,organic,7454898011,moldavite,1,30,6044.34,0.0,0.0
B0CM627DCM,0.0,Natural Natural moldavite 8mm rondelle smooth 7inch Semi-Precious Gemstones Beaded Bracelets for Men Women Healing Crystal Stretch Beaded Bracelet Unisex,0.0,USD,False,False,0.0,False,,,1,0,False,0.0,,32.0,,https://m.media-amazon.com/images/I/41zCzw+cSuL._AC_UL320_.jpg,organic,7454898011,moldavite,1,31,0.0,0.0,0.0
B07HHRGFYF,7.99,"1pc Natural Stretch Gemstone Bracelet 8mm (0.31"") Bead 7 Inch to 8.5 inch Healing Crystal Energy Quartz Chakra Jewelry Women Men Birthday Gift",4.5,USD,True,False,7.99,False,,,1,2145,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",33.0,,https://m.media-amazon.com/images/I/51vLDbbrLEL._AC_UL320_.jpg,organic,7454898011,moldavite,1,32,17138.55,0.0,0.0
B094CB5KCJ,13.49,"1pc Natural Stretch Gemstone Bracelet 6mm (0.24 Inch) Bead 7"" 7.5"" 8 inch Healing Crystal Quartz Energy Chakra Jewelry Women Birthday Gift",4.5,USD,True,False,13.49,False,,,1,1678,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",34.0,,https://m.media-amazon.com/images/I/51t7qBmj9-L._AC_UL320_.jpg,organic,7454898011,moldavite,1,33,22636.22,0.0,0.0
B0CMQFY5TX,13.99,"01 2pcs/set (8mm+10mm), Healing Gemstone Bracelet with Spiritural Energy Power, Round Beads Stretch Bracelets for Women Men Gift",4.1,USD,True,False,13.99,False,,,1,6,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",35.0,,https://m.media-amazon.com/images/I/51OkRvbwO8L._AC_UL320_.jpg,organic,7454898011,moldavite,1,34,83.94,0.0,0.0
B09GS64GBK,12.99,"Handmade Gem Bracelet 7.5"" Stretch Gemstone 8mm Round Beads Crystals Quartz Unisex",4.5,USD,True,False,12.99,False,,,1,4165,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",36.0,,https://m.media-amazon.com/images/I/51ADDkLeoWL._AC_UL320_.jpg,organic,7454898011,moldavite,1,35,54103.35,0.0,0.0
B01A1T29F8,8.99,Gem Semi Precious Gemstone 8mm Round Beads Stretch Bracelet 7 Inch Unisex,4.5,USD,True,False,8.99,False,,,1,2054,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",37.0,,https://m.media-amazon.com/images/I/51ITvmNDAiL._AC_UL320_.jpg,organic,7454898011,moldavite,1,36,18465.46,0.0,0.0
B07NTWXTJR,8.99,"Handmade Gem Semi Precious Gemstone 8mm Round Beads Stretch Bracelet 7"" Unisex",4.5,USD,True,False,8.99,False,,,1,1482,False,9.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",38.0,,https://m.media-amazon.com/images/I/51t4LG+GfzL._AC_UL320_.jpg,organic,7454898011,moldavite,1,37,13323.18,1.0,0.10010010010010009
