asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0B7RRNVM7,23.99,"New Beginning Moonstone Sterling Silver Necklace for Women, Divorce Gifts for Women, Healing gifts for her, New Job Gift, Minimalistic Moonstone Jewelry",4.6,USD,,False,23.99,True,,100+ bought in past month,1,161,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JKHeeiC0O5iPy505KokDv0YAAAGRLRf0SQEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICAW1Gn3,paid,7454898011,moonstone,1,1,3862.39,0.0,0.0
B0C2Z1C9K4,39.99,925 Sterling Silver Teardrop Moonstone Necklace Tree of Life Pendant Necklace Mothers Day Birthday Gifts for Mom Daughter Sister,4.4,USD,,False,39.99,True,,,1,24,False,0.0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JAie6uyBTX_UFwdYN0fj7BoAAAGRLRf0WAEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICCdLtL_,paid,7454898011,moonstone,1,2,959.76,0.0,0.0
B01AAAJVRM,15.99,Natural Moonstone Labradorite Pearl Bangle For Women 6X9Mm Pear Shape Gemstone Silver Overlay Handmade Cuff Bangle Jewelry Women's Day Gift For Mom Wife Her,4.3,USD,True,False,15.99,False,,100+ bought in past month,1,1830,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",1.0,,https://m.media-amazon.com/images/I/614KrtNAnsL._AC_UL320_.jpg,organic,7454898011,moonstone,1,1,29261.7,0.0,0.0
B01MF66RAB,17.99,"Beaded Stretch Bracelets, 6.5 inch 18K Yellow Gold Plated and Genuine Moonstone Bracelet for Women, Bronze Gemstone Bracelets for Women, Giftable Beaded Bracelets",4.5,USD,True,False,17.99,False,,50+ bought in past month,1,172,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",2.0,,https://m.media-amazon.com/images/I/51UQK48-zFL._AC_UL320_.jpg,organic,7454898011,moonstone,1,2,3094.2799999999997,0.0,0.0
B0CMCL7NSZ,9.99,Healing Crystal Bracelet Genuine Stone Bracelet Protection Anxiety Bracelet 7 Chakra Bracelet 6.5 inch Malachite Aquamarine Citrine 8MM Beads Get Well Soon Bracelet,4.5,USD,True,False,9.99,False,,50+ bought in past month,1,108,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",3.0,,https://m.media-amazon.com/images/I/714Nap0zrHL._AC_UL320_.jpg,organic,7454898011,moonstone,1,3,1078.92,0.0,0.0
B098F43BZQ,275.0,Semi-Precious Gemstone Bracelet in Sterling Silver,4.0,USD,True,False,275.0,False,,,1,2,False,0.0,"FREE delivery Tomorrow, Aug 8",4.0,,https://m.media-amazon.com/images/I/61kfOtPHXzS._AC_UL320_.jpg,organic,7454898011,moonstone,1,4,550.0,0.0,0.0
B0B5CK14KY,11.99,"Natural Healing Gemstone Bracelet, 8mm Semi Precious Stone Bracelet for Men Women, Stress Relief Crystal Jewelry",4.5,USD,True,False,11.99,False,,,1,1237,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",5.0,,https://m.media-amazon.com/images/I/51j3Sv-BdpL._AC_UL320_.jpg,organic,7454898011,moonstone,1,5,14831.630000000001,0.0,0.0
B0142XF6AO,17.99,"8.85 Cts South Western Native American Style Round Shape Natural & Synthetic Gemstones Bracelet For Women, Handmade Birthstone Bracelet For Women Jewelry Gifts For Her Wife Women Sister Girfriend",4.4,USD,True,False,17.99,False,,,1,1649,False,19.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",6.0,,https://m.media-amazon.com/images/I/61WvKwqVk5L._AC_UL320_.jpg,organic,7454898011,moonstone,1,6,29665.51,2.0,0.10005002501250626
B0B76YQ723,69.99,Rosy Reverie Birthstone Bracelet for Women Sterling Silver Genuine or Created Gemstone Tennis Bracelet Rose Heart Jewelry Anniversary Birthday Gifts for Women Wife Mom Her,4.6,USD,True,False,69.99,False,,,1,974,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Tomorrow, Aug 8",7.0,,https://m.media-amazon.com/images/I/61bK88zhnrL._AC_UL320_.jpg,organic,7454898011,moonstone,1,7,68170.26,0.0,0.0
B0B1TDP9JM,23.0,Womens Amazonite Moonstone Stone Bracelet,4.6,USD,True,False,23.0,False,,,1,84,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",8.0,,https://m.media-amazon.com/images/I/51UEt+YChqL._AC_UL320_.jpg,organic,7454898011,moonstone,1,8,1932.0,0.0,0.0
