asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B08Y7S82J9,6.99,Natural Black Obsidian Bracelet Beaded Bracelets for Men and Women Stretch Bracelet 8mm Feng Shui Bracelet Obsidian Crystal,4.5,USD,True,False,6.99,False,,100+ bought in past month,1,676,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",2,,https://m.media-amazon.com/images/I/61+cJCzr+AL._AC_UL320_.jpg,organic,7454898011,obsidian,1,1,4725.24,0.0,0.0
B0BYNWSFNT,23.95,Black Tourmaline Bracelet - Feng Shui Black Obsidian Bracelet - Authentic Black Tourmaline - The Spiritual Protection Bracelet - Black Tourmaline Crystals - Men and Woman Jewelry,4.3,USD,True,False,23.95,False,,50+ bought in past month,1,92,False,29.95,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",3,,https://m.media-amazon.com/images/I/71S-C5Jt7NL._AC_UL320_.jpg,organic,7454898011,obsidian,1,2,2203.4,6.0,0.2003338898163606
B0B5M3Z9MM,9.99,"Natural Gemstone Bracelet, Cat Beaded Bracelets for Women Men, Stretch Bracelet 8mm",4.7,USD,True,False,9.99,False,,50+ bought in past month,1,324,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",4,,https://m.media-amazon.com/images/I/61YVfOlHicL._AC_UL320_.jpg,organic,7454898011,obsidian,1,3,3236.76,0.0,0.0
B0CSXFH3GY,3.49,"8mm Natural Black Obsidian Stretch Bracelet,Adjustable Hand Chain for Anxiety Relief,Birthday Christmas Gift for Mum Dad Hunsband",4.6,USD,True,False,3.49,False,,,1,15,False,4.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",5,,https://m.media-amazon.com/images/I/71P2jhduTGL._AC_UL320_.jpg,organic,7454898011,obsidian,1,4,52.35,1.5,0.3006012024048096
B08BFK7RDF,12.99,Feng Shui Black Obsidian Wealth Bracelet - 8MM 10MM Women Mens Bracelets Natural Black Obsidian Crystal Evil Eye Agate Bring Luck Prosperity Elastic Stretch Beaded Bracelet for Woman Men,4.5,USD,True,False,12.99,False,,,1,815,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",6,,https://m.media-amazon.com/images/I/510Trq9JdpL._AC_UL320_.jpg,organic,7454898011,obsidian,1,5,10586.85,0.0,0.0
B07MNRHLKT,6.99,"Handmade Gem Semi Precious Gemstone 6mm Round Beads Stretch Bracelet 7"" Unisex",4.5,USD,True,False,6.99,False,,,1,5171,False,7.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",7,,https://m.media-amazon.com/images/I/51mDTfCSe+L._AC_UL320_.jpg,organic,7454898011,obsidian,1,6,36145.29,1.0,0.1251564455569462
B095MBGXLF,9.49,"Handmade Gem Bracelet 7.5"" Stretch Gemstone 8mm Round Beads Crystals Quartz Unisex",4.5,USD,True,False,9.49,False,,,1,4165,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",8,,https://m.media-amazon.com/images/I/616Oz1e3ghL._AC_UL320_.jpg,organic,7454898011,obsidian,1,7,39525.85,0.0,0.0
B0BCGPDK7V,11.99,"Triple Protection Bracelet 2 Packs, Genuine Tigers Eye Black Obsidian and Hematite 8mm Beads Bracelet for Men Women, Handmade Amethyst Crystal Jewelry Healing Bracelets Bring Luck, Prosperity and Happiness",4.3,USD,True,False,11.99,False,,,1,197,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",9,,https://m.media-amazon.com/images/I/71jiBwf3QwL._AC_UL320_.jpg,organic,7454898011,obsidian,1,8,2362.03,0.0,0.0
B0D5BB74DD,13.98,"Triple Protection Bracelets Negative Energy Blocker, Black Tourmaline and Obsidian Bracelets for Women Men, Gifts for Him Her",0.0,USD,True,False,13.98,False,,50+ bought in past month,1,50,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",10,,https://m.media-amazon.com/images/I/61k1tNefYxL._AC_UL320_.jpg,organic,7454898011,obsidian,1,9,699.0,0.0,0.0
B0CBNZX9R3,7.99,"4pcs Beaded Bracelets for Women,Natural Healing Crystal Gemstones Bracelet,Anxiety Stress Relief Bracelet Handmade purple Jewelry Gifts for Women",4.6,USD,True,False,7.99,False,,300+ bought in past month,1,123,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",11,,https://m.media-amazon.com/images/I/71-GgPH6xqL._AC_UL320_.jpg,organic,7454898011,obsidian,1,10,982.77,0.0,0.0
B0CW5DF7X5,4.99,"2 Pcs Beaded Bracelet Set for Men Women,Natural Black Obsidian Agate Lava Rock Braided Rope Bracelet，Handmade Bracelets, Length of Bracelet:7.8""~9.5""(Beads:6mm/0.23in)",4.0,USD,True,False,4.99,False,,,1,1,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",12,,https://m.media-amazon.com/images/I/514YLZppPqL._AC_UL320_.jpg,organic,7454898011,obsidian,1,11,4.99,0.0,0.0
B0BH8GWZKH,6.99,Natural Gemstone Bracelet 7.5 inch Gems Stones 8mm Round Beads Healing Crystal Bracelet for Women Men,4.0,USD,True,False,6.99,False,,,1,15,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",13,,https://m.media-amazon.com/images/I/51j6ryZHJqL._AC_UL320_.jpg,organic,7454898011,obsidian,1,12,104.85000000000001,0.0,0.0
B0CGCSQWM3,15.99,Healing Stone Bracelet 8mm Beads Chakra Crystal Energy Heart Charm Bracelet Handmade Jewelry for Women,4.5,USD,True,False,15.99,False,,,1,6133,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",14,,https://m.media-amazon.com/images/I/51gRxmxUYyL._AC_UL320_.jpg,organic,7454898011,obsidian,1,13,98066.67,0.0,0.0
B088X3D41W,12.99,Crystal Obsidian Bracelet Engrave with Dragon or Phoenix totem Cylinder Bead Men or Women Natural Stone Chain Famous Fashion 12MM 10MM,4.2,USD,True,False,12.99,False,,,1,646,False,13.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",15,,https://m.media-amazon.com/images/I/516QZGhXonL._AC_UL320_.jpg,organic,7454898011,obsidian,1,14,8391.54,1.0,0.07147962830593281
B08FBTSRTC,9.99,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 8mm Round Beads",4.5,USD,True,False,9.99,False,,,1,3448,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",16,,https://m.media-amazon.com/images/I/610CuzfPyGL._AC_UL320_.jpg,organic,7454898011,obsidian,1,15,34445.520000000004,0.0,0.0
B0CYGJH9MC,9.99,Crystal Bracelets for Women 2pcs Natural Healing Gemstone Beaded Bracelet Butterfly Charms Stone Layered Bracelet Gifts Women,5.0,USD,True,False,9.99,False,,,1,2,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",17,,https://m.media-amazon.com/images/I/61nJVY7RMwL._AC_UL320_.jpg,organic,7454898011,obsidian,1,16,19.98,0.0,0.0
B0CXSN3NMV,16.99,"Black Obsidian Cat Bracelet and Moon Necklace Set-Cat Lover Gifts,Cat Head Bead Bracelet , Cat Paw Beaded Bracelets,Wealth Attraction Bracelet, Good Luck Bracelet,Emotional Regulation Bracelets,Obsidian Necklace- Cute Gifts for Women",4.5,USD,True,False,16.99,False,,,1,115,False,18.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",18,,https://m.media-amazon.com/images/I/611iYoGm+kL._AC_UL320_.jpg,organic,7454898011,obsidian,1,17,1953.85,2.0,0.10531858873091102
B0BBFNC5BY,9.99,"Triple Protection Bracelet,Genuine Tigers Eye Black Obsidian and Hematite Beads Bracelet for Men Women,Handmade Crystal Healing Bracelets Bring Luck and Prosperity and Happiness",4.4,USD,True,False,9.99,False,,,1,169,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",19,,https://m.media-amazon.com/images/I/71BbBDhVrjL._AC_UL320_.jpg,organic,7454898011,obsidian,1,18,1688.31,0.0,0.0
B0BQDZBPPR,5.99,Natural Black Obsidian Bracelet Beaded Bracelets for Men and Women Stretch Bracelet 6mm Crystal Feng Shui Bracelet,4.7,USD,True,False,5.99,False,,,1,15,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",20,,https://m.media-amazon.com/images/I/51qY4InopbL._AC_UL320_.jpg,organic,7454898011,obsidian,1,19,89.85000000000001,0.0,0.0
B0B7KDLNK4,9.99,Snowflake Obsidian Motivational Gemstone Bracelet – XS Regular and XL Inspirational Bracelet – Made of Elegant and Eye-Catching Volcanic Glass – Ideal for Men or Women,4.5,USD,True,False,9.99,False,,,1,207,False,12.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",21,,https://m.media-amazon.com/images/I/71bCTSh5HqL._AC_UL320_.jpg,organic,7454898011,obsidian,1,20,2067.93,3.0,0.23094688221709006
