asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0BHHWY8X1,9.99,"8.85 Cts South Western Native American Style Round Shape Natural & Synthetic Gemstones Bracelet For Women, Handmade Birthstone Bracelet For Women Jewelry Gifts For Her Wife Women Sister Girfriend",4.4,USD,True,False,9.99,False,,,1,1649,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",2,,https://m.media-amazon.com/images/I/71vzzwmHvUL._AC_UL320_.jpg,organic,7454898011,opalite,1,1,16473.510000000002,0,0
B0BYJFMZ3X,9.99,Amethyst Bracelets for Women Natural Stone Healing Beaded Bracelet Stress Anxiety Relief Watermelon Crystals Moonstone Opal Hematite Stretch Jewelry Gift for Women,4.7,USD,True,False,9.99,False,,,1,134,False,0,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",3,,https://m.media-amazon.com/images/I/61AklzAYkLL._AC_UL320_.jpg,organic,7454898011,opalite,1,2,1338.66,0,0
B07GBMHGS8,14.49,"6mm Stone Beads Bracelet for Women and Men, 108 Mala Prayer Beads Necklace for Unisex Elastic",4.3,USD,True,False,14.49,False,,,1,381,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",4,,https://m.media-amazon.com/images/I/61MK2FvRYYL._AC_UL320_.jpg,organic,7454898011,opalite,1,3,5520.6900000000005,0,0
B0BP3ZSCC4,9.99,"Opalite Beaded Crystal Bracelet 4mm Mini Beads Stackable | For Creativity, Insight, Intuition, Healing Energy, Spiritual Gift for Her",4.5,USD,False,False,9.99,False,,,1,2,False,0,"FREE delivery Wed, Aug 14",5,,https://m.media-amazon.com/images/I/61rtjjZTTkL._AC_UL320_.jpg,organic,7454898011,opalite,1,4,19.98,0,0
B01AL6SWV6,19.99,"108 Stone Wrist Mala Bracelet,Necklace,Tibetan Buddhist Prayer Beads",4.4,USD,True,False,19.99,False,,,1,383,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",6,,https://m.media-amazon.com/images/I/61FJmRp5ZEL._AC_UL320_.jpg,organic,7454898011,opalite,1,5,7656.169999999999,0,0
B0CFG5JST6,8.75,"Grade A ++ Crystal Nugget Bracelet, Wholesale Genuine Tumbled Gemstone Bracelet, Healing Crystal Bracelet, Gift for Men & Women",3.8,USD,True,False,8.75,False,,,1,7,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",7,,https://m.media-amazon.com/images/I/31zMrkCnalL._AC_UL320_.jpg,organic,7454898011,opalite,1,6,61.25,0,0
B0C8FC77ZV,7.55,"Crystal Bead Bracelet, Wholesale Genuine Stretch Gemstone Bracelet, Healing Crystal Bracelet, Gift for Men & Women",4.3,USD,True,False,7.55,False,,,1,33,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",8,,https://m.media-amazon.com/images/I/31xkJ4arvkL._AC_UL320_.jpg,organic,7454898011,opalite,1,7,249.15,0,0
B0BYNZB6LY,14.99,"5.80 Cts Oval Shape Natural & Synthetic Gemstones Bohemian Cuff Bangle For Women, Handmade Silver Overlay Birthstone Bangle Jewelry Women's Day Gifts For Mom Wife",4.4,USD,True,False,14.99,False,,,1,267,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",9,,https://m.media-amazon.com/images/I/51stGMr1XoL._AC_UL320_.jpg,organic,7454898011,opalite,1,8,4002.33,0,0
B007C308SM,6.09,Cancer Birthstone Bracelet - Opalite,4.4,USD,False,False,6.09,False,,,1,5,False,0,FREE delivery Aug 22 - Sep 6 Or fastest delivery Aug 9 - 13,10,,https://m.media-amazon.com/images/I/810iO951ryL._AC_UL320_.jpg,organic,7454898011,opalite,1,9,30.45,0,0
B019F1EYC4,17.99,"8mm Round Stone Bracelet for Women, Healing Crystal Macrame Adjustable Bracelets 8mm Round, 5.5-7 Inches",3.6,USD,True,False,17.99,False,,,1,15,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",11,,https://m.media-amazon.com/images/I/617O3UUoNQL._AC_UL320_.jpg,organic,7454898011,opalite,1,10,269.84999999999997,0,0
B07GBLSS3B,12.99,8mm Stone Beads Bracelets Prayer Bead Elastic Tibetan Bracelets Bangle Handmade Jewelry for Women Men,4.4,USD,True,False,12.99,False,,,1,42,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",12,,https://m.media-amazon.com/images/I/51uroyZVuYL._AC_UL320_.jpg,organic,7454898011,opalite,1,11,545.58,0,0
B0D6D19JD8,14.95,"Exclusive Bracelet Collection - Natural Opalite Gemstone Bracelet Set - 6mm Round Beads Stretch Bracelet for Women, Men",0.0,USD,True,False,14.95,False,,,1,0,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",13,,https://m.media-amazon.com/images/I/41WeJMYygKL._AC_UL320_.jpg,organic,7454898011,opalite,1,12,0.0,0,0
B07GBNDFN4,19.59,"Semi Precious Stone Wrap Bracelet for Women/Men, Meditation Beads Necklace for Unisex",4.4,USD,True,False,19.59,False,,,1,25,False,0,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",14,,https://m.media-amazon.com/images/I/51Zk9YEs6tL._AC_UL320_.jpg,organic,7454898011,opalite,1,13,489.75,0,0
B0DBQBD6H5,9.99,"2pcs/set 8mm Healing Azurite Rose Quartz Turquoise Opalite Stone Bead Stacker Bracelet, Round Beaded Stretch Bracelets for Women Mens",0.0,USD,False,False,9.99,False,,,1,0,False,0,FREE delivery on $35 shipped by Amazon.,15,,https://m.media-amazon.com/images/I/41sib6A9pgL._AC_UL320_.jpg,organic,7454898011,opalite,1,14,0.0,0,0
B0C4H8WG7C,6.0,opalite Heart Shape Briolette Drilled Charms Wire Wrapped Gemstone Connector 10mm Teardrop Charm Gemstone Charms for Bracelet & Necklace,0.0,USD,False,False,6.0,False,,,1,0,False,0,$5.49 delivery Sep 11 - 24,16,,https://m.media-amazon.com/images/I/41BwGWehSpL._AC_UL320_.jpg,organic,7454898011,opalite,1,15,0.0,0,0
B0CQ8TV5LX,6.99,Opalite Gemstone & Pearl Round Beaded Torque Bangle Cuff Bangle for Women Gold Plated Cuff Bracelet Adjustable Bangle Opalite Bead Handmade Cuff Bangle Gift for Her Birthday Gift,0.0,USD,True,False,6.99,False,,,1,0,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",17,,https://m.media-amazon.com/images/I/51bNT9Ltu6L._AC_UL320_.jpg,organic,7454898011,opalite,1,16,0.0,0,0
B09X576PBM,13.75,"For GirlfriendWhite OPALITE BRTACELET 7-9"" Long, HANDMADE Sterling Silver Plated Jewelry for girls woman's Party friendship all ocassions",0.0,USD,False,False,13.75,False,,,1,0,False,0,$4.99 delivery Aug 28 - Sep 19,18,,https://m.media-amazon.com/images/I/51l7mepnmrL._AC_UL320_.jpg,organic,7454898011,opalite,1,17,0.0,0,0
B07FT69J4Y,16.99,"7 Chakra Healing Bracelet for Women Men, 21 mala Prayer Beads bracelets with Buddha head 7""",3.9,USD,True,False,16.99,False,,,1,2,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",19,,https://m.media-amazon.com/images/I/61Dvo3ianuL._AC_UL320_.jpg,organic,7454898011,opalite,1,18,33.98,0,0
