asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0CH2PGHGY,9.99,7 Chakra Bracelet for Women Men Orgone Healing Necklace Pendant Aromatherapy Essential Oil Diffuser Bracelets Jewelry Set Gifts for Spiritual Healing,4.7,USD,True,False,9.99,False,,,1,4,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",1,,https://m.media-amazon.com/images/I/61NDP3eyu2L._AC_UL320_.jpg,organic,7454898011,orgone,1,1,39.96,0,0
B0CSXJ41PR,9.99,"Crystal Bracelet, Crystals and Healing Stones for Stress Relief, Stretch Bracelet with Accessory Charms Ideal Spiritual Gifts For Women",5.0,USD,True,False,9.99,False,,,1,10,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",2,,https://m.media-amazon.com/images/I/719eZxtMUqL._AC_UL320_.jpg,organic,7454898011,orgone,1,2,99.9,0,0
B0C96PM7LN,12.99,"Black Flower of Life Symbol Leather Bracelet, Sacred Geometric Mandala Chakra Seed of Life Infinity Cuff Bangle Amulet Gifts for Men Women",0.0,USD,True,False,12.99,False,,,1,0,False,0,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",4,,https://m.media-amazon.com/images/I/51TaShxXXdL._AC_UL320_.jpg,organic,7454898011,orgone,1,3,0.0,0,0
B0C4Y5V7S5,26.89,Lapis Lazuli And Amethyst Orgone Feng Shui Bracelet For Triple Protection - 8Mm Bead Stretch Reiki Healing Jewelry For Women,0.0,USD,True,False,26.89,False,,,1,0,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",5,,https://m.media-amazon.com/images/I/61xiMk30t3L._AC_UL320_.jpg,organic,7454898011,orgone,1,4,0.0,0,0
B0D3HTTZS3,17.89,Malockos Pyramid Friendship Bracelets for Women Men Strands Beads Feng Shui Reiki Positive Energy Bangle Chakra Orgone,0.0,USD,False,False,17.89,False,,,1,0,False,0,FREE delivery Sep 3 - 24,6,,https://m.media-amazon.com/images/I/510LbCyf7FL._AC_UL320_.jpg,organic,7454898011,orgone,1,5,0.0,0,0
B0C4Y4QC83,25.59,7 Chakra Beaded Bracelet | Orgone Energy | Buddha Yoga Beads Bracelet | Energy Balance | Meditation Prayer Protection Jewelry Gift,0.0,USD,True,False,25.59,False,,,1,0,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",7,,https://m.media-amazon.com/images/I/61toBPTUSHL._AC_UL320_.jpg,organic,7454898011,orgone,1,6,0.0,0,0
B086QZVNR9,38.89,Orgone Chakra Pyramid EMF Protection Energy Generator Crystal Healing 7 Chakra Balancing Empath Protection Yoga Development Psychic Meditation Body Purification,0.0,USD,False,False,38.89,False,,,1,0,False,0,$5.24 delivery Aug 28 - Sep 19,8,,https://m.media-amazon.com/images/I/61IGbfxrcZL._AC_UL320_.jpg,organic,7454898011,orgone,1,7,0.0,0,0
B0C4Y44LRK,25.89,Galaxy Solar System Bracelet With Natural Stone Beads - The Eight Planets - Orgonite Crystal Bracelet - Astronomy Theme Space Bangle Gift For Women,0.0,USD,True,False,25.89,False,,,1,0,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",9,,https://m.media-amazon.com/images/I/612B7P+nhgL._AC_UL320_.jpg,organic,7454898011,orgone,1,8,0.0,0,0
B0B57W6XRZ,26.45,YONGERN Natural Quartz Crystal Orgonite Cuff Bracelet - Orgone Protection Divine Feminine Jewelry (Size : 46-62mm),0.0,USD,False,False,26.45,False,,,1,0,False,0,FREE delivery Aug 19 - 29,10,,https://m.media-amazon.com/images/I/61ClSH4yZjL._AC_UL320_.jpg,organic,7454898011,orgone,1,9,0.0,0,0
B097BTQ6J7,14.95,Green Aventurine Crystal Bracelet for Relief Stress - Authentic Gemstones Citrine Crystal Bracelet for Healing Wealth and Prosperity - Mind Relaxing Bracelet,4.2,USD,False,False,14.95,False,,,1,133,False,0,FREE delivery on $35 shipped by Amazon.,11,,https://m.media-amazon.com/images/I/71BBqvVY4WL._AC_UL320_.jpg,organic,7454898011,orgone,1,10,1988.35,0,0
