asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0C8N48BCS,169.99,AAA+ Quality White Freshwater Pearls Necklace for Women | 6.5-7mm Round White Pearls with 925 Sterling Silver Chain,3.4,USD,,False,169.99,True,,,1,41,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JGsp3QuRySqtN-zC67kYX6YAAAGRLRhKDgEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICAFubtj,paid,7454898011,pearl,1,1,6969.59,0.0,0.0
B0CGRGF5XP,13.99,Pearl Necklaces for Women Chunky Pearl Choker Necklaces Baroque Pearl Necklace Dainty White Pearl Beaded Necklace Vintage Pearl Charm Choker Necklace Birthday Wedding Jewelry for Women,3.8,USD,,False,13.99,True,,700+ bought in past month,1,12,False,0.0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JHZOvAsFzHot-h7GrLK7Hw0AAAGRLRhKFwEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICAfxYdv,paid,7454898011,pearl,1,2,167.88,0.0,0.0
B0BGKXP8G7,8.99,Layered Pearl Stretch Bracelets Set for Women Stackable Bracelets for Girls Multi Layer costume Pearl Bracelet Wedding Bracelets for Bridesmaids Brides Bridal Bracelet 5 Pcs,4.4,USD,True,False,8.99,False,,400+ bought in past month,1,38,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",2.0,,https://m.media-amazon.com/images/I/41VFyuYEyvL._AC_UL320_.jpg,organic,7454898011,pearl,1,1,341.62,0.0,0.0
B0C7Q9LDN3,7.99,Gold Tiny Pearl Bracelet 18K Gold Plated Cultured Pearls Bracelets for Women Dainty Adjustable Paperclip Link Chain Layered Bracelets Bridesmaid Jewelry Gifts for Women,4.4,USD,True,False,7.99,False,,300+ bought in past month,1,39,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",3.0,,https://m.media-amazon.com/images/I/61g1LHnzjaL._AC_UL320_.jpg,organic,7454898011,pearl,1,2,311.61,0.0,0.0
B09LJ1K2QH,13.95,Gold Tiny Pearl Bracelet | 14K Gold Plated Freshwater Cultured Pearls | Bracelets for Women,4.4,USD,True,False,13.95,False,,1K+ bought in past month,1,1014,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",4.0,,https://m.media-amazon.com/images/I/51lgBav6WNL._AC_UL320_.jpg,organic,7454898011,pearl,1,3,14145.3,0.0,0.0
B0CSBYS4Y2,12.99,10mm Crystal White Pearl Blessing Bracelet,4.5,USD,True,False,12.99,False,,,1,75,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",5.0,,https://m.media-amazon.com/images/I/517VrgWuifL._AC_UL320_.jpg,organic,7454898011,pearl,1,4,974.25,0.0,0.0
B0B7RFFMTH,12.99,Chain Bracelet Gold Link 14K Gold Plated Dainty Pearl Bracelet Simple Jewelry Gift for Women,4.3,USD,True,False,12.99,False,,100+ bought in past month,1,338,False,16.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",6.0,,https://m.media-amazon.com/images/I/61hE6ePzXXL._AC_UL320_.jpg,organic,7454898011,pearl,1,5,4390.62,3.9999999999999982,0.23543260741612704
B0CZKHH6J3,7.89,"5 Pcs White Pearl Bracelets for Women, White Stretch Bridesmaid Pearl Bracelets Bridal Wedding Elastic Bracelets Stackable Faux Pearl Bracelets for Lady Pearl Beaded Bracelets",5.0,USD,True,False,7.89,False,,100+ bought in past month,1,2,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",7.0,,https://m.media-amazon.com/images/I/61Xop9oTLsL._AC_UL320_.jpg,organic,7454898011,pearl,1,6,15.78,0.0,0.0
B0D4KWBJW4,12.99,"Gold/Silver Pearl Bracelets for Women,14K Gold Plated Bracelets Dainty Pearls Beaded Chain Heart Pearl Bracelets Jewelry Gift for Women",4.3,USD,True,False,12.99,False,,50+ bought in past month,1,5,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",8.0,,https://m.media-amazon.com/images/I/615IAkAZioL._AC_UL320_.jpg,organic,7454898011,pearl,1,7,64.95,0.0,0.0
B0C2CF7LK8,9.59,Dainty Pearl Chain Bracelets 14K Gold Bracelet for Women Adjustable Baroque Culture Jewelry Gifts for Mother Wife,4.2,USD,True,False,9.59,False,,100+ bought in past month,1,78,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",9.0,,https://m.media-amazon.com/images/I/51IrFjltinL._AC_UL320_.jpg,organic,7454898011,pearl,1,8,748.02,0.0,0.0
