asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0BDRGVQGS,78.99,Birthstone Bracelets for Women Sterling Silver Tennis Bracelets with Created Gemstones Dainty Charm Jewelry Anniversary Birthday Gifts for Women 7 Inches,4.3,USD,,False,78.99,True,,,1,36,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JE6PiG7_YLn40J35kj4YHfkAAAGRLRijIAEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDEgICAZK7rf,paid,7454898011,peridot,1,1,2843.64,0.0,0.0
B0CZKKT6P3,69.99,"Birthstone Necklace for Women Teardrop Necklace S925 Sterling Silver Infinity Love Birthday Gifts for Mom Women, 16""+2"" Inches",4.7,USD,,False,69.99,True,,50+ bought in past month,1,19,False,0.0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JA0U-eCWyIi7XwEZe7VAuuMAAAGRLRijKAEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDEgICDrg91r,paid,7454898011,peridot,1,2,1329.81,0.0,0.0
B0CSFM2LQ7,13.99,Birthstone Bracelets for Women Gold Dainty Link Bracelet Birthstone Jewelry Birthday Gifts for Her Mom Wife Girlfriend Anniversary Jewelry,4.6,USD,True,False,13.99,False,,100+ bought in past month,1,24,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",2.0,,https://m.media-amazon.com/images/I/51DzDKZ6+aL._AC_UL320_.jpg,organic,7454898011,peridot,1,1,335.76,0.0,0.0
B07KN4X2DN,22.99,Shop LC Multi Gemstone Bracelet in 925 Sterling Silver Bracelet 7.25 Inches Bolo Link Chain Bracelets Infinity Jewelry Birthday Gifts for Women,4.3,USD,True,False,22.99,False,,50+ bought in past month,1,198,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",3.0,,https://m.media-amazon.com/images/I/51L5MbvglJL._AC_UL320_.jpg,organic,7454898011,peridot,1,2,4552.0199999999995,0.0,0.0
B01E703QE0,4.99,Genuine Natural Olivine Peridot Gemstone Stretch Round Crystal Bead Bracelet 6mm,4.1,USD,False,False,4.99,False,,100+ bought in past month,1,34,False,0.0,FREE delivery Aug 22 - Sep 6,4.0,,https://m.media-amazon.com/images/I/710LjqJKGOL._AC_UL320_.jpg,organic,7454898011,peridot,1,3,169.66,0.0,0.0
B07CBJ18T7,99.0,5.00 ct. t.w. Peridot Bolo Bracelet in Sterling Silver,4.6,USD,True,False,99.0,False,,,1,28,False,0.0,"FREE delivery Tomorrow, Aug 8",5.0,,https://m.media-amazon.com/images/I/71M0Ful7bTL._AC_UL320_.jpg,organic,7454898011,peridot,1,4,2772.0,0.0,0.0
B089K4CZ33,39.99,"925 Sterling Silver Birthstone Bracelets for Women Dainty Simple Infinity Bracelet Fine Jewelry Birthday Anniversary Valentine‘s’ Day Gifts for Her Mom Wife, Chain Length 6.7""+1.2"" Extend",4.3,USD,True,False,39.99,False,,100+ bought in past month,1,1686,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",6.0,,https://m.media-amazon.com/images/I/51xlcQkmyXL._AC_UL320_.jpg,organic,7454898011,peridot,1,5,67423.14,0.0,0.0
B0BM9VQSC6,10.99,Paris Jewelry 18K White Gold 6 Cttw Created Peridot Round Adjustable Tennis Plated Bracelet,4.0,USD,True,False,10.99,False,,,1,20,False,12.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",7.0,,https://m.media-amazon.com/images/I/41A5fyXg4mL._AC_UL320_.jpg,organic,7454898011,peridot,1,6,219.8,2.0,0.15396458814472672
B07KTHGNQS,11.99,Charged Premium Natural Crystal Chip Bead Bracelet + Moroccan Selenite Charging Crystal [Included],4.3,USD,True,False,11.99,False,,,1,1282,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",8.0,,https://m.media-amazon.com/images/I/71fUKjS5KVL._AC_UL320_.jpg,organic,7454898011,peridot,1,7,15371.18,0.0,0.0
B08XXKRWNK,39.99,Heart Birthstone Bracelets for Women Sterling Silver Genuine or Created Gemstone Tennis Bracelet Infinity Love Jewelry Anniversary Birthday Gifts for Wife Mom Women,4.6,USD,True,False,39.99,False,,50+ bought in past month,1,575,False,69.99,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",9.0,,https://m.media-amazon.com/images/I/61Q9SXcEu+L._AC_UL320_.jpg,organic,7454898011,peridot,1,8,22994.25,29.999999999999993,0.42863266180882975
