asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B09YM3LWYQ,8.99,"Jovivi Amethyst Rose Quartz Stone Necklace for Women Men, Full Wire Wrapped Natural Gemstone Reiki Healing Crystal Pendant Jewelry",4.2,USD,,False,8.99,True,,,1,204,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JIto2_i1KkKIbcDblU__VmsAAAGRLRnBJwEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICCiL1MG,paid,7454898011,rose quartz,1,1,1833.96,0.0,0.0
B0BH7Q6WJL,18.99,Rose Quartz Crystal Bracelet - 8mm Stretchable Rose Quartz Bead Bracelet for Women & Men,4.4,USD,,False,18.99,True,,,1,1179,False,0.0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JMrg6lqqxCZZkQiulFD7osEAAAGRLRnBRAEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICCZwkRh,paid,7454898011,rose quartz,1,2,22389.21,0.0,0.0
B0C68QKWVT,3.2,Healing Bracelet For Women Anxiety Beaded Bracelets Jewelry Healing Stone Crystal Bracelet Stress Relief Yoga Beads Chakra Bracelets Gifts For Women pink,4.6,USD,False,False,3.2,False,,200+ bought in past month,1,664,False,5.48,FREE delivery Aug 14 - 20,1.0,,https://m.media-amazon.com/images/I/51VJr+SKQdL._AC_UL320_.jpg,organic,7454898011,rose quartz,1,1,2124.8,2.2800000000000002,0.41605839416058393
B09BDGLY11,9.99,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 4mm Round Beads",4.4,USD,True,False,9.99,False,,50+ bought in past month,1,1056,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",3.0,,https://m.media-amazon.com/images/I/51j4CXzg1UL._AC_UL320_.jpg,organic,7454898011,rose quartz,1,2,10549.44,0.0,0.0
B07M9CGMZ6,13.95,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 8mm Round Beads",4.5,USD,True,False,13.95,False,,50+ bought in past month,1,3448,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",4.0,,https://m.media-amazon.com/images/I/61eVs68G7EL._AC_UL320_.jpg,organic,7454898011,rose quartz,1,3,48099.6,0.0,0.0
B0CMCL49BF,9.99,Healing Crystal Bracelet Genuine Stone Bracelet Protection Anxiety Bracelet 7 Chakra Bracelet 6.5 inch Malachite Aquamarine Citrine 8MM Beads Get Well Soon Bracelet,4.5,USD,True,False,9.99,False,,100+ bought in past month,1,108,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",5.0,,https://m.media-amazon.com/images/I/71RI6Yom0wL._AC_UL320_.jpg,organic,7454898011,rose quartz,1,4,1078.92,0.0,0.0
B08CMXYQPZ,15.99,Healing Stone Bracelet 8mm Beads Chakra Crystal Energy Heart Charm Bracelet Handmade Jewelry for Women,4.5,USD,True,False,15.99,False,,50+ bought in past month,1,6133,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",6.0,,https://m.media-amazon.com/images/I/51OTV1-8dQS._AC_UL320_.jpg,organic,7454898011,rose quartz,1,5,98066.67,0.0,0.0
B089DDL1BK,59.0,18.00 ct. t.w. Rose Quartz Bead Bolo Bracelet in Sterling Silver,4.0,USD,True,False,59.0,False,,,1,16,False,0.0,"FREE delivery Tomorrow, Aug 8",7.0,,https://m.media-amazon.com/images/I/61zGho2i49L._AC_UL320_.jpg,organic,7454898011,rose quartz,1,6,944.0,0.0,0.0
B0C64M28Y3,13.99,"Healing Crystal Beaded Bracelets for Women,Natural Amethyst Gemstones Bracelet,Anxiety Stress Relief Heart Charm Bracelet Handmade purple Jewelry Gifts for Women",4.6,USD,True,False,13.99,False,,,1,288,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",8.0,,https://m.media-amazon.com/images/I/51H1pkmJLWL._AC_UL320_.jpg,organic,7454898011,rose quartz,1,7,4029.12,0.0,0.0
B0CRHMTMV7,13.99,Crystal Rose Bracelet for Women 8mm Healing Crystals Gemstones Beaded Bracelet Anxiety Crystal Stone Stretch Bracelets Spiritual Crystal Gifts for Women Mothers Day,4.8,USD,True,False,13.99,False,,,1,5,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",9.0,,https://m.media-amazon.com/images/I/41DVZv8K+lL._AC_UL320_.jpg,organic,7454898011,rose quartz,1,8,69.95,0.0,0.0
B083S2K5LT,11.99,Charged Premium Natural Crystal Chip Bead Bracelet + Moroccan Selenite Charging Crystal [Included],4.3,USD,True,False,11.99,False,,,1,1282,False,14.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",10.0,,https://m.media-amazon.com/images/I/71AwApC4HTL._AC_UL320_.jpg,organic,7454898011,rose quartz,1,9,15371.18,3.0,0.200133422281521
B0CZRH2LLT,4.69,"Stress Relief Anxiety Yoga Bracelets for Women Men,Healing Crystal Natural Stone Mantra Stretch Bracelet Birthday Gifts for Teen Girls Her Daughter Girlfriend Wife Mom",5.0,USD,True,False,4.69,False,,,1,1,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",11.0,,https://m.media-amazon.com/images/I/51alELw83qL._AC_UL320_.jpg,organic,7454898011,rose quartz,1,10,4.69,0.0,0.0
B0BH7SCFCD,6.99,Natural Gemstone Bracelet 7.5 inch Gems Stones 8mm Round Beads Healing Crystal Bracelet for Women Men,4.0,USD,True,False,6.99,False,,,1,15,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",12.0,,https://m.media-amazon.com/images/I/51NQnPKQzpL._AC_UL320_.jpg,organic,7454898011,rose quartz,1,11,104.85000000000001,0.0,0.0
B0BGHXPKF9,8.99,"Natural 8mm 7 Chakra Stone Crystal Bracelet Reiki Healing Crystal Gemstone Beads Men Women Stretch Bracelet for Meditation, Protection",4.5,USD,True,False,8.99,False,,,1,47,False,9.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",13.0,,https://m.media-amazon.com/images/I/6132t28yPlL._AC_UL320_.jpg,organic,7454898011,rose quartz,1,12,422.53000000000003,1.0,0.10010010010010009
B0CY2N7K3V,9.49,Amethyst Bracelet Healing Crystal Stone Bracelet for Women Girls 8mm Crystal Beads Butterfly Charms Stretch Bracelet Handmade Energy Gemstone Bracelet Jewelry,4.4,USD,True,False,9.49,False,,,1,12,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",14.0,,https://m.media-amazon.com/images/I/51oZe7VKS7L._AC_UL320_.jpg,organic,7454898011,rose quartz,1,13,113.88,0.0,0.0
B09W2C433T,19.99,"Rose Quartz Pink Opal Peru Crystal Bracelet, Love Friendship Crystal Stone Chakra Bracelet, Business Money Energy Wealth Good Luck Prosperity Feng Shui Beaded Bracelet for Men Women",4.5,USD,True,False,19.99,False,,,1,53,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",15.0,,https://m.media-amazon.com/images/I/514dqYxhmTL._AC_UL320_.jpg,organic,7454898011,rose quartz,1,14,1059.47,0.0,0.0
B0CD9VSZW4,6.93,Handmade Healing Crystal Bracelets Natural Gemstone with Adjustable Rope for Women Men,3.8,USD,True,False,6.93,False,,,1,7,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",16.0,,https://m.media-amazon.com/images/I/413NL4JRjjL._AC_UL320_.jpg,organic,7454898011,rose quartz,1,15,48.51,0.0,0.0
B0CYGGNC72,9.99,Crystal Bracelets for Women 2pcs Natural Healing Gemstone Beaded Bracelet Butterfly Charms Stone Layered Bracelet Gifts Women,5.0,USD,True,False,9.99,False,,,1,2,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",17.0,,https://m.media-amazon.com/images/I/51PsGCAd-pL._AC_UL320_.jpg,organic,7454898011,rose quartz,1,16,19.98,0.0,0.0
B0D8F38PTF,9.99,4Pcs Natural Stone Bead Bracelets for Women Healing Crystal Bracelet Boho Gemstone Bracelets Summer Woven Stretch String Bracelets for Women,4.0,USD,True,False,9.99,False,,,1,2,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",18.0,,https://m.media-amazon.com/images/I/61l32SczXsL._AC_UL320_.jpg,organic,7454898011,rose quartz,1,17,19.98,0.0,0.0
