asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0B6HFGJWN,29.99,"Healing Crystals Set, Crystals and Healing Stones Kit, Crystals for Beginners, 14 Chakra Crystals Stones, Rose Quartz, Amethyst Cluster, Tourmaline, Pendulum, Altar Cloth, Selenite Bracelet, Sage",4.6,USD,,False,29.99,True,,50+ bought in past month,1,268,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JKvbq2dYTBkERE8D_3DwjPQAAAGRLSAj0gEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICDX3ZoP,paid,7454898011,selenite,1,1,8037.32,0.0,0.0
B07TWZRSPB,26.99,"Chakra Tree of Life, Crystals, Gifts for Women, Crystal Tree, Money Tree, Crystals and Healing Stones, Home Decor, Crystal Tree for Positive Energy",4.6,USD,,False,26.99,True,,200+ bought in past month,1,814,False,0.0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JLDN5lth-7tjS8KEuNhzWLAAAAGRLSAj5wEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICCRxCmF,paid,7454898011,selenite,1,2,21969.859999999997,0.0,0.0
B0C9SHNR5R,22.0,"Reiki Infused Selenite Bracelet, Energy Bracelet, Reiki Gift, Reiki bracelets, Reiki jewelry, Gemstone bracelets, Crystal bracelets",5.0,USD,True,False,22.0,False,,,1,11,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",2.0,,https://m.media-amazon.com/images/I/51UhyBzk00L._AC_UL320_.jpg,organic,7454898011,selenite,1,1,242.0,0.0,0.0
B09HPPFGDH,12.99,"Handmade Gem Bracelet 7.5"" Stretch Gemstone 8mm Round Beads Crystals Quartz Unisex",4.5,USD,True,False,12.99,False,,,1,4165,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",3.0,,https://m.media-amazon.com/images/I/41xhYwxd9uL._AC_UL320_.jpg,organic,7454898011,selenite,1,2,54103.35,0.0,0.0
B08FBNYM5W,13.95,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 6mm Round Beads",4.4,USD,True,False,13.95,False,,,1,2792,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",4.0,,https://m.media-amazon.com/images/I/41WeN8Zq-US._AC_UL320_.jpg,organic,7454898011,selenite,1,3,38948.4,0.0,0.0
B0CMCK8HW9,8.99,Healing Crystal Bracelet Genuine Stone Bracelet Protection Anxiety Bracelet 7 Chakra Bracelet 6.5 inch Malachite Aquamarine Citrine 8MM Beads Get Well Soon Bracelet,4.5,USD,True,False,8.99,False,,50+ bought in past month,1,108,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",5.0,,https://m.media-amazon.com/images/I/81a9q+luIKL._AC_UL320_.jpg,organic,7454898011,selenite,1,4,970.9200000000001,0.0,0.0
B08FBW392S,15.95,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 8mm Round Beads",4.5,USD,True,False,15.95,False,,,1,3448,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",6.0,,https://m.media-amazon.com/images/I/41vimrzRawS._AC_UL320_.jpg,organic,7454898011,selenite,1,5,54995.6,0.0,0.0
B0D46V554Q,6.95,"Selenite & Black Tourmaline Stretch Bracelet Handmade Crystal Gemstone Gifts for Men Women, 7.3",0.0,USD,True,False,6.95,False,,,1,0,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",7.0,,https://m.media-amazon.com/images/I/31pfGAcAhkL._AC_UL320_.jpg,organic,7454898011,selenite,1,6,0.0,0.0,0.0
B09DDHKBSN,18.99,Metaphysical Bracelets - Gifts for Women Men Mom Kids,4.7,USD,False,False,18.99,False,,,1,434,False,0.0,"FREE delivery Mon, Aug 12",8.0,,https://m.media-amazon.com/images/I/617bPRkyTIL._AC_UL320_.jpg,organic,7454898011,selenite,1,7,8241.66,0.0,0.0
B0C8MGJZBN,10.45,"Grade A++ Crystal Bead Bracelet, Wholesale Genuine Gemstone Stetch Bracelet, Healing Crystal Bracelet Bead Bracelet, Gift for Men & Women",4.4,USD,True,False,10.45,False,,,1,17,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",9.0,,https://m.media-amazon.com/images/I/31O78RzlFvL._AC_UL320_.jpg,organic,7454898011,selenite,1,8,177.64999999999998,0.0,0.0
B0C8FDQSFN,15.95,"Crystal Bead Bracelet, Wholesale Genuine Stretch Gemstone Bracelet, Healing Crystal Bracelet, Gift for Men & Women",4.3,USD,True,False,15.95,False,,,1,33,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",10.0,,https://m.media-amazon.com/images/I/31O78RzlFvL._AC_UL320_.jpg,organic,7454898011,selenite,1,9,526.35,0.0,0.0
B0CB1431FD,11.99,8mm Natural Round Gemstone Energy Power Crystal Beads Handmade Elastic Stretch Unisex Bracelet One Size Fits All,4.2,USD,True,False,11.99,False,,,1,43,False,0.0,FREE delivery on $35 shipped by Amazon.,11.0,,https://m.media-amazon.com/images/I/51BI6gEfWdL._AC_UL320_.jpg,organic,7454898011,selenite,1,10,515.57,0.0,0.0
B0CD1YPZX2,8.99,"Rainbow Selenite Beads Bracelet Selenite Gemstone Beaded 8mm Stretch Bracelet Colourful 7"" Unisex",0.0,USD,False,False,8.99,False,,,1,0,False,0.0,$4.99 delivery Aug 28 - Sep 19,12.0,,https://m.media-amazon.com/images/I/51GmWYAytML._AC_UL320_.jpg,organic,7454898011,selenite,1,11,0.0,0.0,0.0
B0BMT8B854,15.49,"8mm Crystal Beaded Stackable Bracelets in 40+ Gemstones -Amethyst, Aventurine, Labradorite, Hematite, Rose Quartz healing energy Spiritual Reiki",4.7,USD,False,False,15.49,False,,,1,14,False,0.0,FREE delivery Aug 12 - 13,13.0,,https://m.media-amazon.com/images/I/61nMrBbDIKL._AC_UL320_.jpg,organic,7454898011,selenite,1,12,216.86,0.0,0.0
B0D4MC6JCM,10.0,"Natural Bead Bracelet – Healing Crystal Bracelet for Women, Men, and Teens – 8mm Round Beaded Bracelets – Bring, Good Luck, Wealth, Prosperity – Unisex Stretch Gemstone Protection Bracelet",4.7,USD,False,False,10.0,False,,,1,4,False,0.0,FREE delivery Aug 14 - 20,14.0,,https://m.media-amazon.com/images/I/31YDlBH9E8L._AC_UL320_.jpg,organic,7454898011,selenite,1,13,40.0,0.0,0.0
B0C4N59NCK,16.99,"Pisces Zodiac Crystal Beaded Bracelet, Pisces Gift, February March Birthstone Bracelet, Pisces Zodiac Jewelry Gifts for Her, Amethyst Moonstone Selenite Indian Agate Tiger Eye Blue Lace Agate",0.0,USD,False,False,16.99,False,,,1,0,False,0.0,FREE delivery Aug 12 - 13,15.0,,https://m.media-amazon.com/images/I/6176vCbTxmL._AC_UL320_.jpg,organic,7454898011,selenite,1,14,0.0,0.0,0.0
B08TLW2S1R,11.9,Natural Selenite Bracelet Crystal Stone 10mm Round Bead Bracelet for Reiki Healing and Crystal Healing Stone (Color : White),5.0,USD,False,False,11.9,False,,,1,3,False,0.0,FREE delivery Sep 6 - 19,16.0,,https://m.media-amazon.com/images/I/51W-owqUWbL._AC_UL320_.jpg,organic,7454898011,selenite,1,15,35.7,0.0,0.0
B0CT9VZVB5,22.99,Gemstone Stretch Bracelet with 8mm Round Beads,0.0,USD,False,False,22.99,False,,,1,0,False,0.0,$3.99 delivery Aug 16 - 19 Or fastest delivery Aug 12 - 14,17.0,,https://m.media-amazon.com/images/I/41JicKUVGfL._AC_UL320_.jpg,organic,7454898011,selenite,1,16,0.0,0.0,0.0
B0D3W4PWLM,18.0,"Natural AAA Selenite Bracelet 6mm Gemstone Stretch Fit Bracelet | 7-7.5â€ length | Unisex Bracelet | Round Shape Beads Bracele|Men/Women, Off-white, D-1-754",0.0,USD,False,False,18.0,False,,,1,0,False,0.0,$4 delivery Aug 29 - Sep 10 Or fastest delivery Aug 14 - 19,18.0,,https://m.media-amazon.com/images/I/21Jf-IM35BL._AC_UL320_.jpg,organic,7454898011,selenite,1,17,0.0,0.0,0.0
B0BGN6BSPM,26.99,Healing Crystal Jewelry Set - Rose Quartz & Amethyst Bracelet & Necklace & Worry Stone,4.5,USD,True,False,26.99,False,,,1,2,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",19.0,,https://m.media-amazon.com/images/I/51EjE2sAYEL._AC_UL320_.jpg,organic,7454898011,selenite,1,18,53.98,0.0,0.0
B0CZF4SJB3,25.0,"Natural Selenite Crystal And Citrine Charm Bracelet, S, Crystal, selenite, Small",5.0,USD,False,False,25.0,False,,,1,1,False,0.0,FREE delivery Aug 28 - Sep 18,20.0,,https://m.media-amazon.com/images/I/311QcDpNSmL._AC_UL320_.jpg,organic,7454898011,selenite,1,19,25.0,0.0,0.0
B09TXL8M3L,18.13,"Natural Reiki Crystal Healing Gem Stone Bracelet for Unisex, Free Size, Stone, Selenite",0.0,USD,False,False,18.13,False,,,1,0,False,0.0,FREE delivery Aug 28 - Sep 5,21.0,,https://m.media-amazon.com/images/I/31PxxSWnM7L._AC_UL320_.jpg,organic,7454898011,selenite,1,20,0.0,0.0,0.0
B0CZF23K1B,22.0,"Natural Selenite Crystal Charm Adjustable Bracelet, S, Crystal, selenite, Small",0.0,USD,False,False,22.0,False,,,1,0,False,0.0,FREE delivery Aug 28 - Sep 18,22.0,,https://m.media-amazon.com/images/I/41ukA55h0ZL._AC_UL320_.jpg,organic,7454898011,selenite,1,21,0.0,0.0,0.0
B0D6TJTD9M,45.98,"✦ Bella-gems ✦ 7.5"""" """"Divine Light/Cat's Eye/AAAA""""~ Satin White Selenite Spar Crystal Bracelet - 10mm - 19 Beads - H1401",0.0,USD,False,False,45.98,False,,,1,0,False,0.0,"$4.49 delivery Fri, Aug 9",23.0,,https://m.media-amazon.com/images/I/31UejQJeJfL._AC_UL320_.jpg,organic,7454898011,selenite,1,22,0.0,0.0,0.0
B0BFYJTGYF,29.95,Mineralogy 101' Stretch Bracelet with Natural Chatoyant Selenite,5.0,USD,True,False,29.95,False,,,1,1,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",24.0,,https://m.media-amazon.com/images/I/51s0qD3Y7+L._AC_UL320_.jpg,organic,7454898011,selenite,1,23,29.95,0.0,0.0
B0CZF3LLKL,22.0,"Natural Selenite Crystal And Panch Mukhi Rudraksh Charm Bracelet, S, Crystal, selenite, Small",0.0,USD,False,False,22.0,False,,,1,0,False,0.0,FREE delivery Aug 28 - Sep 18,25.0,,https://m.media-amazon.com/images/I/313MjLu1zHL._AC_UL320_.jpg,organic,7454898011,selenite,1,24,0.0,0.0,0.0
B0CZF2F8BQ,22.0,"Natural Selenite Crystal Charm Bracelet, S, Crystal, selenite, Small",0.0,USD,False,False,22.0,False,,,1,0,False,0.0,FREE delivery Aug 28 - Sep 18,26.0,,https://m.media-amazon.com/images/I/21BhWGhrIsL._AC_UL320_.jpg,organic,7454898011,selenite,1,25,0.0,0.0,0.0
B08S7HMD3P,21.88,Selenite Bracelet Crystal Stone 8mm Beads Bracelet Round Shape for Reiki Healing and Crystal Healing Stone (Color : White),4.0,USD,False,False,21.88,False,,,1,5,False,0.0,FREE delivery Sep 6 - 19,27.0,,https://m.media-amazon.com/images/I/51jEwtnRX+L._AC_UL320_.jpg,organic,7454898011,selenite,1,26,109.39999999999999,0.0,0.0
