asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B081FC6P82,21.99,Shop LC 925 Sterling Silver Gemstones Ring for Women Jewelry Birthday Gifts for Women,4.0,USD,,False,21.99,True,,,1,24,False,0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JJGnJ6Esz2_vvL61zVvRPpAAAAGRLSAwfgEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICDcs07-,paid,7454898011,shungite,1,1,527.76,0,0
B09FT4MJRM,23.62,"HASKARE Triple Protection Bracelet, Genuine Tigers Eye Black Obsidian and Hematite 8mm Beads Bracelet for Men Women, Crystal Jewelry Stone Bracelets Christmas Gifts for Men Bring Luck Prosperity",4.6,USD,,False,23.62,True,,500+ bought in past month,1,2354,False,0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JJkCR_XW3WeT_H0x_zMlZmgAAAGRLSAwggEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICAuD2Jm,paid,7454898011,shungite,1,2,55601.48,0,0
B07DJRNQW8,16.99,Shungite Stones Bracelet Black Beads Stretchy | Authetic Shungite Crystal Jewelry | Protective Powerful Defender Stone Bracelet | Spiritual Healing Crystal Chakra Balance,4.3,USD,True,False,16.99,False,,100+ bought in past month,1,325,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",1.0,,https://m.media-amazon.com/images/I/61nK-9HYMSL._AC_UL320_.jpg,organic,7454898011,shungite,1,1,5521.749999999999,0,0
B01CIPS1KU,14.99,Shungite Stone Bracelet for Men and Women | Authentic Shungite Stretchy Elastic Bracelet | Shungite Jewelry for Protection | Natural Black Stone Bracelet for Spiritual Healing,4.1,USD,True,False,14.99,False,,50+ bought in past month,1,285,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",3.0,,https://m.media-amazon.com/images/I/71bPND11uKL._AC_UL320_.jpg,organic,7454898011,shungite,1,2,4272.15,0,0
B0CJC172FR,22.99,Shungite Bracelets Set | Big Tumbled Bracelets Shungite Jewelry for Men and Women | Authentic Gemstone Jewelry | Crystal Healing and Protection High Positive Energy Bracelet,4.3,USD,True,False,22.99,False,,,1,25,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",4.0,,https://m.media-amazon.com/images/I/61K9hYOdiZL._AC_UL320_.jpg,organic,7454898011,shungite,1,3,574.75,0,0
B0C8MCBZSV,12.95,"Grade A++ Crystal Bead Bracelet, Wholesale Genuine Gemstone Stetch Bracelet, Healing Crystal Bracelet Bead Bracelet, Gift for Men & Women",4.4,USD,True,False,12.95,False,,,1,17,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",5.0,,https://m.media-amazon.com/images/I/51RzALe1ORL._AC_UL320_.jpg,organic,7454898011,shungite,1,4,220.14999999999998,0,0
B0BTGLWZJM,36.98,shungite stones raw shungite bracelet (Inner diameter length 2.3Inches),3.6,USD,True,False,36.98,False,,,1,26,False,0,"FREE delivery Mon, Aug 12",6.0,,https://m.media-amazon.com/images/I/51a7khHBhAL._AC_UL320_.jpg,organic,7454898011,shungite,1,5,961.4799999999999,0,0
B07DJJCYK8,20.99,Karelian Heritage Shungite Stone Adjustable Bracelet | Natural Black Macrame Hand-Made Jewelry | Protective Powerful Mineral Shield | Spiritual Healing Crystal Chakra Balance Grounding,3.7,USD,True,False,20.99,False,,,1,45,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",7.0,,https://m.media-amazon.com/images/I/71fwA6V2dxL._AC_UL320_.jpg,organic,7454898011,shungite,1,6,944.55,0,0
B0CQPN8NST,25.99,Shungite Stones & Copper Bracelet | Authetic Shungite Crystal Jewelry | Protective Powerful Defender Stone Bracelet | Spiritual Healing Crystal Chakra Balance,3.0,USD,True,False,25.99,False,,,1,1,False,0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",8.0,,https://m.media-amazon.com/images/I/6173NLEyVCL._AC_UL320_.jpg,organic,7454898011,shungite,1,7,25.99,0,0
B08Q4976KQ,15.99,New Gemstone Healing Chakra Bracelet Anxiety Crystal Natural Stone Men Women Stress Relief Reiki Yoga Diffuser Semi Precious,4.3,USD,True,False,15.99,False,,,1,1486,False,0,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",9.0,,https://m.media-amazon.com/images/I/71Lo059KixL._AC_UL320_.jpg,organic,7454898011,shungite,1,8,23761.14,0,0
