asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0CP961YCC,5.39,Healing Crystal Stone Bracelets for Women Men Stress Relief Anxiety Yoga Bracelet Semi-Precious Gemstone Bracelets Healing Gifts birthday Gifts For Teen Girls jade bracelet,3.7,USD,True,False,5.39,False,,,1,34,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",2,,https://m.media-amazon.com/images/I/61i3teCHfzL._AC_UL320_.jpg,organic,7454898011,smoky quartz,1,1,183.26,0.0,0.0
B0CZRK5JC9,5.49,"Stress Relief Anxiety Yoga Bracelets for Women Men,Healing Crystal Natural Stone Mantra Stretch Bracelet Birthday Gifts for Teen Girls Her Daughter Girlfriend Wife Mom",5.0,USD,True,False,5.49,False,,,1,1,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",3,,https://m.media-amazon.com/images/I/61CRYNm0WzL._AC_UL320_.jpg,organic,7454898011,smoky quartz,1,2,5.49,0.0,0.0
B075VCHN4F,9.99,Natural Gemstone Round Beads Stretch Bracelet Healing Reiki 8mm,4.5,USD,True,False,9.99,False,,,1,2150,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",4,,https://m.media-amazon.com/images/I/61rsRAlvmtL._AC_UL320_.jpg,organic,7454898011,smoky quartz,1,3,21478.5,0.0,0.0
B077Y9TCYX,9.99,"Natural Bead Bracelet Semi Precious Gemstone Beaded Bracelet for Women Healing Crystal Stone Stretch Bracelet Men Couple Bracelets (2pcs,6-8mm/8-10mm)",4.4,USD,True,False,9.99,False,,,1,1972,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",5,,https://m.media-amazon.com/images/I/71FNegYrSbL._AC_UL320_.jpg,organic,7454898011,smoky quartz,1,4,19700.28,0.0,0.0
B0C8M7212M,9.85,"Grade A++ Crystal Bead Bracelet, Wholesale Genuine Gemstone Stetch Bracelet, Healing Crystal Bracelet Bead Bracelet, Gift for Men & Women",4.4,USD,True,False,9.85,False,,,1,17,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",6,,https://m.media-amazon.com/images/I/61wS7hMA-ML._AC_UL320_.jpg,organic,7454898011,smoky quartz,1,5,167.45,0.0,0.0
B07PP4BYWZ,16.95,"4mm Smooth Round Smoky Quartz Stretch Bracelets in Various Lengths (6, 6.5, 7, 7.5, 8 Inches) …",4.4,USD,True,False,16.95,False,,,1,42,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",7,,https://m.media-amazon.com/images/I/61BFW3X7RJL._AC_UL320_.jpg,organic,7454898011,smoky quartz,1,6,711.9,0.0,0.0
B0CN2PPYQS,8.99,Natural Healing Power Gemstone Crystal Beads Unisex Adjustable Macrame Bracelets,4.5,USD,True,False,8.99,False,,,1,7870,False,9.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",8,,https://m.media-amazon.com/images/I/61N1-E834uL._AC_UL320_.jpg,organic,7454898011,smoky quartz,1,7,70751.3,1.0,0.10010010010010009
B0BLV94YHV,10.95,Natural Healing Crystal Beads Bracelet Gemstone Couple Adjustable Gift Bracelet,4.4,USD,True,False,10.95,False,,,1,318,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",9,,https://m.media-amazon.com/images/I/51DgSe4g39L._AC_UL320_.jpg,organic,7454898011,smoky quartz,1,8,3482.1,0.0,0.0
B07WHB8JJ8,17.99,"8mm Genuine Gemstone Stretch Bracelet for Women Men Unisex, Natural Energy Crystal Stone Beads, Classic Simple Design Cuff Birthday Gift 7.5 Inch",4.5,USD,False,False,17.99,False,,,1,562,False,0.0,FREE delivery on $35 shipped by Amazon.,10,,https://m.media-amazon.com/images/I/61n+8RHBhRL._AC_UL320_.jpg,organic,7454898011,smoky quartz,1,9,10110.38,0.0,0.0
B09N2DG5D4,29.99,SHOP LC Stainless Steel Citrine Bangle Bracelet for Women Jewelry With Adjustable Lock Women Ct 4.7 Birthday Gifts,4.2,USD,True,False,29.99,False,,,1,5,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",11,,https://m.media-amazon.com/images/I/61-7IFXmjCL._AC_UL320_.jpg,organic,7454898011,smoky quartz,1,10,149.95,0.0,0.0
