asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B08KR77NP7,27.99,"Solid 14k Yellow Gold Filled Paperclip Chain Bracelet for Women (3.1 mm, 7.5 inch)",4.6,USD,True,False,27.99,False,,,1,41,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",1.0,,https://m.media-amazon.com/images/I/71hg7TMj5UL._AC_UL320_.jpg,organic,7454898011,solid gold,1,1,1147.59,0.0,0.0
B0D4Y3MP39,69.99,"14K Gold Bracelets for Women Bracelets for Men Stylish O-Shaped Gold Cuban Link Chain Stackable Bracelets Perfect Women's Gifts Jewelry 6.5, 7, 7.5, 8, 9in",5.0,USD,True,False,69.99,False,,,1,7,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",2.0,,https://m.media-amazon.com/images/I/61DVacANGTL._AC_UL320_.jpg,organic,7454898011,solid gold,1,2,489.92999999999995,0.0,0.0
B0CPY54F46,184.0,"14K Solid Gold Beaded Station Bracelet for Women | 14K Real Gold Double Chain Bracelet | Dainty Gold Station Bracelet | Women's 14K Gold Jewelry | Gift for Birthday, Adjustable 6"" to 7""",5.0,USD,False,False,184.0,False,,,1,1,False,0.0,FREE delivery,3.0,,https://m.media-amazon.com/images/I/61TxTy1-KHL._AC_UL320_.jpg,organic,7454898011,solid gold,1,3,184.0,0.0,0.0
B073VT9T4J,141.0,14K Solid Gold Rolo Link Chain Bracelet or Chain Necklace 2.3 Mm,3.9,USD,True,False,141.0,False,,,1,74,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Tomorrow, Aug 8",4.0,,https://m.media-amazon.com/images/I/71gMfIKKkGL._AC_UL320_.jpg,organic,7454898011,solid gold,1,4,10434.0,0.0,0.0
B0B8DBBWRS,86.99,"Jewelry 14k Solid Gold Cross Bracelet for Women, Teen Girls, Baby | Real Gold Sideways Adjustable Cross Bracelet | Gold Plated Bracelet for Women | Christian Baptism Gift",4.3,USD,True,False,86.99,False,,50+ bought in past month,1,100,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",6.0,,https://m.media-amazon.com/images/I/419oQPkzCCL._AC_UL320_.jpg,organic,7454898011,solid gold,1,5,8699.0,0.0,0.0
B0989Z3WK2,205.0,"Solid 18k Gold Link bracelet for Women Real Gold, Dainty Cute Tiny Bead Thin Italian Adjustable Chain Gift for Her, Pure Gold With Certificate Fine Bride Jewelry for Wedding Prom, 6.1 to 7.3 inches",4.0,USD,False,False,205.0,False,,,1,168,False,0.0,$4.99 delivery Aug 28 - Sep 19,7.0,,https://m.media-amazon.com/images/I/51dDo2S-OcS._AC_UL320_.jpg,organic,7454898011,solid gold,1,6,34440.0,0.0,0.0
B0CLH4PVX7,54.99,"14K Solid Gold Cross Bracelet for Women, Real Solid Gold Sideways Adjustable Cross Bracelet, Gold Plated Bracelet for Women, Religious, Christian Baptism Gift for Her",4.5,USD,True,False,54.99,False,,,1,16,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Tomorrow, Aug 8",8.0,,https://m.media-amazon.com/images/I/51iLxa0L7CL._AC_UL320_.jpg,organic,7454898011,solid gold,1,7,879.84,0.0,0.0
B0BQW6C7VB,179.0,100% 14k Real Gold Bracelet Ring Hand Chain - Adjustable Finger Chain Bracelet Gold | Dainty Charm Hand Jewelry for Women | Gifts for Women | 7'' to 8,4.9,USD,True,False,179.0,False,,,1,11,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Tomorrow, Aug 8",9.0,,https://m.media-amazon.com/images/I/71u3EBLkPrL._AC_UL320_.jpg,organic,7454898011,solid gold,1,8,1969.0,0.0,0.0
B077BLZFMK,59.99,Gold Vertical Blessed Charm - 10 Karat Solid Gold,4.1,USD,True,False,59.99,False,,,1,112,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Tomorrow, Aug 8",10.0,,https://m.media-amazon.com/images/I/61bJwXb1QSS._AC_UL320_.jpg,organic,7454898011,solid gold,1,9,6718.88,0.0,0.0
B0D8J5X3TX,20.99,Solid 925 Sterling Silver Paperclip Bracelet for Women Men | Italian Paperclip Link Chain Bracelet | Silver Link Charm Bracelet 7 8 inch,4.7,USD,True,False,20.99,False,,,1,25,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",11.0,,https://m.media-amazon.com/images/I/61oPo6fZzoL._AC_UL320_.jpg,organic,7454898011,solid gold,1,10,524.75,0.0,0.0
B07RRR3C9T,114.59,10K Solid Gold 2mm Diamond Cut Rope Chain Bracelet or Anklet for Women - Lobster Clasp,3.9,USD,True,False,114.59,False,,,1,172,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Tomorrow, Aug 8",12.0,,https://m.media-amazon.com/images/I/51dBYysN+6L._AC_UL320_.jpg,organic,7454898011,solid gold,1,11,19709.48,0.0,0.0
B0BKZ6LL7Q,165.0,999 24K Solid Gold Mini Charm Chinese Zodiac Lovely Cute Animal Mini Charm Bracelet for Women,4.9,USD,True,False,165.0,False,,,1,78,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",13.0,,https://m.media-amazon.com/images/I/617c+zrSWXL._AC_UL320_.jpg,organic,7454898011,solid gold,1,12,12870.0,0.0,0.0
B017TEY6ZE,190.0,14k REAL Yellow Gold Solid 3mm Cuban Concave Curb Chain Necklace with Lobster Claw Clasp,4.1,USD,True,False,190.0,False,,,1,351,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Tomorrow, Aug 8",14.0,,https://m.media-amazon.com/images/I/61f+u4iQJML._AC_UL320_.jpg,organic,7454898011,solid gold,1,13,66690.0,0.0,0.0
