asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B07RS3PSV6,37.9,"Italian 925 Sterling Silver Byzantine Bracelet for Women, Handmade in Italy",4.5,USD,True,False,37.9,False,,1K+ bought in past month,1,7038,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",2.0,,https://m.media-amazon.com/images/I/71K8+TUpsFL._AC_UL320_.jpg,organic,7454898011,sterling silver,1,1,266740.2,0.0,0.0
B07RTYG74J,17.9,"925 Sterling Silver Italian 5mm Mesh Link Chain Bracelet for Women, Made in Italy",4.5,USD,True,False,17.9,False,,600+ bought in past month,1,9249,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",3.0,,https://m.media-amazon.com/images/I/71V7iLMxdwL._AC_UL320_.jpg,organic,7454898011,sterling silver,1,2,165557.09999999998,0.0,0.0
B0BXRT1P8T,9.99,Dainty Bracelets for Women，Sterling Silver Plated Link Chain Charm Bracelet Set for Women Stack 14K Gold Plated Link Bracelets Jewelry for Women,4.4,USD,True,False,9.99,False,,1K+ bought in past month,1,496,False,15.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",4.0,,https://m.media-amazon.com/images/I/71VLD20mfOL._AC_UL320_.jpg,organic,7454898011,sterling silver,1,3,4955.04,6.0,0.37523452157598497
B01N2P0O12,6.99,925 Sterling Silver Five-Line Chain with Five-Heart Bracelet Bangle,4.1,USD,True,False,6.99,False,,400+ bought in past month,1,13178,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",5.0,,https://m.media-amazon.com/images/I/610K4UCMw9L._AC_UL320_.jpg,organic,7454898011,sterling silver,1,4,92114.22,0.0,0.0
B0C5C1HFMJ,9.99,"Sterling Silver Bangle Bracelets for Women,Fashion Jewelry Simple Adjustable 925 Silver Cuff Bangles for Women Mom Wife Valentine Mothers Day Gift",4.1,USD,True,False,9.99,False,,300+ bought in past month,1,298,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",6.0,,https://m.media-amazon.com/images/I/51ShgwHsEDL._AC_UL320_.jpg,organic,7454898011,sterling silver,1,5,2977.02,0.0,0.0
B07JBL8QTD,17.9,"925 Sterling Silver Italian 5mm Solid Diamond-Cut Cuban Link Curb Chain Bracelet for Men Women, Made in Italy",4.3,USD,True,False,17.9,False,,500+ bought in past month,1,5602,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",7.0,,https://m.media-amazon.com/images/I/71bX6QF9yDL._AC_UL320_.jpg,organic,7454898011,sterling silver,1,6,100275.79999999999,0.0,0.0
B07SRWHDY4,23.9,"925 Sterling Silver Italian Handmade 4mm Bead Ball Strand Chain Bracelet for Women 6.5, 7, 7.5, 8 Inch Made in Italy",4.6,USD,True,False,23.9,False,,500+ bought in past month,1,4206,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",8.0,,https://m.media-amazon.com/images/I/61I4hrkpwOL._AC_UL320_.jpg,organic,7454898011,sterling silver,1,7,100523.4,0.0,0.0
B0BWWSHLYS,3.99,"925 Sterling Silver Bracelet for Women, Love Heart Chain Bracelet Bangle, Women’s Link Bracelets",3.5,USD,True,False,3.99,False,,100+ bought in past month,1,132,False,9.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",9.0,,https://m.media-amazon.com/images/I/51NuuZk8SxL._AC_UL320_.jpg,organic,7454898011,sterling silver,1,8,526.6800000000001,6.0,0.6006006006006006
B0978V958Y,14.9,"Solid 925 Sterling Silver Italian 3mm Paperclip Link Chain Bracelet for Women Men, Made in Italy",4.7,USD,True,False,14.9,False,,500+ bought in past month,1,1537,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",10.0,,https://m.media-amazon.com/images/I/617rDx66dIS._AC_UL320_.jpg,organic,7454898011,sterling silver,1,9,22901.3,0.0,0.0
B0CY2RY6TB,12.79,Sterling Silver Chain Bracelet: Dainty Stackable Bracelets for Women Trendy Cute Adjustable Layered Paperclip Womens Bracelet Set Silver Waterproof Jewelry for Women,4.6,USD,True,False,12.79,False,,50+ bought in past month,1,28,False,13.79,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",11.0,,https://m.media-amazon.com/images/I/61OSa9eMvYL._AC_UL320_.jpg,organic,7454898011,sterling silver,1,10,358.12,1.0,0.07251631617113852
