asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0CM93RCLR,6.99,1PCS Crystal Stone Bracelets for Women Men Semi-Precious Gemstone Bracelets 8mm Round Beads Stretch Beaded Bracelet Jewelry Gifts,4.2,USD,True,False,6.99,False,,,1,87,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",1,,https://m.media-amazon.com/images/I/71ihd8uUjiL._AC_UL320_.jpg,organic,7454898011,sunstone,1,1,608.13,0.0,0.0
B075VC8NT2,9.99,Natural Gemstone Round Beads Stretch Bracelet Healing Reiki 8mm,4.5,USD,True,False,9.99,False,,,1,2150,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",2,,https://m.media-amazon.com/images/I/511Vtb+vK1L._AC_UL320_.jpg,organic,7454898011,sunstone,1,2,21478.5,0.0,0.0
B07MGX4SYP,9.99,"Handmade Gem Semi Precious Gemstone 6mm Round Beads Stretch Bracelet 7"" Unisex",4.5,USD,True,False,9.99,False,,,1,5171,False,10.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",3,,https://m.media-amazon.com/images/I/61Eg-uNhIWL._AC_UL320_.jpg,organic,7454898011,sunstone,1,3,51658.29,1.0,0.09099181073703366
B07L8QJ4NP,11.99,Charged Premium Natural Crystal Chip Bead Bracelet + Moroccan Selenite Charging Crystal [Included],4.3,USD,True,False,11.99,False,,,1,1282,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",4,,https://m.media-amazon.com/images/I/81dWniDZsgL._AC_UL320_.jpg,organic,7454898011,sunstone,1,4,15371.18,0.0,0.0
B01IEUYKG2,12.99,Gem Semi Precious Gemstone 8mm Round Beads Stretch Bracelet 7 Inch Unisex,4.6,USD,True,False,12.99,False,,,1,1389,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",5,,https://m.media-amazon.com/images/I/515GmhrvcxL._AC_UL320_.jpg,organic,7454898011,sunstone,1,5,18043.11,0.0,0.0
B07M7VH9TF,7.99,"Gem Semi Precious Gemstone 6mm Round Beads Stretch Bracelet 7"" Unisex",4.6,USD,True,False,7.99,False,,,1,223,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",6,,https://m.media-amazon.com/images/I/51GrYquM5yL._AC_UL320_.jpg,organic,7454898011,sunstone,1,6,1781.77,0.0,0.0
B08FX6LK7D,9.59,Gem Semi Precious Gemstone 6mm Round Beads Stretch Bracelet 6.5 Inch Unisex,4.5,USD,True,False,9.59,False,,,1,1080,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",7,,https://m.media-amazon.com/images/I/41dbPwqd8VL._AC_UL320_.jpg,organic,7454898011,sunstone,1,7,10357.2,0.0,0.0
B089NZZS6W,9.99,"Natural Healing Gemstone Bracelet, 8mm Semi Precious Stone Bracelet for Men Women, Stress Relief Crystal Jewelry",4.5,USD,True,False,9.99,False,,,1,1237,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",8,,https://m.media-amazon.com/images/I/511GbO7-JYL._AC_UL320_.jpg,organic,7454898011,sunstone,1,8,12357.630000000001,0.0,0.0
B0CMCJP8SQ,9.99,Healing Crystal Bracelet Genuine Stone Bracelet Protection Anxiety Bracelet 7 Chakra Bracelet 6.5 inch Malachite Aquamarine Citrine 8MM Beads Get Well Soon Bracelet,4.5,USD,True,False,9.99,False,,,1,108,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",9,,https://m.media-amazon.com/images/I/81S2A0I69fL._AC_UL320_.jpg,organic,7454898011,sunstone,1,9,1078.92,0.0,0.0
B0C8LVH7XN,11.25,"Grade A++ Crystal Bead Bracelet, Wholesale Genuine Gemstone Stetch Bracelet, Healing Crystal Bracelet Bead Bracelet, Gift for Men & Women",4.4,USD,False,False,11.25,False,,,1,17,False,0.0,FREE delivery on $35 shipped by Amazon.,10,,https://m.media-amazon.com/images/I/51XvdZAbxQL._AC_UL320_.jpg,organic,7454898011,sunstone,1,10,191.25,0.0,0.0
