asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B09V36LPLK,7.99,"Triple Protection Bracelet, Tigers Eye - Black Obsidian and Hematite Beaded Bracelets for Men Women, Tourmaline Spiritual Natural Crystal Stone Luck Bracelet, Birthday Mother's Day Gift",4.5,USD,True,False,7.99,True,,,1,298,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",1,,https://m.media-amazon.com/images/I/613XyHphYKL._AC_UL320_.jpg,paid,7454898011,tiger's eye,1,1,2381.02,0.0,0.0
B0BMTHT8HZ,12.97,Tiger Eye Mens Bracelet Gifts Anniversary Birthday Father's Day Christmas Gifts for Boyfriend Dad Son Husband 8mm Adjustable Protection Bead Bracelet for Him,4.6,USD,True,False,12.97,True,,,1,641,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by Amazon",2,,https://m.media-amazon.com/images/I/81YprnAojYL._AC_UL320_.jpg,paid,7454898011,tiger's eye,1,2,8313.77,0.0,0.0
B0D5CP1VZL,7.99,Cross Bracelet for Women Men 8mm Natural Gemstone Crystal Bracelet Religious Christian Bracelet Stretch Beaded Bracelet for Men Women,0.0,USD,True,False,7.99,True,,,1,20,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",11,,https://m.media-amazon.com/images/I/61bp82OeoZL._AC_UL320_.jpg,paid,7454898011,tiger's eye,1,3,159.8,0.0,0.0
B0CN7F4WL9,9.99,"Men's Bead Bracelet - 8mm Tiger Eye Beads, Black Obsidian, Hematite",4.1,USD,True,False,9.99,True,,,1,18,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",12,,https://m.media-amazon.com/images/I/61cMcOKH+jL._AC_UL320_.jpg,paid,7454898011,tiger's eye,1,4,179.82,0.0,0.0
B0D1VN9LSZ,38.99,"Tiger Eye Leather Bracelet for Men,3 Layer Multi-Layer Braided Leather Bracelet With Natural Tiger Eyes Gemstone 361L Stainless Steel Clasp Men Leather Cuff Bracelet Jewelry Gift for Men",5.0,USD,True,False,38.99,True,,,1,3,False,0.0,"FREE delivery Thu, Aug 15",13,,https://m.media-amazon.com/images/I/61ojtzxz+OL._AC_UL320_.jpg,paid,7454898011,tiger's eye,1,5,116.97,0.0,0.0
B0D39B43FL,8.99,Natural Stone Beaded Healing Bracelets for Men Women Adjustable 6mm Tiger Eye Obsidian Matte Agate Hematite Beads Crystal Bracelet Set for Mens BF Husband Him Birthday Gifts,4.0,USD,True,False,8.99,True,,,1,1,False,0.0,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",14,,https://m.media-amazon.com/images/I/61xsZDRjd9L._AC_UL320_.jpg,paid,7454898011,tiger's eye,1,6,8.99,0.0,0.0
B0D3D3SVF6,12.99,Mens Beaded Bracelets Set 8MM Tiger Eye Lava Stone Stretch Natural Stone Men's Bead Bracelet Mens Bracelet,4.3,USD,True,False,12.99,True,,100+ bought in past month,1,9,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by Amazon",19,,https://m.media-amazon.com/images/I/71Tebjd02FL._AC_UL320_.jpg,paid,7454898011,tiger's eye,1,7,116.91,0.0,0.0
B0D3XK8LLN,11.99,"8MM-Tiger Eye Beaded Bracelets for Men Natural Stone Elastic Bracelet Set Lava Rock Beaded Bracelets for Men,Birthday Gifts for Son Boyfriend Brother for Him",4.8,USD,True,False,11.99,True,,50+ bought in past month,1,7,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",20,,https://m.media-amazon.com/images/I/71buaDDWjiL._AC_UL320_.jpg,paid,7454898011,tiger's eye,1,8,83.93,0.0,0.0
B0C5R51ZYY,15.97,𝐔𝐧𝐢𝐪𝐮𝐞 𝐆𝐢𝐟𝐭𝐬 for Men 𝐋𝐞𝐚𝐭𝐡𝐞𝐫 𝐁𝐫𝐚𝐜𝐞𝐥𝐞𝐭 𝐟𝐨𝐫 𝐌𝐞𝐧 Dad Boyfriend Son Grandson Brother Love You Forever Tiger Eye Stone Father's Day Birthday Anniversary Christmas Black Jewelry 7.5/8.5/9 Inches,4.6,USD,True,False,15.97,True,,,1,317,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",21,,https://m.media-amazon.com/images/I/81nPWg45yoL._AC_UL320_.jpg,paid,7454898011,tiger's eye,1,9,5062.49,0.0,0.0
B01N2Y8UOB,64.99,925K Stamped Sterling Silver Men Natural Tiger Eye Ring I1B,4.5,USD,True,False,64.99,True,,,1,508,False,0.0,"FREE delivery Thu, Aug 15",22,,https://m.media-amazon.com/images/I/71CW1j2RyfL._AC_UL320_.jpg,paid,7454898011,tiger's eye,1,10,33014.92,0.0,0.0
