asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B07MR68D1Z,7.99,"Handmade Gem Semi Precious Gemstone 6mm Round Beads Stretch Bracelet 7"" Unisex",4.5,USD,True,False,7.99,False,,200+ bought in past month,1,5171,False,8.49,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",1.0,,https://m.media-amazon.com/images/I/61ipxUtLKQL._AC_UL320_.jpg,organic,7454898011,tourmaline,1,1,41316.29,0.5,0.058892815076560655
B09BDV7W8W,11.95,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 4mm Round Beads",4.4,USD,True,False,11.95,False,,,1,1056,False,13.95,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",2.0,,https://m.media-amazon.com/images/I/51nsYH4qLyL._AC_UL320_.jpg,organic,7454898011,tourmaline,1,2,12619.199999999999,2.0,0.14336917562724016
B0C38KTHS6,14.99,Natural Stone Bead Tourmaline Bracelet Healing Energy Bracelet Stress Relief Relaxation Gifts for Women Sisters Friends,4.3,USD,True,False,14.99,False,,,1,15,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",3.0,,https://m.media-amazon.com/images/I/61J2B3LCYJL._AC_UL320_.jpg,organic,7454898011,tourmaline,1,3,224.85,0.0,0.0
B0BX7NRY16,9.99,Handmade Natural Stone Black Tourmaline Adjustable Black String Bracelet Men's and Women's Gifts,4.5,USD,False,False,9.99,False,,,1,26,False,0.0,FREE delivery on $35 shipped by Amazon.,5.0,,https://m.media-amazon.com/images/I/61Co5FNzcJL._AC_UL320_.jpg,organic,7454898011,tourmaline,1,4,259.74,0.0,0.0
B0C6M8RFWN,11.99,Black Tourmaline Bracelet Leather Wrap Bracelet Healing tourmaline bracelet Gifts for Women Girl,4.1,USD,True,False,11.99,False,,,1,26,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",6.0,,https://m.media-amazon.com/images/I/61zf5KbtRhL._AC_UL320_.jpg,organic,7454898011,tourmaline,1,5,311.74,0.0,0.0
B0BYTKCC4Z,14.99,Handmade Natural Stone Black Tourmaline 5 pc Adjustable Black String Bracelet Men's and Women's Gifts,4.5,USD,True,False,14.99,False,,50+ bought in past month,1,40,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",7.0,,https://m.media-amazon.com/images/I/71lFBQNYQML._AC_UL320_.jpg,organic,7454898011,tourmaline,1,6,599.6,0.0,0.0
B07Q2615VS,14.95,"Small, Medium, Large Sizes - Gemstone Beaded Bracelets For Women and Men - 6mm Round Beads",4.4,USD,True,False,14.95,False,,,1,2792,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",8.0,,https://m.media-amazon.com/images/I/71JX5IKzdnL._AC_UL320_.jpg,organic,7454898011,tourmaline,1,7,41740.4,0.0,0.0
B0CYZR59JX,14.99,"Natural Black Tourmaline Bracelet - Authentic Black Tourmaline Link Chain Tourmaline Bracelet, Stone Bracelet Healing Protection Energy Chakra Yoga Crystal Bracelet Jewelry Gift for Women",3.8,USD,True,False,14.99,False,,,1,5,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",9.0,,https://m.media-amazon.com/images/I/41YWQO9yF2L._AC_UL320_.jpg,organic,7454898011,tourmaline,1,8,74.95,0.0,0.0
B0BRVXD71B,23.0,"Black Tourmaline Red String Bracelet - Protective Evil Eye Kabbalah Amulet for Men & Women, Unisex Adjustable Cord, Spiritual Jewelry Gift",4.4,USD,True,False,23.0,False,,,1,19,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",10.0,,https://m.media-amazon.com/images/I/51dlxEG0miL._AC_UL320_.jpg,organic,7454898011,tourmaline,1,9,437.0,0.0,0.0
B072HCY55P,9.99,Handmade 8mm Genuine Natural Gemstone Beads Stretchy Bracelet 7.5'' Unisex,4.4,USD,True,False,9.99,False,,,1,398,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sun, Aug 11",11.0,,https://m.media-amazon.com/images/I/51AJexHBoJL._AC_UL320_.jpg,organic,7454898011,tourmaline,1,10,3976.02,0.0,0.0
