asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0D8KH6W8R,48.99,Bracelet for Women 925 Sterling Silver Hexagon Gemstone Link Bracelet Fine Jewelry Anniversary Birthday Christmas Gifts for Women Her,0.0,USD,True,False,48.99,True,,,1,12,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",1,,https://m.media-amazon.com/images/I/51EtDBVkGpL._AC_UL320_.jpg,paid,7454898011,turquoise,1,1,587.88,0.0,0.0
B0BVY9PNZ8,55.99,"Birthstone Bracelets 925 Sterling Silver Moon and Star Bangle Charm Bracelet Fine Jewelry Birthday Anniversary Christmas Day Gift for Her Women, Adjustable Chain 6.7""+1.2"" Extend",4.4,USD,True,False,55.99,True,,,1,53,False,69.99,"FREE delivery Mon, Aug 12 Or fastest delivery Tomorrow, Aug 8",17,,https://m.media-amazon.com/images/I/614DISiRwOL._AC_UL320_.jpg,paid,7454898011,turquoise,1,2,2967.4700000000003,13.999999999999993,0.20002857551078718
B0CFHN5JWR,89.0,by Ross-Simons 3-3.5mm Turquoise Bead Station Bracelet in 14kt Yellow Gold,5.0,USD,True,False,89.0,True,,,1,1,False,0.0,"FREE delivery Tomorrow, Aug 8",18,,https://m.media-amazon.com/images/I/51D8kFbKeLL._AC_UL320_.jpg,paid,7454898011,turquoise,1,3,89.0,0.0,0.0
B0C3HBQLKG,25.99,"Turquoise Bracelet,Blue Gem Stone Bracelet S925 Sterling Silver Round Turquoise Bracelets Jewelry for women",3.9,USD,True,False,25.99,True,,,1,57,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",19,,https://m.media-amazon.com/images/I/61aRNKRBKaS._AC_UL320_.jpg,paid,7454898011,turquoise,1,4,1481.4299999999998,0.0,0.0
B09CQBD9KS,15.9,"Turquoise Beaded Bracelet for Women Teens and Girls, Boho Adjustable String Turquoise Pink Silver Beads Bracelets, Bohemian Hippie Indian Style, Handmade Jewelry By Tribes (Turquoise pink)",4.7,USD,True,False,15.9,True,,,1,34,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",20,,https://m.media-amazon.com/images/I/41sEdUSnqWS._AC_UL320_.jpg,paid,7454898011,turquoise,1,5,540.6,0.0,0.0
B0CCW6WR2V,23.89,925 Sterling Silver Spoon Ring Adjustable Victorian Vintage Eye of Horus Spoon Thumb Ring Turquoise Cow Skill Aztec Calendar Sign Wolf Head Spoon Ring Spiritual Protection Jewelry Gift for Women,4.2,USD,True,False,23.89,True,,,1,22,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",25,,https://m.media-amazon.com/images/I/719ExOf1IZL._AC_UL320_.jpg,paid,7454898011,turquoise,1,6,525.58,0.0,0.0
B0CFHNNVJZ,36.09,Turquoise Earrings for Women 925 Sterling Silver Turquoise Dangle Drop Boho Earrings Western Turquoise Jewelry Birthday Xmas Gifts for Mom Wife,0.0,USD,True,False,36.09,True,,,1,0,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",26,,https://m.media-amazon.com/images/I/613BKukoi7L._AC_UL320_.jpg,paid,7454898011,turquoise,1,7,0.0,0.0,0.0
B09J1SZXSN,149.0,Stauer Sedona Turquoise Genuine Arizona Turquoise Jewelry Earring Set,4.3,USD,True,False,149.0,True,,,1,21,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",27,,https://m.media-amazon.com/images/I/51WD1uR57AL._AC_UL320_.jpg,paid,7454898011,turquoise,1,8,3129.0,0.0,0.0
B0D8PXVWZ7,14.99,"Double Circle Ceramic Bead Bracelet, Gradient Green, Flower Charms, Delicate Bracelet for Women",5.0,USD,True,False,14.99,True,,,1,5,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by AmazonOr fastest delivery Mon, Aug 12",28,,https://m.media-amazon.com/images/I/71O3YAj9bKL._AC_UL320_.jpg,paid,7454898011,turquoise,1,9,74.95,0.0,0.0
B0D3PTND3G,9.99,2Pcs Heart Bracelet for Women 8mm Crystal Bracelets Gifts Healing Crystal Bracelets Love Charm Bracelet for Women Natural Stone Stretchable Jewelry Birthday Beaded Bracelet Gift for Women,4.7,USD,True,False,9.99,True,,,1,12,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",33,,https://m.media-amazon.com/images/I/71JggI1IM0L._AC_UL320_.jpg,paid,7454898011,turquoise,1,10,119.88,0.0,0.0
