asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0D6QKVNXN,59.99,"Moissanite Halo Earrings 0.2ct-4ct Moissanite Stud Earrings for Women, 18k White Gold Plated 925 Sterling Silver Men's Diamond Stud Earrings D Color VVS1 Brilliant Cut Simulated Diamond Studs with Push Back Bling Jewelry Gifts",4.9,USD,,False,59.99,True,,,1,18,False,0.0,,,1.0,#,https://aax-us-iad.amazon.com/e/loi/imp?b=JBVn48p5S1bykQK9nd7ZDf4AAAGQhzT-1gEAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICCvhCWI,paid,7454898011,moissanite,1,1,1079.82,0.0,0.0
B0CM6F89QZ,69.99,"Moissanite Stud Earrings, Round Cut D Color VVS1 Clarity Lab Created Diamond Earrings Studs 18K White Gold Plated 925 Sterling Silver Jewelry for Women Men",4.8,USD,,False,69.99,True,,100+ bought in past month,1,95,False,0.0,,,2.0,#,https://aax-us-iad.amazon.com/e/loi/imp?b=JEG2CCadZ3aGSnzuEXlCXocAAAGQhzT-8AEAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICCfrkZP,paid,7454898011,moissanite,1,2,6649.049999999999,0.0,0.0
B0CC4PS6S2,99.99,"Moissanite Tennis Bracelet, 1.52ct-7.76ct Diamond Bracelets for Women, 18K White Gold Plated S925 Sterling Silver Adjustable Tennis Bracelets, D Color VVS1 Round Brilliant Cut Lab Created Moissanite Bracelets Trendy Gifts for Her",4.5,USD,True,False,99.99,False,,50+ bought in past month,1,127,False,0.0,"FREE delivery Thu, Jul 11 Or fastest delivery Wed, Jul 10",1.0,,/Moissanite-Bracelet-Sterling-Adjustable-Brilliant/dp/B0CC4PS6S2/ref=sr_1_1?dib=eyJ2IjoiMSJ9.RavKC9DWSMjjXIwlzJ3D4T9ecxqCHxiXHKRlSTITebQc77kjpqVgcwj51pBFW0BTieDC6GpQlJgXzGfEFLsa8pIVf1Jhn9MATb8T_dCdSlmbwx2Au3-B_yklExIBaFa_KDDsl9t5zo3RWxGGjowqWnQ8MF_q13a9GSne7a7Q0OB3LAg3mScl_G97q5Hm0DhMBfNCW70yZDBqw2esTbHEUKIUa5YnL2QLuk4FWVXNmoFr6dfvb29sV7_9bxf7k7o1FcuGUcvXFweAVphiaCg6nsFmnJOg_saN7i-a7GezoZE.ffnCPQqsvYRAngVkcfO_BlEAoCzCrwBhDwS4OPv1lBk&dib_tag=se&keywords=moissanite&qid=1720255315&s=apparel&sr=1-1,https://m.media-amazon.com/images/I/719urHgmKjL._AC_UL320_.jpg,organic,7454898011,moissanite,1,1,12698.73,0.0,0.0
B0CGPPVFXM,65.99,"Moissanite Cuff Bangle, 1.8cttw D Color Lab Created Diamond Bracelet fit 7"" Below Wrist, 18K Gold Plated Sterling Silver Bangle for Women or Girlfriend Birthday Gifts",4.5,USD,True,False,65.99,False,,,1,19,False,0.0,"FREE delivery Thu, Jul 11 Or fastest delivery Wed, Jul 10",2.0,,/PROSTORY-Moissanite-Bracelet-Sterling-Girlfriend/dp/B0CGPPVFXM/ref=sr_1_2?dib=eyJ2IjoiMSJ9.RavKC9DWSMjjXIwlzJ3D4T9ecxqCHxiXHKRlSTITebQc77kjpqVgcwj51pBFW0BTieDC6GpQlJgXzGfEFLsa8pIVf1Jhn9MATb8T_dCdSlmbwx2Au3-B_yklExIBaFa_KDDsl9t5zo3RWxGGjowqWnQ8MF_q13a9GSne7a7Q0OB3LAg3mScl_G97q5Hm0DhMBfNCW70yZDBqw2esTbHEUKIUa5YnL2QLuk4FWVXNmoFr6dfvb29sV7_9bxf7k7o1FcuGUcvXFweAVphiaCg6nsFmnJOg_saN7i-a7GezoZE.ffnCPQqsvYRAngVkcfO_BlEAoCzCrwBhDwS4OPv1lBk&dib_tag=se&keywords=moissanite&qid=1720255315&s=apparel&sr=1-2,https://m.media-amazon.com/images/I/61egXloRPOL._AC_UL320_.jpg,organic,7454898011,moissanite,1,2,1253.81,0.0,0.0
B0BFHRBST5,59.99,"Moissanite Bracelets for Women, 925 Sterling Silver Plated 18K Gold, Dainty Link Bracelet, Valentine's day Birthday Jewellery Gift for Women Girls Her",4.3,USD,True,False,59.99,False,,,1,47,False,0.0,"FREE delivery Thu, Jul 11 Or fastest delivery Wed, Jul 10",3.0,,/PANCEAN-Moissanite-Bracelet-Valentines-Jewellery/dp/B0BFHRBST5/ref=sr_1_3?dib=eyJ2IjoiMSJ9.RavKC9DWSMjjXIwlzJ3D4T9ecxqCHxiXHKRlSTITebQc77kjpqVgcwj51pBFW0BTieDC6GpQlJgXzGfEFLsa8pIVf1Jhn9MATb8T_dCdSlmbwx2Au3-B_yklExIBaFa_KDDsl9t5zo3RWxGGjowqWnQ8MF_q13a9GSne7a7Q0OB3LAg3mScl_G97q5Hm0DhMBfNCW70yZDBqw2esTbHEUKIUa5YnL2QLuk4FWVXNmoFr6dfvb29sV7_9bxf7k7o1FcuGUcvXFweAVphiaCg6nsFmnJOg_saN7i-a7GezoZE.ffnCPQqsvYRAngVkcfO_BlEAoCzCrwBhDwS4OPv1lBk&dib_tag=se&keywords=moissanite&qid=1720255315&s=apparel&sr=1-3,https://m.media-amazon.com/images/I/61xJS0ADZKL._AC_UL320_.jpg,organic,7454898011,moissanite,1,3,2819.53,0.0,0.0
B0CRDY1ZY4,39.99,Moissanite Bracelet for Women 925 Sterling Silver D Color VVS1 Dainty Adjustable Diamond Bracelets Valentine's day Birthday Jewellery Gift for Women Girls Her,3.7,USD,True,False,39.99,False,,,1,15,False,0.0,"FREE delivery Thu, Jul 11 Or fastest delivery Wed, Jul 10",4.0,,/WOAINI-Moissanite-Adjustable-Bracelets-Valentines/dp/B0CRDY1ZY4/ref=sr_1_4?dib=eyJ2IjoiMSJ9.RavKC9DWSMjjXIwlzJ3D4T9ecxqCHxiXHKRlSTITebQc77kjpqVgcwj51pBFW0BTieDC6GpQlJgXzGfEFLsa8pIVf1Jhn9MATb8T_dCdSlmbwx2Au3-B_yklExIBaFa_KDDsl9t5zo3RWxGGjowqWnQ8MF_q13a9GSne7a7Q0OB3LAg3mScl_G97q5Hm0DhMBfNCW70yZDBqw2esTbHEUKIUa5YnL2QLuk4FWVXNmoFr6dfvb29sV7_9bxf7k7o1FcuGUcvXFweAVphiaCg6nsFmnJOg_saN7i-a7GezoZE.ffnCPQqsvYRAngVkcfO_BlEAoCzCrwBhDwS4OPv1lBk&dib_tag=se&keywords=moissanite&qid=1720255315&s=apparel&sr=1-4,https://m.media-amazon.com/images/I/51DDpyFo6+L._AC_UL320_.jpg,organic,7454898011,moissanite,1,4,599.85,0.0,0.0
B0CZY1HQMD,69.99,"925 Sterling Silver Moissanite Bracelet for Women,1CT D Color VVS1 Diamond Bangle Bracelet with GRA Certificate Perfect Jewelry Gifts",3.5,USD,True,False,69.99,False,,,1,2,False,0.0,"FREE delivery Thu, Jul 11",5.0,,/Sterling-Moissanite-Certificate-Christmas-Valentines/dp/B0CZY1HQMD/ref=sr_1_5?dib=eyJ2IjoiMSJ9.RavKC9DWSMjjXIwlzJ3D4T9ecxqCHxiXHKRlSTITebQc77kjpqVgcwj51pBFW0BTieDC6GpQlJgXzGfEFLsa8pIVf1Jhn9MATb8T_dCdSlmbwx2Au3-B_yklExIBaFa_KDDsl9t5zo3RWxGGjowqWnQ8MF_q13a9GSne7a7Q0OB3LAg3mScl_G97q5Hm0DhMBfNCW70yZDBqw2esTbHEUKIUa5YnL2QLuk4FWVXNmoFr6dfvb29sV7_9bxf7k7o1FcuGUcvXFweAVphiaCg6nsFmnJOg_saN7i-a7GezoZE.ffnCPQqsvYRAngVkcfO_BlEAoCzCrwBhDwS4OPv1lBk&dib_tag=se&keywords=moissanite&qid=1720255315&s=apparel&sr=1-5,https://m.media-amazon.com/images/I/61JNLGjDARL._AC_UL320_.jpg,organic,7454898011,moissanite,1,5,139.98,0.0,0.0
B0CN12LLKX,109.99,2.22-35.00CT Moissanite Tennis Bracelet for Women Men 2-6.5mm D Color VVS1 Round Cut Diamond Tennis Bracelet 18k White Gold Plated 925 Sterling Silver Tennis Bracelet for Women,4.0,USD,True,False,109.99,False,,,1,38,False,0.0,"FREE delivery Thu, Jul 11 Or fastest delivery Wed, Jul 10",6.0,,/Moissanite-Bracelet-Christmas-Diamond-Sterling/dp/B0CN12LLKX/ref=sr_1_6?dib=eyJ2IjoiMSJ9.RavKC9DWSMjjXIwlzJ3D4T9ecxqCHxiXHKRlSTITebQc77kjpqVgcwj51pBFW0BTieDC6GpQlJgXzGfEFLsa8pIVf1Jhn9MATb8T_dCdSlmbwx2Au3-B_yklExIBaFa_KDDsl9t5zo3RWxGGjowqWnQ8MF_q13a9GSne7a7Q0OB3LAg3mScl_G97q5Hm0DhMBfNCW70yZDBqw2esTbHEUKIUa5YnL2QLuk4FWVXNmoFr6dfvb29sV7_9bxf7k7o1FcuGUcvXFweAVphiaCg6nsFmnJOg_saN7i-a7GezoZE.ffnCPQqsvYRAngVkcfO_BlEAoCzCrwBhDwS4OPv1lBk&dib_tag=se&keywords=moissanite&qid=1720255315&s=apparel&sr=1-6,https://m.media-amazon.com/images/I/71bfSob3iHL._AC_UL320_.jpg,organic,7454898011,moissanite,1,6,4179.62,0.0,0.0
B0B9GRVJFT,85.99,"Silver Moissanite Tennis Bracelet,18K White Gold Plated 3mm Round Moissanite Tennis Bracelet 6.5-8.5 Inch",4.5,USD,True,False,85.99,False,,,1,31,False,0.0,"FREE delivery Thu, Jul 11 Or fastest delivery Wed, Jul 10",7.0,,/GMESME-Sterling-Moissanite-Classic-Bracelet/dp/B0B9GRVJFT/ref=sr_1_7?dib=eyJ2IjoiMSJ9.RavKC9DWSMjjXIwlzJ3D4T9ecxqCHxiXHKRlSTITebQc77kjpqVgcwj51pBFW0BTieDC6GpQlJgXzGfEFLsa8pIVf1Jhn9MATb8T_dCdSlmbwx2Au3-B_yklExIBaFa_KDDsl9t5zo3RWxGGjowqWnQ8MF_q13a9GSne7a7Q0OB3LAg3mScl_G97q5Hm0DhMBfNCW70yZDBqw2esTbHEUKIUa5YnL2QLuk4FWVXNmoFr6dfvb29sV7_9bxf7k7o1FcuGUcvXFweAVphiaCg6nsFmnJOg_saN7i-a7GezoZE.ffnCPQqsvYRAngVkcfO_BlEAoCzCrwBhDwS4OPv1lBk&dib_tag=se&keywords=moissanite&qid=1720255315&s=apparel&sr=1-7,https://m.media-amazon.com/images/I/51IrUfaMC+L._AC_UL320_.jpg,organic,7454898011,moissanite,1,7,2665.69,0.0,0.0
B0CLTVR9YH,99.0,"moissanite tennis bracelet 18k white gold plated 925 silver 3-6.5mm D Color VVS1 Round Cut moissanite bracelets for women Men Gift birthday anniversary (3MM, 6.5 inch)",4.6,USD,True,False,99.0,False,,,1,40,False,0.0,"FREE delivery Thu, Jul 11 Or fastest delivery Wed, Jul 10",8.0,,/Gems-Beauty-moissanite-bracelets-anniversary/dp/B0CLTVR9YH/ref=sr_1_8?dib=eyJ2IjoiMSJ9.RavKC9DWSMjjXIwlzJ3D4T9ecxqCHxiXHKRlSTITebQc77kjpqVgcwj51pBFW0BTieDC6GpQlJgXzGfEFLsa8pIVf1Jhn9MATb8T_dCdSlmbwx2Au3-B_yklExIBaFa_KDDsl9t5zo3RWxGGjowqWnQ8MF_q13a9GSne7a7Q0OB3LAg3mScl_G97q5Hm0DhMBfNCW70yZDBqw2esTbHEUKIUa5YnL2QLuk4FWVXNmoFr6dfvb29sV7_9bxf7k7o1FcuGUcvXFweAVphiaCg6nsFmnJOg_saN7i-a7GezoZE.ffnCPQqsvYRAngVkcfO_BlEAoCzCrwBhDwS4OPv1lBk&dib_tag=se&keywords=moissanite&qid=1720255315&s=apparel&sr=1-8,https://m.media-amazon.com/images/I/61LGpRP8hDL._AC_UL320_.jpg,organic,7454898011,moissanite,1,8,3960.0,0.0,0.0
