asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B00MCK31IY,22.0,Sterling Silver Sky Flower Stud Earrings (previously Amazon Collection),4.4,USD,True,False,22.0,False,,,1,6860,False,26.9,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",2.0,,https://m.media-amazon.com/images/I/71pPJzNW2vL._AC_UL320_.jpg,organic,7454917011,peridot,1,1,150920.0,4.899999999999999,0.18215613382899623
B0CZ4H1V5Z,5.99,14K Gold Plated 925 Sterling Silver Post Rose Flower Stud Earrings for Women Birthstone Cubic Zirconia Studs Earrings Hypoallergenic & Nickel Free Jewelry,4.4,USD,True,False,5.99,False,,50+ bought in past month,1,50,False,9.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",3.0,,https://m.media-amazon.com/images/I/51kBd5xsoNL._AC_UL320_.jpg,organic,7454917011,peridot,1,2,299.5,4.0,0.40040040040040037
B00851JMW8,19.99,"925 Sterling Silver Green Peridot Stud Earrings For Women (2.00 Cttw, Gemstone Birthstone, Round 6MM)",4.5,USD,True,False,19.99,False,,100+ bought in past month,1,954,False,0.0,"FREE delivery Tue, Aug 13 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",4.0,,https://m.media-amazon.com/images/I/51EzY82AHaL._AC_UL320_.jpg,organic,7454917011,peridot,1,3,19070.46,0.0,0.0
B07LGBFGLP,229.0,3.90 ct. t.w. Peridot Drop Earrings in 14kt Yellow Gold,4.8,USD,True,False,229.0,False,,,1,19,False,0.0,"FREE delivery Tomorrow, Aug 8",5.0,,https://m.media-amazon.com/images/I/71S1SDLod3L._AC_UL320_.jpg,organic,7454917011,peridot,1,4,4351.0,0.0,0.0
B07H4CDXCB,12.99,4MM Petite Round Shape Cabochon Gemstones White Gold Plated or Yellow Gold Plated 925 Sterling Silver Stud Post Birthstone Earrings Jewelry for Women or Teens Second or third Hole Piercing,4.5,USD,True,False,12.99,False,,,1,2336,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",6.0,,https://m.media-amazon.com/images/I/51W6KjwBxCL._AC_UL320_.jpg,organic,7454917011,peridot,1,5,30344.64,0.0,0.0
B01MEGI6H2,34.44,Pear Shape Gemstones 925 Sterling Silver Leaf Leverback Drop Dangle Earrings Jewelry for Women Anniversary Birthday Gift,4.7,USD,True,False,34.44,False,,,1,526,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Sat, Aug 10",7.0,,https://m.media-amazon.com/images/I/61Zf9T+543L._AC_UL320_.jpg,organic,7454917011,peridot,1,6,18115.44,0.0,0.0
B076HB8TBM,49.99,Solid 14K Yellow or White or Rose Gold 6mm Round Genuine Birthstone Gemstone Prong Set Stud Earrings For Women,4.2,USD,True,False,49.99,False,,50+ bought in past month,1,2404,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",8.0,,https://m.media-amazon.com/images/I/71yim07sl9L._AC_UL320_.jpg,organic,7454917011,peridot,1,7,120175.96,0.0,0.0
B09DK5K7Q6,16.49,"Sparkling 925 Sterling Silver Birthstone Stud Earrings for Women, Heart/Round/Teardrop/Square Crystal Solitaire Diamond Studs Halo Earrings, Great Birthday/Christmas Gifts",4.5,USD,True,False,16.49,False,,,1,1204,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",9.0,,https://m.media-amazon.com/images/I/71iOW2FUixL._AC_UL320_.jpg,organic,7454917011,peridot,1,8,19853.96,0.0,0.0
B07QMZF6D6,39.99,"Solid 14K Yellow, White or Rose Gold 4mm Round Genuine Gemstone Birthstone Prong Set Stud Earrings For Women",4.2,USD,True,False,39.99,False,,,1,2646,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",10.0,,https://m.media-amazon.com/images/I/71yim07sl9L._AC_UL320_.jpg,organic,7454917011,peridot,1,9,105813.54000000001,0.0,0.0
B0CRTPW479,39.99,Dangle Drop Earrings 925 Sterling Silver Dainty Infinity Round Gemstone Birthstone Earring Fine Jewelry Birthday Gifts for Her Women,4.6,USD,False,False,39.99,False,,50+ bought in past month,1,59,False,0.0,FREE delivery,11.0,,https://m.media-amazon.com/images/I/61Fwce+qHwL._AC_UL320_.jpg,organic,7454917011,peridot,1,10,2359.4100000000003,0.0,0.0
B074RBCCTM,22.94,4MM Round Shape Birthstone Stud Earrings In 14K Gold Over Sterling Silver (0.5 Ct),4.3,USD,True,False,22.94,False,,50+ bought in past month,1,256,False,27.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",12.0,,https://m.media-amazon.com/images/I/51uVfKQHriL._AC_UL320_.jpg,organic,7454917011,peridot,1,11,5872.64,5.049999999999997,0.1804215791354054
B09MDR1DLC,19.99,14K Gold Plated 925 Sterling Silver Hypoallergenic 3mm Round Genuine Birthstone Solitaire Screwback Stud Earrings,4.4,USD,True,False,19.99,False,,50+ bought in past month,1,777,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",13.0,,https://m.media-amazon.com/images/I/51mmHenyYEL._AC_UL320_.jpg,organic,7454917011,peridot,1,12,15532.23,0.0,0.0
B073S83GSQ,16.0,Sterling Silver Genuine and Created Gemstone Three Stone Birthstone Leverback Dangle Earrings (previously Amazon Collection),4.5,USD,True,False,16.0,False,,50+ bought in past month,1,3636,False,19.9,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",14.0,,https://m.media-amazon.com/images/I/61I9CdTjtiL._AC_UL320_.jpg,organic,7454917011,peridot,1,13,58176.0,3.8999999999999986,0.19597989949748737
B072R467N3,23.0,"Sterling Silver Gemstones Celtic Knot Linear Drop Earrings, (previously Amazon Collection)",4.6,USD,True,False,23.0,False,,,1,1131,False,29.09,"FREE delivery Wed, Aug 14 on $35 of items shipped by Amazon",15.0,,https://m.media-amazon.com/images/I/81vFyWziKUL._AC_UL320_.jpg,organic,7454917011,peridot,1,14,26013.0,6.09,0.20935029219663115
B0C131F934,17.99,Sterling Silver Small Dainty Birthstone Drop Earrings for Women Girls with Rectangular Baguette/Teardrop Crystal & Huggie Hoop Silver Dangle Earring for Wedding Birthday Everyday Wear,4.5,USD,True,False,17.99,False,,,1,170,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",16.0,,https://m.media-amazon.com/images/I/61cjdUluSZL._AC_UL320_.jpg,organic,7454917011,peridot,1,15,3058.2999999999997,0.0,0.0
B09268F46D,11.99,925 Sterling Silver Sparkling Heart/Round/Princess Cut Birthstone Stud Earrings for Women Birthday Jewelry (with Gift Box),4.5,USD,True,False,11.99,False,,,1,2956,False,14.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Tomorrow, Aug 8",17.0,,https://m.media-amazon.com/images/I/61Yf+rL5f2S._AC_UL320_.jpg,organic,7454917011,peridot,1,16,35442.44,3.0,0.200133422281521
