asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0CC7QHSZS,119.99,"Christian Cross Moissanite Pendant Necklace for Women,S925 Plated 18K White Gold,Natural Gemstone Crucifix Pendant, Birthday Wedding Christmas Mother's Day Gift,18±2 Inch",4.7,USD,,False,119.99,True,,,1,11,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JLVoczfPeXwmFy5Pfdrps6UAAAGRLTFoLQEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICDYVHDf,paid,7454917011,moissanite,1,1,1319.8899999999999,0.0,0.0
B0BJNN3KCM,65.99,"Willow Round and Marquise 5-Stone Moissanite Engagement Rings for Women, 1.2ct D Color VVS1 Clarity Lab Created Diamond Ring 14K White/Yellow/Rose Gold Filled Twig Moissanite Anniversary Rings",4.2,USD,,False,65.99,True,,,1,310,False,0.0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JGCfhPoxYtBpKKhO3fxlj0MAAAGRLTFoHAEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICCmE4z0,paid,7454917011,moissanite,1,2,20456.899999999998,0.0,0.0
B08LNJN5YK,19.76,1/2/3ct Moissanite Stud Earrings for Women 925 Sterling Silver Hypoallergenic Flat Back 1 Pair DEF Color Lab Created Brilliant Round Moissanite Diamond Earrings,4.6,USD,True,False,19.76,False,,300+ bought in past month,1,795,False,59.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",1.0,,https://m.media-amazon.com/images/I/71dCza4GQIL._AC_UL320_.jpg,organic,7454917011,moissanite,1,1,15709.2,39.239999999999995,0.6650847457627118
B0BX8VDKKS,27.99,Huggie earrings for women Ear Cuff Moissanite Stud Earrings Hypoallergenic Earrings for Women Sterling Silver Earrings for Women with 18K White Gold Plated,4.4,USD,True,False,27.99,False,,600+ bought in past month,1,211,False,49.99,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",2.0,,https://m.media-amazon.com/images/I/61eBrDueEAL._AC_UL320_.jpg,organic,7454917011,moissanite,1,2,5905.889999999999,22.000000000000004,0.44008801760352073
B09H6N7QVM,39.99,Moissanite Stud Earrings with 0.6ct-3ct D Color Round Cut Lab Created Diamond Earrings in Sterling Silver with 18K White Gold Plated for Women Men,4.6,USD,True,False,39.99,False,,900+ bought in past month,1,410,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",3.0,,https://m.media-amazon.com/images/I/71OVoLTAh4L._AC_UL320_.jpg,organic,7454917011,moissanite,1,3,16395.9,0.0,0.0
B0CVQZLDVP,29.95,14K Real Gold Moissanite Stud Earrings for Women Men | 0.2-4 Carat Round Lab Created Moissanite Stone Solid Gold Stud Earrings,4.2,USD,True,False,29.95,False,,,1,15,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",4.0,,https://m.media-amazon.com/images/I/41YAyXDv2CL._AC_UL320_.jpg,organic,7454917011,moissanite,1,4,449.25,0.0,0.0
B0C5ZCRC5P,31.99,"Moissanite Stud Earrings - Moissanite Earrings for Women, Moissanite Stud Earrings for Women, Moissanite Earrings for Men, Lab Created Diamond Earrings, Moissanite Earrings Screw Back, Round, 0.6-2ct",4.4,USD,True,False,31.99,False,,100+ bought in past month,1,219,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",5.0,,https://m.media-amazon.com/images/I/81nwO5qQVUL._AC_UL320_.jpg,organic,7454917011,moissanite,1,5,7005.8099999999995,0.0,0.0
B0BC3WT4WL,39.99,"Moissanite Earrings,1.0ct-2.0ct D Color Brilliant Round Cut Lab Created Diamond Earrings 18K White Gold Sterling Silver Dangle Earrings Moissanite Leverback Drop Earrings",4.6,USD,True,False,39.99,False,,500+ bought in past month,1,475,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",6.0,,https://m.media-amazon.com/images/I/71qn-qDojLL._AC_UL320_.jpg,organic,7454917011,moissanite,1,6,18995.25,0.0,0.0
B08SC8TDBV,44.9,"2CT Moissanite Stud Earrings, C6P D Color Ideal Cut Lab Created Diamond 18K White Gold Plated Earrings for Women with Certificate of Authenticity",4.4,USD,True,False,44.9,False,,300+ bought in past month,1,405,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Sat, Aug 10",7.0,,https://m.media-amazon.com/images/I/61aNEI9QOFL._AC_UL320_.jpg,organic,7454917011,moissanite,1,7,18184.5,0.0,0.0
B0CHV6FT5Y,85.99,ABSOLUTE Moissanite Stud Earrings for Womens 2 Carat S925 Sterling Silver Earrings for Women D Color VVS1 Clarity Moissanite Earrings,4.5,USD,True,False,85.99,False,,50+ bought in past month,1,76,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",8.0,,https://m.media-amazon.com/images/I/71OS0OHSRDL._AC_UL320_.jpg,organic,7454917011,moissanite,1,8,6535.24,0.0,0.0
