asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0BJNSWJCJ,59.99,"5 Stone Moissanite Rings for Women, 3.75MM D Color VVS1 Clarity Lab Created Diamond Anniversary Rings 14K White Gold Filled S925 Sterling Silver 5 Stone Moissanite Wedding Band for Women Jewelry Gifts",4.2,USD,,False,59.99,True,,100+ bought in past month,1,503,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JFyW1v0T9vBez9bFq0uM6i0AAAGRLUPJzwEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICDU98LX,paid,7454926011,moissanite,1,1,30174.97,0.0,0.0
B09YM66PLL,29.99,"Moissanite Stud Earrings for Women,0.6-4ct 18K White Gold Plated Silver Friction Back and Post for Women Men, D Color VVS1 Round Lab Created Diamond Earrings Men",4.5,USD,,False,29.99,True,,500+ bought in past month,1,894,False,0.0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JCwOs0IkNq-iJ26scYzh4qIAAAGRLUPJ6gEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICDeouWh,paid,7454926011,moissanite,1,2,26811.059999999998,0.0,0.0
B0CFQ85VGR,79.79,Moissanite Necklace and Earring Sets for Women | White Gold Plated/S925 Sterling Silver Diamond Jewelry Sets for Women | 1CT Diamond Pendant Jewelry Set for Girls,4.8,USD,True,False,79.79,False,,,1,10,False,97.79,"FREE delivery Mon, Aug 12 Or fastest delivery Sat, Aug 10",2.0,,https://m.media-amazon.com/images/I/61bgr+wz6HL._AC_UL320_.jpg,organic,7454926011,moissanite,1,1,797.9000000000001,18.0,0.18406790060333367
B0CZDJ74B3,69.99,"Sterling Silver Pearl Jewelry Set with Moissanite Diamonds, Real Freshwater Pearl Earrings Necklace for Women, Wedding Jewelry for Brides Bridesmaid, Mother's Day",5.0,USD,True,False,69.99,False,,,1,5,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Sat, Aug 10",3.0,,https://m.media-amazon.com/images/I/61vYKJlYc8L._AC_UL320_.jpg,organic,7454926011,moissanite,1,2,349.95,0.0,0.0
B09F58C51L,59.9,"2-4CT Moissanite Dangle Earrings, Mermaid Tear D Color Ideal Cut Simulated Diamond 925 Sterling Silver Earrings for Women with Certificate of Authenticity",4.0,USD,True,False,59.9,False,,,1,25,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Sat, Aug 10",4.0,,https://m.media-amazon.com/images/I/61Lu5qNVpdL._AC_UL320_.jpg,organic,7454926011,moissanite,1,3,1497.5,0.0,0.0
B0D44MFYNX,139.99,Square Moissanite Diamond Earrings and Necklace Set for Women/Men 18K White/Yellow Gold Sterling Silver Moissanite Jewelry Set for Bridal Wedding Birthday Anniversary Party,4.2,USD,True,False,139.99,False,,,1,27,False,179.99,"FREE delivery Wed, Aug 14 Or fastest delivery Sat, Aug 10",5.0,,https://m.media-amazon.com/images/I/51ppV3luknL._AC_UL320_.jpg,organic,7454926011,moissanite,1,4,3779.7300000000005,40.0,0.22223456858714372
B084GR752K,99.99,"925 Sterling Silver Pendant and Earrings Jewelry Set Oval Green Peridot and Moissanite (6.36 Cttw, Gemstone Birthstone, with 18 Inch Silver Chain)",4.9,USD,True,False,99.99,False,,,1,11,False,0.0,FREE delivery Aug 12 - 14,6.0,,https://m.media-amazon.com/images/I/61wX1RWpHYL._AC_UL320_.jpg,organic,7454926011,moissanite,1,5,1099.8899999999999,0.0,0.0
B0D4M6NYT1,60.78,3 Stone Moissanite Pendant Necklace and Hoop Earrings Set,0.0,USD,True,False,60.78,False,,,1,0,False,75.98,FREE delivery,7.0,,https://m.media-amazon.com/images/I/61+WmI6I8NL._AC_UL320_.jpg,organic,7454926011,moissanite,1,6,0.0,15.200000000000003,0.2000526454330087
B0BNH3FWZH,78.99,JSELECT Moissanite Simulated Diamond Necklace and Earring Jewelry Sets Silver for Women,4.9,USD,True,False,78.99,False,,,1,11,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Sat, Aug 10",8.0,,https://m.media-amazon.com/images/I/71-Ve4FpjEL._AC_UL320_.jpg,organic,7454926011,moissanite,1,7,868.89,0.0,0.0
B0BWFVPV66,99.99,"925 Sterling Silver White Moissanite Pendant and Earrings Jewelry Set For Women (2.45 Cttw, with 18 Inch Chain)",0.0,USD,True,False,99.99,False,,,1,0,False,0.0,FREE delivery,9.0,,https://m.media-amazon.com/images/I/61ozBYlyKFL._AC_UL320_.jpg,organic,7454926011,moissanite,1,8,0.0,0.0,0.0
