asin,price,title,rating,currency,is_prime,best_seller,price_upper,is_sponsored,manufacturer,sales_volume,pricing_count,reviews_count,is_amazons_choice,price_strikethrough,shipping_information,pos,rel_pos,url_image,source,category_id,keyword,page,position,min_revenue,discount,discount_rate
B0BJNN3KCM,65.99,"Willow Round and Marquise 5-Stone Moissanite Engagement Rings for Women, 1.2ct D Color VVS1 Clarity Lab Created Diamond Ring 14K White/Yellow/Rose Gold Filled Twig Moissanite Anniversary Rings",4.2,USD,,False,65.99,True,,,1,310,False,0.0,,,1.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JEMT_5QGKZ1-14ZoLh8JxWEAAAGRLT5XAQEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICAU3aI4,paid,9539894011,moissanite,1,1,20456.899999999998,0.0,0.0
B0BJNSWJCJ,59.99,"5 Stone Moissanite Rings for Women, 3.75MM D Color VVS1 Clarity Lab Created Diamond Anniversary Rings 14K White Gold Filled S925 Sterling Silver 5 Stone Moissanite Wedding Band for Women Jewelry Gifts",4.2,USD,,False,59.99,True,,100+ bought in past month,1,503,False,0.0,,,2.0,https://aax-us-iad.amazon.com/e/loi/imp?b=JOjitd-PTp1cUrJw6sF5odEAAAGRLT5W9gEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICCh53vo,paid,9539894011,moissanite,1,2,30174.97,0.0,0.0
B0BYZBFLHW,31.99,"7 Stones Moissanite Anniversary Rings for Women, 0.7 Carat Round Cut Diamond 18K White Gold Plated 925 Sterling Silver Half Eternity Wedding Bands Stackable Ring",4.6,USD,True,False,31.99,False,,50+ bought in past month,1,528,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",1.0,,https://m.media-amazon.com/images/I/61XljMQZq7L._AC_UL320_.jpg,organic,9539894011,moissanite,1,1,16890.719999999998,0.0,0.0
B0BJP8TQ4P,59.99,"5 Stone Moissanite Rings for Women, 3.75MM D Color VVS1 Clarity Lab Created Diamond Anniversary Rings 14K White Gold Filled S925 Sterling Silver 5 Stone Moissanite Wedding Band for Women Jewelry Gifts",4.2,USD,True,False,59.99,False,,100+ bought in past month,1,503,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",2.0,,https://m.media-amazon.com/images/I/71gEeC1tiAL._AC_UL320_.jpg,organic,9539894011,moissanite,1,2,30174.97,0.0,0.0
B0CV3MX7J6,17.52,1CT/1.5CT/2CT Moissanite Engagement Rings for Women Size 5-10 Round D Color VVS1 Clarity Created Diamond and 925 Sterling Silver with 18K White Gold Vermeil,4.9,USD,False,False,17.52,False,,50+ bought in past month,1,90,False,0.0,FREE delivery Aug 19 - 28,3.0,,https://m.media-amazon.com/images/I/61VGJVSWtWL._AC_UL320_.jpg,organic,9539894011,moissanite,1,3,1576.8,0.0,0.0
B0BJT9YTPH,16.99,"Half Eternity Ring for Women, S925 Moissanite Stackable Engagement Ring, Promise Wedding Bands Sterling Silver Ring, Clarity Unisex Diamond Simulated Anniversary Rings",4.2,USD,True,False,16.99,False,,50+ bought in past month,1,856,False,0.0,"FREE delivery Mon, Aug 12 on $35 of items shipped by AmazonOr fastest delivery Fri, Aug 9",5.0,,https://m.media-amazon.com/images/I/61XF4Vl0xKL._AC_UL320_.jpg,organic,9539894011,moissanite,1,4,14543.439999999999,0.0,0.0
B0C413JX3T,54.95,18K Sterling Silver Gold Round Cut Solitare 1.5 CT Moissanite Engagement Ring for Women | Moissanite Wedding band for Women | Moissanite Promise Rings,4.4,USD,True,True,54.95,False,,,1,1132,False,0.0,"FREE delivery Mon, Aug 12",6.0,,https://m.media-amazon.com/images/I/51VUuMbfghL._AC_UL320_.jpg,organic,9539894011,moissanite,1,5,62203.4,0.0,0.0
B0BKS52YNY,39.99,"Moissanite Rings, Sterling Silver Engagement Rings Moissanite Diamond Half Eternity Wedding Band for Women Size 5-10",4.3,USD,True,False,39.99,False,,,1,113,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",7.0,,https://m.media-amazon.com/images/I/61maO90HtpL._AC_UL320_.jpg,organic,9539894011,moissanite,1,6,4518.87,0.0,0.0
B0CG8PLGGY,59.99,"Solitaire Moissanite Engagement Ring, 1CT D Color VVS1 Clarity, 925 Sterling Silver with 18K White Gold Plated, Ideal Gift for Women",4.5,USD,True,False,59.99,False,,,1,2294,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Sat, Aug 10",8.0,,https://m.media-amazon.com/images/I/61nvd2BwqmL._AC_UL320_.jpg,organic,9539894011,moissanite,1,7,137617.06,0.0,0.0
B0CY1SNRGX,39.99,"Moissanite Wedding Band, Criss Cross Ring Wedding Bands for Women Sterling Silver Eternity Band Rings for Women Stackable Moissanite Eternity Band Rings for Women Size 4-11",4.2,USD,True,False,39.99,False,,50+ bought in past month,1,19,False,0.0,"FREE delivery Mon, Aug 12 Or fastest delivery Fri, Aug 9",9.0,,https://m.media-amazon.com/images/I/71QQ19lPurL._AC_UL320_.jpg,organic,9539894011,moissanite,1,8,759.8100000000001,0.0,0.0
