Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
selenite,selenite stone; selenite ring; selenite bracelet,100; 251; 326,False,B07P4CPHNB,"Chakra Therapy Plus Collection 24 pcs Healing Crystals kit,7 Raw Chakra Stones,7 Colorful Gems,7 Mini Tumbled Chakra Stones,Amethyst,Chakra Lava Bracelet,Selenite Charging Plate,Lavender,Guide,COA",26.98,USD,339516.32,4.7,12584,,,,False,True,,/Collection-crystals-colorful-Gemstones-bracelet/dp/B07P4CPHNB/ref=sr_1_101?dib=eyJ2IjoiMSJ9.YZlBOGj3jNBtfk9NbqAy3NX1jtHJcsHtchz_P0-JMdXqT_D7Ha1PXZ3YBVkjcPlw7haYhgA0tBXL2hv26Zt9Ty2stZpOd4_vFKOKj3xnEDawsByUENs5ukcpLMGxROTWjWB2ZbfvWHdDkQIoovK_Ef5VZZUf_03FMjXh7FNnWd7WGjUyAnLaIGjEEMiqiosZBwqBUFponPNY3uOq6K70qWkBWqf7Wk4Czr9WKf87IN1AOUfJnp_y3X0qYwIXkVUkeG0l3aoaUPcX-RqeBid7kCCxO9GN0GcDL14w-T1ywtA.Vaoi7pA5MB_JGy4dRjLiAQdRbFf6fo6MFm94teEriyo&dib_tag=se&keywords=selenite+stone&qid=1719060936&sr=8-101,https://m.media-amazon.com/images/I/91Yscp7Tc5L._AC_UL320_.jpg
selenite,selenite ring,48,False,B01KWQ5XLW,7MM Genuine Round Shape Gemstones White Gold Plated or Yellow Gold Plated 925 Sterling Silver Victorian Style Solitaire Ring Jewelry for Women,15.99,USD,288091.83,4.6,18017,,,,False,True,,/Natural-Moonstone-Sterling-Victorian-Solitaire/dp/B01KWQ5XLW/ref=sr_1_41?dib=eyJ2IjoiMSJ9.rVB8gbsbicybfW7Rw-3aOhP-_9ePj4x2N-UMAQj4HuSRwALyw9t1Y4nOyZNk0pdny4Yq_tEvSGwcmEtHj-9h7s8J4uA9Ytg4NjDarCFKhoSKb7cjqE6-m2MUyR33JQYIIIqZozCO2KgjmNJ4qdatzW0TJwFaBh9v1Zmw4_EQ1Xkb1Yl7Agz-6l9X_6z5Ht44x639KZbMoVpz18XcpAsRG5mvSGcGGKZOlmpjDMBdUPRmzAVlwWPrr_EXCGuWq-yByYnQg4q8WaMmO52xTwryft6W5D5UEUwVx_-zVpDb1ds.iADK1lMZ0A47O0rN5bSwVJSWDE5SlAw1csNROlkn5_s&dib_tag=se&keywords=selenite+ring&qid=1719060958&sr=8-41,https://m.media-amazon.com/images/I/51dn44-NeQL._AC_UL320_.jpg
selenite,selenite stone; selenite crystal,52; 61,False,B07Y422NWC,Healing Crystal Collection (Protection),35.35,USD,202732.25,4.7,5735,,,,False,True,50+ bought in past month,/Crystals-Protection-Malachite-Tourmaline-Gemstones/dp/B07Y422NWC/ref=sr_1_53?dib=eyJ2IjoiMSJ9.UBk4RRSuP81dmjk125IbvQhXNvlffh9QKEznNkMYXF9TGad91MGGOLOTETY9jniohzy2hTlXtnpqjQDNnqa7NhQt0Gw8a27KT8J97cg3kS2HqyULumKMoX0nhlmXwfg04AgFK2fGQjyuGXFWMODitAKGtFfGsvFjYIALDdXrknCwP2-vsoq1_tmildQJONe1bpJfyZt2j4cJrHms75GiqLak6aeYrGozVaRr2b4PffbFs4je-zEJFKLkFaz0AaBwJDe_w3EiI5Cm_0y7NCN9sQaXxoW5St9Y8vYExE2IC58.bHyVCjgNaebC9zT0vaXNdpxBhYU7NapNwbUhohGGopw&dib_tag=se&keywords=selenite+stone&qid=1719060934&sr=8-53,https://m.media-amazon.com/images/I/917M9s0q0zL._AC_UL320_.jpg
selenite,selenite ring,284,False,B08541N277,"Extreme Rocks & Fossils Amethyst Cluster - 3 to 3.5 pounds of Powerful, deep Purple Crystals. Geode from Uruguay. Includes Bonus 3 inch Selenite Wand",109.99,USD,182033.45,4.6,1655,,,,False,True,,/Extreme-Amethyst-Cluster-Powerful-Crystals/dp/B08541N277/ref=sr_1_277?dib=eyJ2IjoiMSJ9.QLWwidMBJK4tLrez2-2XMECQqTngKMUm7dFpK3Lu4y5u60c-uwPSU1beXWzP2L3tL-GZocFx8Iti40PWzgjoQRWP4ChrH_ZT7G_BmS9jjTCHzSgHKMbg3pto69sSWlUI8CwXhizBWTRnHyjtM4d3xH9i-1VMSENcYBcwfaev-f3DKC6hOrgBMJA8zz5hYx679m41bVEN2Je1hoSMoUO_27U_KB_iQ7BlSm11Fef9EZUi9bmsY0Qgzx4gV5dgSPiPCG9YKkrqNmQa1XiwQqMKYH_Yz7PzY0x-V6CnqpBmvw8.l8YSlJdsy0qfAKuUiCydkQ6QGxWVwpMfA8FYS036S74&dib_tag=se&keywords=selenite+ring&qid=1719060965&sr=8-277,https://m.media-amazon.com/images/I/71M2RFrHYxL._AC_UL320_.jpg
selenite,selenite bracelet,183,True,B07WKTRM72,Boho Leather Wrap Bracelets Bohemian Crystal Bracelets Trendy Layered Bracelet with Magnetic Clasp Stackable Jewelry for Women,13.99,USD,174007.62,4.5,12438,,,,False,True,,/sspa/click?ie=UTF8&spc=MTo4MDQwMzkyMzU1MzkxNjY3OjE3MTkwNjEwMjU6c3BfbXRmOjMwMDA0MDIyMjI5NjkwMjo6MDo6&url=/Leather-Bracelet-Bracelets-Magnetic-Handmade/dp/B07WKTRM72/ref=sr_1_161_sspa?dib=eyJ2IjoiMSJ9.VgfIVFNr2CZjf-HG2n9gEVQ19TYV0a8sZtlOQcVxqMoIU6ZIdnb_FxQCDlXyCZ25fxx5Y6fKywppC1L4iSPfvk9AqvTZZwlek1wCF67SbWgRdSdbjY8zdB0iJm4o442Fe_I__B9BqrQbB12aw3ajOGUrQix_4QonKn93cZP-I2JnfJWwVzAsqMvJzbh8cyyCq9rTpJRLSAjGS6_Tk1A5L4dDtoSnMqzgBdM1Lv9xGY_tWMpxgeQY5yhDyBMMPXt9v_BHZ8SODQ4zxZKy2GNUU-0QHUoMDAjoieEMjyEhGCc.TKsibfSLeVPw-LcCmjeHgJGOC93fEc1AoGfBdOU2474&dib_tag=se&keywords=selenite+bracelet&qid=1719061024&sr=8-161-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1,https://m.media-amazon.com/images/I/71wZQDQXLdL._AC_UL320_.jpg
selenite,selenite ring,76,False,B07CV31BJQ,"Rose Gold & White Gold Plated Created Ruby, White Fire Opal & Cubic Zirconia Accents Ring",14.99,USD,137233.45,4.4,9155,,,,False,True,50+ bought in past month,/Barzel-Rhodium-Created-Zirconia-Accents/dp/B07CV31BJQ/ref=sr_1_69?dib=eyJ2IjoiMSJ9.w_KxH5ZwaUyF_vf6Z1WtdmOD14aACrPW9hRSVXpzaA5wNaH7wkAm10lQMkvXXVi-qIxwjAZmYEU-YJC3m4JPcGToBlaAgpQCR74nLPGDQbqCxQRA9WzmeL46uniePld5l25UOthbualFccE_1XHzI46a8nZFQ9VslSPqx-abM1NKC6jNGDuvf8sqFgQKiFiwYVtWNudyVRk7LJo71ku-8jyzH9_6S2PIvQiQuW5t3ifz9t--22OAuzrDsIxFY8348fSdgp8QCPzw-1GGX8HzOnUFUA-ZRn-Tt5RRclOx7fY.f8YZcmhjhn5bJY1vZHtXKyTiuGlL7OlbWQolyFS8KHI&dib_tag=se&keywords=selenite+ring&qid=1719060959&sr=8-69,https://m.media-amazon.com/images/I/710uvfarliL._AC_UL320_.jpg
selenite,selenite necklace,72,False,B07NTVVY36,"Handmade Orgonite Crystal Seven Chakra Pendant with Adjustable Cord - Orgone Healing Stone Necklace for Spiritual Balance, Meditation, Yoga, Reiki, Gift for Men and Women",20.95,USD,132508.75,4.4,6325,,,,False,True,100+ bought in past month,/Orgone-Chakra-Healing-Pendant-Adjustable/dp/B07NTVVY36/ref=sr_1_74?dib=eyJ2IjoiMSJ9.nvlDSUPZmdWImlLAexXCYjov8P2qCB7fsfceWT6kPxg4o-ynsMDR2Q29HCWWRUscacddoOiTJuXSZynlN8JFBVdwwaOKtptlp5pu4cCfCy_9HxzVwCsFOR8bOFP9biC-xHtOMexPt-6qZY0TcTTqffegvx8GXymmwebaoHfddJF_-tvy_FVU2dgPRT4vifSBVgh23b8WJAYI9N-AN_D1mF0vX64qL1vigrWobTKWbe1FOatDUJbQYsZWGpTz3rfL2L-VyZbmd6RWeNWO8m4EOblP_9vQ4hi1O1aqToRb9nc.pi-QvWKn9eye6iV8KOx_R1InYmVOCAkD-u7gHg4gbao&dib_tag=se&keywords=selenite+necklace&qid=1719060947&sr=8-74,https://m.media-amazon.com/images/I/71gNOSRDSNL._AC_UL320_.jpg
selenite,selenite ring,199,False,B08Q3BCKMK,"7 Chakra Natural Stone Beads 100pcs 6mm Round Genuine Real Stone Beading Loose Gemstone Amethyst Color Mixed DIY Smooth Beads for Bracelet Necklace Earrings Jewelry Making(7 Chakra Stone, 6mm)",11.99,USD,122309.99,4.4,10201,,,,False,True,50+ bought in past month,/Gemstone-Amethyst-Bracelet-Necklace-Earrings/dp/B08Q3BCKMK/ref=sr_1_192?dib=eyJ2IjoiMSJ9.wyP8K99uZoCaQxbemP2C-R47Uy1APVa1EbZaDk4NMq1j0yMAA6TfdQrjFYamXRD5-rr4YdVLafmj91fANwoSm-W1t_HlnR9YeUhc9osvq9xW8AtZqcB0AdRKfrQaWbQvtLHXF56kZpMwCLMcbCLUDSRcXG4oBDfCSFMj223GrHXYwKwbMjt006QgpOk2xkRi-dPEbtLfOWCzxZIPGX_mDgZzxodlzZmTvqv3SrvZza3by_qxZ0TWAAUpHpKcHjosuXXwu00tKXWv3ton0xXvpHOBTxoLfxLPCROkDGjncRY.N9dJwDuQMXM_oyJVckbknuB6NFTmO1a6ji1e4PJrWCg&dib_tag=se&keywords=selenite+ring&qid=1719060962&sr=8-192,https://m.media-amazon.com/images/I/71Z2xQDNQPL._AC_UL320_.jpg
selenite,selenite bracelet,109,False,B086Q5JX2W,"Lava Rock Diffuser Bracelet with Essential Oil Stone Beaded Bracelets for Women Yoga Beads, Crystal Gift for Women",26.99,USD,119025.9,4.6,4410,,,,False,True,300+ bought in past month,/Bracelet-Aromatherapy-Essential-Diffuser-Relaxation/dp/B086Q5JX2W/ref=sr_1_99?dib=eyJ2IjoiMSJ9.iGGQhuwtsrpHMcp1EoPDjNv0WOUXT7_F3h6KfrY50ylvZ-gFIjZ7De4UT6JILrq659lhpnNdNGViNItTDNP1h_iH9I_6wQdSEGe6aYmcaQ0i4I9f_-mQpjkwar-qud519O4oFedZ0IGXHNGIYK0cqpPZIoeMybsoUMLF7PgnGkxsjhw1-xaajRLxNHkgzBAjuD4qOuckGmDmomaruTGtPCHqUFzWRmSqIUzGJbABdozjoZMhoMuiKxVo4wMuXtA_LOMY3FGz2ik0sGgsC5dNg-LV7wd6RuUrGLAY8qLkbmQ.dFDxL3uN9vIVzhZaNLm5i4mqy9O9nOmg0Y1ENJkUy7Q&dib_tag=se&keywords=selenite+bracelet&qid=1719061022&sr=8-99,https://m.media-amazon.com/images/I/717ZqT4EcHL._AC_UL320_.jpg
selenite,selenite bracelet,112,False,B07PDPKD48,Bead Chakra Bracelet 7 Chakras Healing Crystals Bracelet Yoga Stone Beads Bracelets Meditation Relax Anxiety Bangle for Womens Mens,9.99,USD,115084.8,4.5,11520,,,,False,True,500+ bought in past month,/Top-Plaza-Bracelet-Bracelets-Meditation/dp/B07PDPKD48/ref=sr_1_102?dib=eyJ2IjoiMSJ9.iGGQhuwtsrpHMcp1EoPDjNv0WOUXT7_F3h6KfrY50ylvZ-gFIjZ7De4UT6JILrq659lhpnNdNGViNItTDNP1h_iH9I_6wQdSEGe6aYmcaQ0i4I9f_-mQpjkwar-qud519O4oFedZ0IGXHNGIYK0cqpPZIoeMybsoUMLF7PgnGkxsjhw1-xaajRLxNHkgzBAjuD4qOuckGmDmomaruTGtPCHqUFzWRmSqIUzGJbABdozjoZMhoMuiKxVo4wMuXtA_LOMY3FGz2ik0sGgsC5dNg-LV7wd6RuUrGLAY8qLkbmQ.dFDxL3uN9vIVzhZaNLm5i4mqy9O9nOmg0Y1ENJkUy7Q&dib_tag=se&keywords=selenite+bracelet&qid=1719061022&sr=8-102,https://m.media-amazon.com/images/I/61J1QNMMkUL._AC_UL320_.jpg
