Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
shungite,shungite ring,77,False,B08RYKVJ1L,"Silicone Rings for Men, Step Edge Rubber Wedding Bands 10mm Wide 2.5mm Thick - 1/2/3/4/5/6/7 Variety Multipack",9.99,USD,562626.81,4.5,56319,,,,False,True,100+ bought in past month,/ThunderFit-Silicone-Rings-Step-Edge/dp/B08RYKVJ1L/ref=sr_1_72?dib=eyJ2IjoiMSJ9.oPron7ZKaeS_xU1hWMRitY5SKsREIfjtmh7vGqSwM0jP2nt4Ac3ZtoRuUHyEr4Ion2c4XSxoWhOHE5cv2HpI7dxS5cCFEnu8KR0qvAc76nd_pm-wDlSHRyUWR0n-z2ziP4jIKVfeLtB8KTdQQppFTHcAT8uN3ffnJnSDAjjHPI1020foR4mG3lW8-G16NNu00Sz0_TYeHl_wwBAAewUdSs6z-OehNwHL3mx3U2pE74M4R4Fu7YjUsKePReU3H1DQK2cl3TJgzP7-NCVcXlbaHm6VCD1H1GiUQKPTkn_Fq88.FF9OSuZpCYYrM5DzD_OKw-IoX466ehRXgpkcGCIJKD0&dib_tag=se&keywords=shungite+ring&qid=1719061071&sr=8-72,https://m.media-amazon.com/images/I/61GSVT5CdfL._AC_UL320_.jpg
shungite,shungite bracelet,193,False,B07RG9QWMN,Natural Stone Bracelets for Men - 8mm Tiger Eye | Matte Agate | Lava Rock Bracelets for Men Teen Boys Gifts Anniversary Fathers Day Birthday Gifts for Him,13.99,USD,329758.29,4.5,23571,16.99,3.0,0.18,False,True,800+ bought in past month,/MOOHAM-Bracelets-Adjustable-Aromatherapy-Essential/dp/B07RG9QWMN/ref=sr_1_194?dib=eyJ2IjoiMSJ9.aqyqcqD2SM-gplNE0cr-tqkCDfn6Ixjy08wFwAPJZlLi_KDH4E6mIPS9O6uzDSILLbllnnMl0uRcTzFEX4kf9xrZlKIGol8yRIAIlpWb06H7DXmcI9GF0aXubYw0TlKXnzXxyp-W6DtOyxFBrzSZ5mpnweq9faaE_2vqtOFoVICGwEMw6aLOauCbqURDkkRAFILGYFdwMr14a_YT5sjp4mPQrb6BilUKSzGf4xB9Dxuckn7z6KTDqcB5qtKrRPIcfUMzYmWYzhZwMsfakiD1QYfGRe2l8DQ51zT1MoYlbLw.fm3jjinaNBRewmTXZ8p9hfIYRhvLI5781688gaBarcg&dib_tag=se&keywords=shungite+bracelet&qid=1719061143&sr=8-194,https://m.media-amazon.com/images/I/61ICwh5fFNL._AC_UL320_.jpg
shungite,shungite ring,100,False,B01KWQ5XLW,7MM Genuine Round Shape Gemstones White Gold Plated or Yellow Gold Plated 925 Sterling Silver Victorian Style Solitaire Ring Jewelry for Women,15.99,USD,288091.83,4.6,18017,,,,False,True,,/Natural-Moonstone-Sterling-Victorian-Solitaire/dp/B01KWQ5XLW/ref=sr_1_95?dib=eyJ2IjoiMSJ9.oPron7ZKaeS_xU1hWMRitY5SKsREIfjtmh7vGqSwM0jP2nt4Ac3ZtoRuUHyEr4Ion2c4XSxoWhOHE5cv2HpI7dxS5cCFEnu8KR0qvAc76nd_pm-wDlSHRyUWR0n-z2ziP4jIKVfeLtB8KTdQQppFTHcAT8uN3ffnJnSDAjjHPI1020foR4mG3lW8-G16NNu00Sz0_TYeHl_wwBAAewUdSs6z-OehNwHL3mx3U2pE74M4R4Fu7YjUsKePReU3H1DQK2cl3TJgzP7-NCVcXlbaHm6VCD1H1GiUQKPTkn_Fq88.FF9OSuZpCYYrM5DzD_OKw-IoX466ehRXgpkcGCIJKD0&dib_tag=se&keywords=shungite+ring&qid=1719061071&sr=8-95,https://m.media-amazon.com/images/I/51dn44-NeQL._AC_UL320_.jpg
shungite,shungite crystal,88,False,B07Y3VZYM9,Healing Crystal Collection (Chakra Balancing),38.38,USD,220109.3,4.7,5735,,,,False,True,200+ bought in past month,/Premium-Crystals-Healing-Stones-Display/dp/B07Y3VZYM9/ref=sr_1_73?dib=eyJ2IjoiMSJ9.zDw8eQeNrAiOh0qWi-N_WhY9b6WdBZKRfcvenRiu67lRWhN2y2RzJq229IRFLCeSUGbotwJ--3dSuGEfeCsrhOp5zh1hb8oTjRRsdQFHvJa35oqAS2qNcwczxxWbPdMCHRVgpn6TggCpJaHcKDIrucSz_jUJksx4L39PeY14hxnvI1AyOKZZdOfKNSrBJ08Y1j16rXW9g9R9qHRNrkujIg0rD1_EaHWjCpgXLIj1QU2cF8uz1emCiYn0tF1EyreusHLC8AFiumNYYJ9mRSoCLUV7IfKqrL-GV1hGT8i9q5E.LWmybvwh-bAiVYkyagUwp--zob9i2XeeldH5M6btPv8&dib_tag=se&keywords=shungite+crystal&qid=1719061118&sr=8-73,https://m.media-amazon.com/images/I/91u-AGeNynL._AC_UL320_.jpg
shungite,shungite ring,67,False,B01LX28J7R,"925 Sterling Silver Ring, Fidget Ring Anxiety Ring, Triple Row Rolling Interlocking Stacking Rings, High Polish Rings for Women, Men Each Band Width 1.8mm Size 4-12",11.99,USD,217282.78,4.5,18122,,,,False,True,,/BORUO-Sterling-Silver-Interlocked-Rolling/dp/B01LX28J7R/ref=sr_1_61?dib=eyJ2IjoiMSJ9.oPron7ZKaeS_xU1hWMRitY5SKsREIfjtmh7vGqSwM0jP2nt4Ac3ZtoRuUHyEr4Ion2c4XSxoWhOHE5cv2HpI7dxS5cCFEnu8KR0qvAc76nd_pm-wDlSHRyUWR0n-z2ziP4jIKVfeLtB8KTdQQppFTHcAT8uN3ffnJnSDAjjHPI1020foR4mG3lW8-G16NNu00Sz0_TYeHl_wwBAAewUdSs6z-OehNwHL3mx3U2pE74M4R4Fu7YjUsKePReU3H1DQK2cl3TJgzP7-NCVcXlbaHm6VCD1H1GiUQKPTkn_Fq88.FF9OSuZpCYYrM5DzD_OKw-IoX466ehRXgpkcGCIJKD0&dib_tag=se&keywords=shungite+ring&qid=1719061071&sr=8-61,https://m.media-amazon.com/images/I/616fQQw-7tL._AC_UL320_.jpg
shungite,shungite bracelet,282,False,B072LP4SZB,Men Women 8mm Lava Rock Beads Chakra Bracelet Braided Rope Natural Stone Yoga Bracelet Bangle,8.99,USD,161145.75,4.5,17925,,,,False,True,200+ bought in past month,/Hamoery-Chakra-Bracelet-Braided-Natural/dp/B072LP4SZB/ref=sr_1_283?dib=eyJ2IjoiMSJ9.8PEAXrVTy5uk-GavIzQtczr36lR0tCsFwsukqkfDxt8691s_42_AzEYgWwqp1ijEksO_bE2p2qLHkpNKGDtq5Vb7J6ck5_n5wExnmhXcAOOhE-k2bL4sJ7Q02SkAVHmLmfQeTth8OB8_8RW4j8LyQRMWGgjysko75Hdp0H82PCUvfb4UqgHcxf4i6ygZihsBIGmj2yHXB1XQ6RSwki_e-zAhAqan53V_KJF4KCbSWm-SzD1Skiukn6nCVVa3y-AEQhGlcY2UBRf9lYoVEFbJY-HWuwJ8GgFFZEQ_yiJJR0c.TeQ2zUN8vO2iDk2sfDDCI-0uayy5OWIScN3WMh9Toww&dib_tag=se&keywords=shungite+bracelet&qid=1719061145&sr=8-283,https://m.media-amazon.com/images/I/71ky8-Ba3DL._AC_UL320_.jpg
shungite,shungite earrings,82,False,B07XQ8NDHX,12/18 Pcs Mens Earrings Black Earrings for Men Stainless Steel Earrings Piercing Jewelry Stud Hoop Punk Earrings Set,11.99,USD,154179.41,4.4,12859,,,,False,True,100+ bought in past month,/ONESING-Pairs-Black-Earrings-Stainless/dp/B07XQ8NDHX/ref=sr_1_83?dib=eyJ2IjoiMSJ9.hwxmfjUB8w7I1mg4H_47Blc7O19fs1HCxNI2j64Tv_-R-AsQl-inwKyNJjojAawWhfyycpO3DRJjeP6OThA1sGuYIlZfRCMjXij6uTHEYpgocIjF6JAhh7xwXHguCrYrwruUbcja0EZbM0XjdNfZrp7qR9xZpfpM5by2hzam_vi_PFuCBaeDbDFQzBJ4bY3KpWw3YClE9T9zNioINMugVJG8w8d8IQ0pU2C2dTgNCg58vdZ7MCI6RLWjPCB_O4H08etNuQAxCtiDjh91NOahZBVNqmPCPZFM0B-h48PfKOI.4AHENKLhKcEpRS9gg_y8fLu-1z6IaS4Duw4T1208uq8&dib_tag=se&keywords=shungite+earrings&qid=1719061099&sr=8-83,https://m.media-amazon.com/images/I/61pAgJn0vHL._AC_UL320_.jpg
shungite,shungite earrings,62,False,B00YGY28N8,18K Yellow Gold or 14K Rose Gold Over Sterling Silver Bar Drop Earrings (previously Amazon Collection),18.1,USD,146429.0,4.6,8090,,,,False,True,200+ bought in past month,/Sterling-Silver-Vertical-Dangle-Earrings/dp/B00YGY28N8/ref=sr_1_63?dib=eyJ2IjoiMSJ9.hwxmfjUB8w7I1mg4H_47Blc7O19fs1HCxNI2j64Tv_-R-AsQl-inwKyNJjojAawWhfyycpO3DRJjeP6OThA1sGuYIlZfRCMjXij6uTHEYpgocIjF6JAhh7xwXHguCrYrwruUbcja0EZbM0XjdNfZrp7qR9xZpfpM5by2hzam_vi_PFuCBaeDbDFQzBJ4bY3KpWw3YClE9T9zNioINMugVJG8w8d8IQ0pU2C2dTgNCg58vdZ7MCI6RLWjPCB_O4H08etNuQAxCtiDjh91NOahZBVNqmPCPZFM0B-h48PfKOI.4AHENKLhKcEpRS9gg_y8fLu-1z6IaS4Duw4T1208uq8&dib_tag=se&keywords=shungite+earrings&qid=1719061099&sr=8-63,https://m.media-amazon.com/images/I/51TqeWoLJcL._AC_UL320_.jpg
shungite,shungite bracelet,124,False,B07PDPKD48,Bead Chakra Bracelet 7 Chakras Healing Crystals Bracelet Yoga Stone Beads Bracelets Meditation Relax Anxiety Bangle for Womens Mens,9.99,USD,115084.8,4.5,11520,,,,False,True,500+ bought in past month,/Top-Plaza-Bracelet-Bracelets-Meditation/dp/B07PDPKD48/ref=sr_1_125?dib=eyJ2IjoiMSJ9.dA36IkDYKvBv2PoyWTdDGqHKbpHrJWolTpkLAA7khMKf2L-VPz1hSgz9CG5SWARnHiQhw3TnXFLfUFqzMNIPQbM0ehCrNeQKCTL6AO8dqpX0uYpX25fzO-nATxHEHt3dCvErhhTY5YZwWfNfhaLX37HZuef0kRK80MUE3zsrE8K3R54ulItEuqNlHQZ6u3QIpATC1qLq4SnbepKWZVWy78n21h4Tdr_j96DlcW4a8FWc8LVzC_hnEXviKt3JllYwRCe-0xPs7R7pN2V6fyL_FlIauwXmEw5AdKLmjjNMpmA.XzLDkfz_dyiW9-vxXNcngI0blNWbF386SnZgiqsEZL0&dib_tag=se&keywords=shungite+bracelet&qid=1719061138&sr=8-125,https://m.media-amazon.com/images/I/61J1QNMMkUL._AC_UL320_.jpg
shungite,shungite bracelet,125,False,B08F42FDKS,MagnetRX® Magnetic Hematite Bracelet – MAX Strength Magnetic Stones – Beaded Magnetic Bracelets for Men and Women (Gold Zeus 8mm Bead),39.95,USD,107305.7,4.3,2686,54.95,15.0,0.27,False,True,50+ bought in past month,/MagnetRX®-Hematite-Magnetic-Therapy-Bracelet/dp/B08F42FDKS/ref=sr_1_126?dib=eyJ2IjoiMSJ9.dA36IkDYKvBv2PoyWTdDGqHKbpHrJWolTpkLAA7khMKf2L-VPz1hSgz9CG5SWARnHiQhw3TnXFLfUFqzMNIPQbM0ehCrNeQKCTL6AO8dqpX0uYpX25fzO-nATxHEHt3dCvErhhTY5YZwWfNfhaLX37HZuef0kRK80MUE3zsrE8K3R54ulItEuqNlHQZ6u3QIpATC1qLq4SnbepKWZVWy78n21h4Tdr_j96DlcW4a8FWc8LVzC_hnEXviKt3JllYwRCe-0xPs7R7pN2V6fyL_FlIauwXmEw5AdKLmjjNMpmA.XzLDkfz_dyiW9-vxXNcngI0blNWbF386SnZgiqsEZL0&dib_tag=se&keywords=shungite+bracelet&qid=1719061138&sr=8-126,https://m.media-amazon.com/images/I/71mKq4bShqL._AC_UL320_.jpg
