Title,Keyword,Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Revenue,,Organic,11476.58,1090.09,9.99,322,42711.99,1749582.0,0.03,197.94,6151.2
Prices,,Organic,49.99,17.9,9.99,6950,144.46,15017.4,0.01,11.99,39.89
Rating,,Organic,4.18,4.4,4.5,13342,0.99,5.0,0.0,4.1,4.6
Reviews Count,,Organic,584.88,44.0,1.0,6791,2167.55,88643.0,1.0,7.0,281.0
Best Sellers Revenue,,Organic,157858.0,35777.68,388238.95,7,251629.5,1749582.0,9.99,9410.58,195874.33
Best Sellers Prices,,Organic,15.63,12.99,9.99,61,10.61,72.0,3.9,9.99,15.95
Past Month Sales Revenue,,Organic,33625.68,6365.1,79.92,20,87660.56,1749582.0,2.99,1261.53,27423.38
Past Month Sales Prices,,Organic,17.0,13.59,9.99,1519,16.04,446.0,0.01,9.99,16.99
Prime Revenue,,Organic,12624.01,1357.0,9.99,302,44723.75,1749582.0,1.98,236.0,7307.62
Prime Prices,,Organic,39.14,15.99,9.99,6722,115.41,15017.4,0.98,10.99,32.99
Amount Discounted,,Organic,6.34,2.99,1.0,1469,16.76,620.0,-3.51,1.2,5.9
Percentage Discounted,,Organic,0.21,0.17,0.1,205,0.14,1.0,-0.47,0.1,0.29
Revenue,,Paid,13397.16,1522.73,4485.96,13,52449.33,1212977.28,6.99,294.0,7122.87
Prices,,Paid,59.28,25.99,9.99,172,135.23,4376.98,4.88,13.99,56.99
Rating,,Paid,4.2,4.4,4.5,634,1.01,5.0,0.0,4.2,4.6
Reviews Count,,Paid,536.67,43.0,1.0,215,2080.58,45861.0,1.0,9.0,274.0
Best Sellers Revenue,,Paid,96907.38,17584.65,727.35,1,211299.54,780903.12,727.35,862.92,90619.2
Best Sellers Prices,,Paid,16.62,11.99,11.19,2,11.42,50.29,7.99,9.99,16.99
Past Month Sales Revenue,,Paid,36254.56,6613.64,530.41,6,108303.84,1212977.28,9.99,1103.39,24628.16
Past Month Sales Prices,,Paid,20.96,13.99,13.99,57,21.26,196.88,4.89,11.95,19.99
Prime Revenue,,Paid,14009.87,1673.46,4485.96,13,54621.81,1212977.28,7.98,300.93,7776.0
Prime Prices,,Paid,50.3,23.99,9.99,164,93.71,1740.0,4.88,13.99,49.99
Amount Discounted,,Paid,8.86,4.0,1.0,57,17.84,287.5,0.5,2.0,10.0
Percentage Discounted,,Paid,0.18,0.15,0.19,17,0.12,0.74,0.05,0.09,0.21
Revenue,moissanite,Organic,9920.25,1349.91,99.99,45,34114.27,1021063.0,0.09,357.98,5472.0
Prices,moissanite,Organic,150.86,69.99,59.99,332,260.68,4109.0,0.01,40.0,139.0
Rating,moissanite,Organic,4.13,4.4,5.0,1537,1.17,5.0,0.0,4.1,4.8
Reviews Count,moissanite,Organic,260.34,15.0,1.0,962,1385.19,43529.0,1.0,4.0,65.0
Best Sellers Revenue,moissanite,Organic,264403.89,113669.17,54015.85,3,291476.09,1021063.0,1686.62,54015.85,388223.0
Best Sellers Prices,moissanite,Organic,26.19,15.95,15.95,4,18.16,54.95,9.98,15.95,41.95
Past Month Sales Revenue,moissanite,Organic,68083.59,30718.98,61519.5,5,103984.6,711138.78,69.95,9008.31,77773.99
Past Month Sales Prices,moissanite,Organic,41.63,19.99,9.99,20,43.85,299.99,4.93,13.95,54.92
Prime Revenue,moissanite,Organic,11458.86,1687.76,99.99,30,36666.07,1021063.0,5.46,419.93,6629.61
Prime Prices,moissanite,Organic,116.36,65.99,49.99,311,198.49,4109.0,4.93,39.99,104.99
Amount Discounted,moissanite,Organic,23.06,10.0,10.0,36,42.7,356.7,0.6,5.0,20.0
Percentage Discounted,moissanite,Organic,0.23,0.2,0.25,20,0.14,0.73,0.05,0.1,0.3
Revenue,moissanite,Paid,19234.77,3559.6,71596.42,6,40895.03,296448.1,44.97,981.96,16127.72
Prices,moissanite,Paid,100.52,74.99,39.99,12,87.03,699.0,7.99,45.99,127.24
Rating,moissanite,Paid,4.31,4.4,4.4,50,0.72,5.0,0.0,4.2,4.6
Reviews Count,moissanite,Paid,395.82,45.0,4.0,10,1719.87,21190.0,1.0,11.0,237.75
Past Month Sales Revenue,moissanite,Paid,87845.98,69304.3,127859.55,2,94087.8,296448.1,909.3,17993.89,116494.26
Past Month Sales Prices,moissanite,Paid,55.78,41.99,41.99,2,51.74,196.88,11.98,20.98,60.49
Prime Revenue,moissanite,Paid,20396.45,3854.36,71596.42,6,42228.65,296448.1,44.97,1101.63,17275.68
Prime Prices,moissanite,Paid,91.23,69.99,39.99,12,67.43,499.95,7.99,45.99,119.99
Amount Discounted,moissanite,Paid,7.82,6.0,10.0,5,7.15,35.75,1.0,4.0,10.0
Percentage Discounted,moissanite,Paid,0.14,0.14,0.2,5,0.08,0.33,0.05,0.08,0.2
Revenue,birthstone,Organic,13688.47,1199.76,9.99,43,55721.69,1284337.28,0.79,216.79,6838.4
Prices,birthstone,Organic,58.19,24.99,9.99,777,127.43,3519.0,0.01,14.99,45.99
Rating,birthstone,Organic,4.2,4.5,4.5,1823,1.06,5.0,0.0,4.2,4.6
Reviews Count,birthstone,Organic,499.17,40.0,1.0,1015,1916.09,45855.0,1.0,6.0,262.0
Best Sellers Revenue,birthstone,Organic,332077.72,48187.81,11688.3,4,396070.21,1118520.0,3551.05,11688.3,683540.0
Best Sellers Prices,birthstone,Organic,25.29,11.99,9.99,6,22.34,72.0,3.9,9.99,44.0
Past Month Sales Revenue,birthstone,Organic,71823.91,14162.19,153096.19,11,170850.3,1284337.28,7.99,3470.76,66350.52
Past Month Sales Prices,birthstone,Organic,29.12,19.9,9.99,71,26.28,199.0,3.6,12.99,34.99
Prime Revenue,birthstone,Organic,16180.52,1819.86,9.99,38,62289.77,1284337.28,2.72,309.95,8851.44
Prime Prices,birthstone,Organic,47.47,21.99,9.99,708,105.09,2175.0,2.72,13.99,41.19
Amount Discounted,birthstone,Organic,8.99,4.0,2.0,109,12.81,100.0,0.49,2.0,10.0
Percentage Discounted,birthstone,Organic,0.22,0.18,0.2,32,0.15,0.7,0.05,0.1,0.29
Revenue,birthstone,Paid,17229.22,1203.72,8969.31,15,81060.09,1284337.28,7.99,299.8,5926.78
