Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
topaz,topaz necklace,115,False,B071DDXGYZ,"Necklaces for Women, Infinity Love Heart Pendant with Birthstone Crystals, Jewelry Gifts for Wife, Silver Plated 18 + 2 inch Chain, Birthday or Chrismas Holiday Gift for Her, Mom, Girlfriends",39.99,USD,996110.91,4.6,24909,,,,False,True,100+ bought in past month,/Leafael-Presented-Infinity-Swarovski-Silver-Tone/dp/B071DDXGYZ/ref=sr_1_117?dib=eyJ2IjoiMSJ9.1qlpi01V16s4Rm1yWVDPXsHzwXsvqLTJEmOiudOpFMxQAMqC9OyLyDcRNLA7q9rqMSmjQ_8Q1phKE-TiB_IADH8f-cP8CmK5-F4bq2A_2hGIGFMcmtSHc7Zl538v5RCHiZ1zmNgiNuMWe6e7_AW2s5OfOqX1QCLS2Mn26yBcJrUmKMT9L1KahsCkXYARhskyPG7IzgK9QDsjTRtLRKzQ1A9gMPNpNcyc42patpYf7-eM7ZUnsI7tp13DxxRrFxtxujZL29XSp2aW24ppbW56RzJjrttodUprO2ylB5psgqc.2tw19ZLToKMpb7g9MzXA1JeVv9sygsOHjUpktLBgSKc&dib_tag=se&keywords=topaz+necklace&qid=1719061582&sr=8-117,https://m.media-amazon.com/images/I/71hcz1V8iEL._AC_UL320_.jpg
topaz,topaz jewelry,118,False,B07RRYWR4F,"Necklaces for Women, Infinity Love Heart Pendant with Birthstone Crystals, Jewelry Gifts for Wife, Silver Plated 18 + 2 inch Chain, Birthday or Chrismas Holiday Gift for Her, Mom, Girlfriends",39.99,USD,996110.91,4.6,24909,,,,False,True,,/Leafael-Swarovski-Birthstone-Silver-tone-Presented/dp/B07RRYWR4F/ref=sr_1_107?dib=eyJ2IjoiMSJ9.Fvd0NUYAkVHF-QTqfJaM7MwryViZ7Z_gYAS6bkE9s1BN-Fw49-UaLGVzpRUgCUFt3nDw9U7Qx_lHpvupOBKCigPKsb9ZeMAmdmz0vMY2OIRJ4mYW4RFdAf6qC7ODgpMInGucERNcYL3fRwRzc3J6x-S3TkLhwtKxyfXkApbjjT6Uu-2lU3mV9BziCFhyRMYdE-wzkVJKQI4n0fS2nHGSkLG0OqDR1FBU4NcsFn2feEC6plTWi1s8pcYjkTU46PBcSxCSvi5m6AgZYQXh9Dufjo45qMkhA_m5w5RbcZro0TE.ocEsPZXTT2gMd4jSCkMkig6fvpTOnUZWBPkFm_erPfs&dib_tag=se&keywords=topaz+jewelry&qid=1719061613&sr=8-107,https://m.media-amazon.com/images/I/71dCyr-J4JL._AC_UL320_.jpg
topaz,topaz crystal,91,False,B097TT88V7,"Necklaces for Women, Infinity Love Heart Pendant with Birthstone Crystals, Jewelry Gifts for Wife, Silver Plated 18 + 2 inch Chain, Birthday or Chrismas Holiday Gift for Her, Mom, Girlfriends",39.99,USD,996110.91,4.6,24909,,,,False,True,,/Leafael-Necklaces-Infinity-Pendant-Birthday/dp/B097TT88V7/ref=sr_1_92?dib=eyJ2IjoiMSJ9.4DP0SMdto-ZdfznU0iMNQzr9AFqZW_-C0ryj207qEjOz_AoCG0audmiBTqwNYaNJNTZaZgYzWbEDmnjAIHZ-2SfA2HanPQ_580CBcUEdsGK4FBkq8bgxsUjzfiqu5FiR_ybDHJXz2vHigKIa3JPhXc0LCoqpQeOefCGoXqzfjrkh7-tjy3-vDZW0MMIElVjalh15wyCyox270QUyVRq9KP8ZpuKfEboF449EfgaWUb0_wlRFteWjkM62XQLN_LHB-V2srcfmjohUAVxv-tKqjvapUU2GHBzwpps1pHRrb5E.-_iLQ-d70GOfFthFXWLmrN92Jogm2I6CoQslq9ZXgtY&dib_tag=se&keywords=topaz+crystal&qid=1719061668&sr=8-92,https://m.media-amazon.com/images/I/71qIFOdoMWL._AC_UL320_.jpg
topaz,topaz stone,14,False,B08MJ3M9SP,"National Geographic Semi-Precious Gemstone Dig Kit for Kids - 15 Gems Including Amethyst, Garnet, Opal, Blue Topaz, and More",34.99,USD,967018.63,4.7,27637,,,,False,True,100+ bought in past month,/Semi-Precious-Gemstone-Dig-Kit/dp/B08MJ3M9SP/ref=sr_1_12?dib=eyJ2IjoiMSJ9.CHRLaxnK9J8Ob8XtlR8_OudJkk5fFKzVPiW1KN68YE46RarrNEco91hCR9WHugt7QFDlRQIMNLESbcJuPcgVyf-i7ZvrHf8gkqHzmsmDWThtDe4dILN4WZRvkosbBgVE7beQ076PkAYEJkgicQosQOMJELVrMitSTktFMVqkfS8NbiWllaUFtVppH8uXko13FGxxHqtPvMOc36vUakf-K24Y-clW3jlmZN_QUG7XDM8XlTD66PkxttI5wNJY5gvDUX9puquFBi-IscMq0-V4hEHFvOXcLbVQnlJY0Hcid4c.SFvTiNSfZ0HGnexNjlGMsaKoVcvjGAUAV7ZVdcrvcWg&dib_tag=se&keywords=topaz+stone&qid=1719061566&sr=8-12,https://m.media-amazon.com/images/I/91XrRdFBC7L._AC_UL320_.jpg
topaz,topaz necklace; topaz jewelry,30; 43,False,B07JDJPP4L,"Elisa Pendant Necklace for Women, Fashion Jewelry, 14k Gold-Plated",44.0,USD,692428.0,4.6,15737,,,,False,False,100+ bought in past month,/Kendra-Scott-Pendant-Necklace-Rhodium/dp/B07JDJPP4L/ref=sr_1_32?dib=eyJ2IjoiMSJ9.ErbxFo82kmy2KeslxERwMnVV6vBqdwdFnI2SuaPgq_F7L1_a0SPHWVYN7SCH_kjW-wIrtUxKQalQYi-M0V0DvknEScLqlR5L6Lp1f4txv5oabUC8CD-UlJP9_MnziXW9w8ACHEUK0UMhw8OBEdsvA-Eh9Dh3ruHNp7Nyay3gGoBdjF4CcNzc8kEM9xDJ4rEzmArGM0TcjQM-p2RWF87t8Q-IC1NfBs9ByWc6q_15CafLbqZLRpzFtsmsiRPkI_I97Hq9hM5REYrcY_acusOze8K7EQpUchYhUWK2LbW0EKo.ffUDA65WlcWRCMmoWawEs-X_ey1Nj2Cole_nloQarOg&dib_tag=se&keywords=topaz+necklace&qid=1719061580&sr=8-32,https://m.media-amazon.com/images/I/511oTjxm+UL._AC_UL320_.jpg
topaz,topaz bracelet,125,False,B07T8JFZVQ,14K Gold Plated 3mm Cubic Zirconia Classic Tennis Bracelet | Gold Bracelets for Women | Size 6.5-7.5 Inch,17.95,USD,483788.4,4.4,26952,,,,True,True,2K+ bought in past month,/PAVOI-Zirconia-Classic-Bracelet-Bracelets/dp/B07T8JFZVQ/ref=sr_1_126?dib=eyJ2IjoiMSJ9.MuRS_wfkWOGWq-w87zg9pYqRFhI9Ef7PtFzhaVJXcouaRvUJESTrUYiBZiv8asKGTTvkK5USL_lC8TkMM2MYpxCzAMNzHZspHiNGP7Ohm1gEvngq1Muc7jdICJQW6Y3eYvrD9_zGS_6aoywEMNpHLh_ZBEM4i-x2xrv-9DtdnApXbX5Ht4RWiNnbhCp5Rx5mrjNt6ybFiNflqpuvYhDcGYrTS1-5RrALMaG_cXBtepMP_-RN4C0ss8QFviD7VUAFyE0SXK4C_EvEP73H-qb66TRQFDsBSZTwWBh3sw8F76I.QasjUpYVHEo1-YvP7COAh25TCS-XbGLRTZrMBXQitKM&dib_tag=se&keywords=topaz+bracelet&qid=1719061688&sr=8-126,https://m.media-amazon.com/images/I/51PpuzQQniL._AC_UL320_.jpg
topaz,topaz bracelet,119,False,B07WC2HGTB,Natural Stone Bracelets for Men - 8mm Tiger Eye | Matte Agate | Lava Rock Bracelets for Men Teen Boys Gifts Anniversary Fathers Day Birthday Gifts for Him,19.99,USD,471184.29,4.5,23571,,,,False,True,300+ bought in past month,/Gifts-Male-Coworkers-Mens-Bracelet/dp/B07WC2HGTB/ref=sr_1_120?dib=eyJ2IjoiMSJ9.MuRS_wfkWOGWq-w87zg9pYqRFhI9Ef7PtFzhaVJXcouaRvUJESTrUYiBZiv8asKGTTvkK5USL_lC8TkMM2MYpxCzAMNzHZspHiNGP7Ohm1gEvngq1Muc7jdICJQW6Y3eYvrD9_zGS_6aoywEMNpHLh_ZBEM4i-x2xrv-9DtdnApXbX5Ht4RWiNnbhCp5Rx5mrjNt6ybFiNflqpuvYhDcGYrTS1-5RrALMaG_cXBtepMP_-RN4C0ss8QFviD7VUAFyE0SXK4C_EvEP73H-qb66TRQFDsBSZTwWBh3sw8F76I.QasjUpYVHEo1-YvP7COAh25TCS-XbGLRTZrMBXQitKM&dib_tag=se&keywords=topaz+bracelet&qid=1719061688&sr=8-120,https://m.media-amazon.com/images/I/61xKqyVjT1L._AC_UL320_.jpg
topaz,topaz ring,88,False,B01M9I9XFS,14K Gold Plated Solid 925 Sterling Silver CZ Simulated Diamond Stackable Ring Eternity Bands for Women,15.95,USD,390344.35,4.4,24473,,,,True,True,400+ bought in past month,/PAVOI-Sterling-Zirconia-Stackable-Eternity/dp/B01M9I9XFS/ref=sr_1_89?dib=eyJ2IjoiMSJ9.mJFmhmP5kXEwrgjha9hvzWfG5fUshSK57XNCIFAWh1he5SbaHe4tpAiNMR-rk8gJXuR7efjv-QmpZ2eGHOzr0c93KCsLd9bDzvg48NfcRzWGSBPWFBtiUn1vv7EU_mJMCyQyhLt3YvA6IJR-1VMiVMy7eeKIopGvQ1iiVJwGhqEOh3FZyTtZeLW9m5QdGSJhdtOlEhObAnL1rknX7rq7jARYXZqRHSSLaFBJfMx43x9ytskgyWQjbfehVu8GDvGx4sCPKeW2RybvWlZk2nU1wZ3vrwnTguto1Jal_QJt8Ks.e0CVtSPoXSO7kEG7CzJniVoKT8fATOuh3mZma0AMrdg&dib_tag=se&keywords=topaz+ring&qid=1719061597&sr=8-89,https://m.media-amazon.com/images/I/61OmckZxTuL._AC_UL320_.jpg
topaz,topaz jewelry,50,False,B01HD7XCXY,Sterling Silver Round Birthstone Stud Earrings (previously Amazon Collection),34.2,USD,366521.4,4.5,10717,,,,False,True,,/Amazon-Essentials-Sterling-Birthstone-Earrings/dp/B01HD7XCXY/ref=sr_1_51?dib=eyJ2IjoiMSJ9.zLGqAm4v10W_iYq1yVZw4hKA_3JZ4-8WdeBNy6Tw95cRv58esS4m8YBCMFvnfj6-ANFZiglzSnCitzz0TxlDumgFyGuMyvZ8ILValT705SBkewuJRFErDgGeFJBm5YVBO0TdIjEY0J2XTuKiTkiLDqg5ZpP2Mru8iDf1RmIuBGr_uauBgvE5uAOuiYETKimwLM7eWuTnscE3D8GjFdJ5DYP8HsgTAsEVb0LOXSGfHmfn-4U7qC7vSGNpPZblh0cfmM-yb55_QcbBe3ZgAnEb3CBepFZqJmjg_bizzIflfwY.9GUjAAFaAmntKdR3nWuB1f09jO7xdSHKZ3HzlQlc-RU&dib_tag=se&keywords=topaz+jewelry&qid=1719061611&sr=8-51,https://m.media-amazon.com/images/I/61cl32CRHbL._AC_UL320_.jpg
topaz,topaz stone; topaz necklace; topaz jewelry,80; 2; 1,False,B01N4GTUDH,"Amazon Essentials Sterling Silver Round Cut Birthstone Pendant Necklace 18"" (previously Amazon Collection)",47.5,USD,270892.5,4.4,5703,,,,False,True,,/Amazon-Essentials-Sterling-Birthstone-Necklace/dp/B01N4GTUDH/ref=sr_1_78?dib=eyJ2IjoiMSJ9.Lx9CIliivS8OXlABQ6Sv7OM1tFWb8ejEQD-ZA9sMxWytHVf6ynPUIJxWjEwM02eWw9KLDiqx4GM0g0WJbm_R5DSJJ8jW7ddishENUSk8fg_X8Yg9E9OFFc6h-lru_pos5BFNc1ODikg_Hav9IBQBoY_Yd3Lyy4j0lyAhnzbNLHpVR_xcWFOm3-PjE5VZ63vGAIiGoBa2HI62I9Y3Y1hif8wvcW6SocNzDVM3OYrVMq96OaW5Y3o_Avo55OLRB70WA9aGAMPZzY4ZLO1UI7hhHcK9hfMVJw__dugoU_X72Kc.hD5XYVuIqZ4yU13P680nNl8cQ-ttnIHFY22AqNs6SCI&dib_tag=se&keywords=topaz+stone&qid=1719061567&sr=8-78,https://m.media-amazon.com/images/I/71thj8IxSML._AC_UL320_.jpg
