Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
tourmaline,tourmaline necklace; tourmaline jewelry,57; 55,False,B071R2JP7F,"Necklaces for Women, Infinity Love Heart Pendant with Birthstone Crystals, Jewelry Gifts for Wife, Silver Plated 18 + 2 inch Chain, Birthday or Chrismas Holiday Gift for Her, Mom, Girlfriends",39.99,USD,995910.96,4.6,24904,,,,False,True,,/Leafael-Tourmaline-Birthstone-Anniversary-Necklaces/dp/B071R2JP7F/ref=sr_1_57?dib=eyJ2IjoiMSJ9.Y8BNpkV6LM_ubGqyXlcp4_x_gc-tG0x6RjZ4nMRxtjgXZHDvINt0wLJcgTRJB7XmFl24Z0-9QLe3JOdXdtZ-GWYT6gUDfRGhD-G6gL2idjuj_6HDi07vnFxwYDB3oTyOw8zMJ9TCT4tqNScLWC9n73tONQswrCTy69ST8sqHqoZ6WmZuEKBbpTer0HPZQ8njklPiZ7fPcY787g0CXquRe1wzEycmZ51W18MAMmQU2A-6eiMWTWiQ60Ofm8iN9M3RZEne3Gj4JG-gXNyvTM_MpP9qYfksCTOBnwo0byInlKs.tWFMfcvUEcfW9Gv31EUk_nGtzgUnjzPgWloKcB9v9mc&dib_tag=se&keywords=tourmaline+necklace&qid=1719047925&sr=8-57,https://m.media-amazon.com/images/I/71UWOOsiEML._AC_UL320_.jpg
tourmaline,tourmaline stone,290,False,B01NAHWXZB,HealthyLine Far Infrared Heating Pad - Natural Jade and Tourmaline Stones - Easy to Roll-up - Mesh JT Mat Full 7224 Soft Light InfraMat Pro®,255.0,USD,278970.0,4.5,1094,,,,False,False,,/HealthyLine-Far-Infrared-Heating-Pad/dp/B01NAHWXZB/ref=sr_1_281?dib=eyJ2IjoiMSJ9.z1CZep-LlsZQ-mmAYjiP0eLkju3cvhtVwEzCDR6YodQ-PEo5TID1exNzsd25AQCRnX9UviXzSF2O-i3aHjnf-pVgYQ89H4u_9tUIDQYetrGTzLXAhFSbx0T0yK5OeiemP9ni1wBA9Q5-0fGeOZ8eohBPnHrjUH-zfSNoBw9Vum9Zihl3tCANiw0vLomHSOu-oeiZ6aAQRWfyIObDKJpTioDfSAUa0_WUbi1k6zgNxU7mXcPgIaaNgE5OQt33516G_WgZD-QLpgNZM1gGyTJUGWPmhojyBLCDByu3XF6_ikA.w_Ji2V6RrwKuMh8Swf6Li0phU1fHVRKSHHkBwCgFYRo&dib_tag=se&keywords=tourmaline+stone&qid=1719047914&sr=8-281,https://m.media-amazon.com/images/I/81+iH44uaYL._AC_UL320_.jpg
tourmaline,tourmaline necklace; tourmaline jewelry,49; 93,False,B08G822MJY,Rosy Reverie Birthstone Necklace for Women Sterling Silver Genuine or Created Gemstone Rose Flower Heart Pendant Necklace Anniversary Birthday Gifts for Women Mom Wife Her,79.99,USD,236290.46,4.6,2954,,,,False,True,,/Birthstone-Necklaces-Tourmaline-Anniversary-Valentines/dp/B08G822MJY/ref=sr_1_49?dib=eyJ2IjoiMSJ9.Y8BNpkV6LM_ubGqyXlcp4_x_gc-tG0x6RjZ4nMRxtjgXZHDvINt0wLJcgTRJB7XmFl24Z0-9QLe3JOdXdtZ-GWYT6gUDfRGhD-G6gL2idjuj_6HDi07vnFxwYDB3oTyOw8zMJ9TCT4tqNScLWC9n73tONQswrCTy69ST8sqHqoZ6WmZuEKBbpTer0HPZQ8njklPiZ7fPcY787g0CXquRe1wzEycmZ51W18MAMmQU2A-6eiMWTWiQ60Ofm8iN9M3RZEne3Gj4JG-gXNyvTM_MpP9qYfksCTOBnwo0byInlKs.tWFMfcvUEcfW9Gv31EUk_nGtzgUnjzPgWloKcB9v9mc&dib_tag=se&keywords=tourmaline+necklace&qid=1719047925&sr=8-49,https://m.media-amazon.com/images/I/61S8mR7LsZL._AC_UL320_.jpg
tourmaline,tourmaline anklet,154,False,B08KGR2X6D,Gold Anklet for Women Flat Mariner Anklet 18K Gold Plated Flat Marina Link Anklet for Women - Made In Brazil,12.99,USD,232066.35,4.6,17865,,,,False,True,1K+ bought in past month,/Anklet-Mariner-Barzel-Plated-Marina/dp/B08KGR2X6D/ref=sr_1_149?dib=eyJ2IjoiMSJ9.wsGhKyhnVnWLFbiaaORNnWu_yInLNZ7k8a_hudojQhnf_56vxLvjvVfZy4aT_jvfGR7BTDZmrQCMvokAZ315Xj74npBmehr8CfwgBKKU4pJbAFOCUqTvVHfl5M7dOuoAEjxb1dPaV0ln-12Mex41E7kxs9GyzqRVineg1tjGsMWQmex6R6SzoZMX02cc2hLLg45pJkEfp8ozTUHpvW8pfyRVJiTQOYtRIZ1Dign-MPf-eGBSM7asonE3D3rT4ITPKkpr-g9yk7181XFLYf4bD7As0r__qdCWKRCm3u4Yj1U.-0_4TEHZAbiq3Wgx8ibSD5Cndb6Rg6PpuVS1rq3CZ1M&dib_tag=se&keywords=tourmaline+anklet&qid=1719048002&sr=8-149,https://m.media-amazon.com/images/I/51ntlg+Y98L._AC_UL320_.jpg
tourmaline,tourmaline anklet,87,False,B0734R8RSK,Womens 925 Sterling Silver Infinity Anklet Bracelet Endless Love Symbol Charm Adjustable Large Bracelet Mother's Day Gift for Women,39.99,USD,208747.8,4.5,5220,,,,False,True,100+ bought in past month,/Billie-Bijoux-Sterling-Infinity-Adjustable/dp/B0734R8RSK/ref=sr_1_85?dib=eyJ2IjoiMSJ9.LnU1K1rjpWMhF9svTLONAJAiwGIhF9gHTrTobEEfJu6fWDA-RkF7nRau_2R_qx_0GA4AQcEko5s0y4VvUG7ex3AKVCzIaCNSRJGx6qYQ16YqRfWpSTgEhnSJiBKoGG9FqbE8oluK9CaiLpix29DUX8EdsYUcOVgBuhJeUAJvydQfoDP35gwyRKGx1l2h-JRoPmATR-fAkKvo2kKMq4xnjRin7ckVjTadD3Iun_ZyVj2mNKC2mxEVvOfTkVZrnT1d0EvVgwVUAQSn5Q97J1aUc7z22z3SO3m49yu9twc2sWA.YLrXvfVLuE-I_AXhvl4HH8-S0w3mG2rRjog3VZsZkTA&dib_tag=se&keywords=tourmaline+anklet&qid=1719047998&sr=8-85,https://m.media-amazon.com/images/I/619pxkCH9GL._AC_UL320_.jpg
tourmaline,tourmaline stone; tourmaline crystal,67; 22,False,B07Y422NWC,Healing Crystal Collection (Protection),35.35,USD,202732.25,4.7,5735,,,,False,True,50+ bought in past month,/Crystals-Protection-Malachite-Tourmaline-Gemstones/dp/B07Y422NWC/ref=sr_1_65?dib=eyJ2IjoiMSJ9.PhxpH8yRuRNqySwf4UFxBOjcBauymQ6NkboTOHq6YH91y1488JcXn72hL8iflkEHPtBYwYs7CUU44CzxZ3gCSBMovRTvqGRrrErtu1mwd6kXzKlA2NcwkqkNBIussEFH0nxKfpW7AElEAG8XkWv5lf9pC53VB38W4oFWEWwqr6gzIdZcDfgzA2sz4j5b0La4gTsKGdRT-_NAeL7zXcFgUE_k1FO5tWD9oVa2FQ3GHQaYRakw9iQw1M0_2PD34oZyvLfRwsSNiDiFqYntuuhMYs5cJ9ipwfc2HdeSgR6_rWg.rdeLOm8Qqrs6-DQ1eiaIG5KWX23xTJWUH0FFsz5FBbE&dib_tag=se&keywords=tourmaline+stone&qid=1719047909&sr=8-65,https://m.media-amazon.com/images/I/917M9s0q0zL._AC_UL320_.jpg
tourmaline,tourmaline jewelry,146,False,B07GZKC614,Tree of Life Necklace for Women June July Birthstones Pearl Ruby Necklace for Wife Birthday Gifts for Mother S925 Sterling Silver,89.99,USD,197618.04,4.7,2196,100.0,10.01,0.1,False,True,,/Elda-Co-Sterling-Tourmaline-Anniversary/dp/B07GZKC614/ref=sr_1_144?dib=eyJ2IjoiMSJ9.sqb1s2vy-gImJgk7Y7Mphd8N0nyVrnoVYBBnzFhM31Qx_swVSlqh5_Acn1r1cfS67goaLmvxFUmTAj_YUHu6Dy6eGuYM5ci7LSFuB9BNvWqfeUNuEzLXymIm2v9_aZ7Le6cDjVYXN1zMeikh4aiI1HJHcmTTxc0phc2dzyHqmYENWUykR7iRJSHmEnw0NuVwsaShz2gW8dEB37wJMNJ7dIPhGKlujfQSk35c_mZYm2h3m7mb4xq9vLBkAptFhkWUiWf5h3ZNreN8L4Ra85WCIoR-GFokqezCud_GHfsXCzI.Nfdhd12lBGsL74q-RGgpmf4S2JbBBGmztsl9L0L1YBo&dib_tag=se&keywords=tourmaline+jewelry&qid=1719047964&sr=8-144,https://m.media-amazon.com/images/I/71gkvo0+hrL._AC_UL320_.jpg
tourmaline,tourmaline necklace; tourmaline jewelry,116; 162,False,B073Y4LDM4,Birthday Gifts I Love You to the Moon and Back Necklace 925 Sterling Silver June July Birthstones Pearl Ruby Necklace for Women Heart Pendant Jewelry,69.99,USD,194782.17,4.6,2783,,,,False,True,,/Engraved-Tourmaline-Anniversary-Birthstone-Swarovski/dp/B073Y4LDM4/ref=sr_1_116?dib=eyJ2IjoiMSJ9.ZELRE_C2ba7Go4fkFpmEtuyDRArljStZffPtX9cPUKQ99ajPG339MYImJzcwZjVzuhbxg4ylE2y7h-Vwy3f5ce0lbxr2ymwgVw_iqUB1p50IjVHNR8yjRy88aqgn-KT_iWLyCappzohrJFmUnJfIISxw2W7bu1y0Y8Ipk1-zei798zz3Gy_Ro9UKL4B7jPDv3WqgNuA9Dtg0B3Rerkdo5poPGNAWiwKCwqtvZvvbYfH42Ouy5dlIHCNrHsBhtZK2V17IM5lmkS9kIheZ9XvQy3gV6T7b-WBNAJ35S5rNqEY.oB2aR5BjgXAXdNSrxaUSdWCqjONgKm3Xc8DWVXmtwQk&dib_tag=se&keywords=tourmaline+necklace&qid=1719047926&sr=8-116,https://m.media-amazon.com/images/I/71wZKK3q6zL._AC_UL320_.jpg
tourmaline,tourmaline earrings,46,False,B07QTHPP3H,"Infinity Love Heart Birthstone Crystal Stud Earrings for Women, Silver Tone Fashion Statement Jewelry for Girls, Holiday Birthday Gifts for Mother Daughter Wife Mom Girlfriend Her",36.99,USD,183359.43,4.5,4957,,,,False,True,,/Leafael-Infinity-Swarovski-Birthstone-Silver-tone/dp/B07QTHPP3H/ref=sr_1_45?dib=eyJ2IjoiMSJ9.2gS_I20XHBmku8qLIbNrvZ3y2IDyWi5lRasGRqYz0Dc58zi7S3pT_iP_H63nF9fd1l6qEjN6gIB8Wb0XyvNnLBo2UngD3-U6fEWhPcfNYWAm6ulu3AvHoVMLxDNt1zlEp-vZphJ-s5_JoLHB7C9Ji-glY-aDHDey_iVLUNcEJnUqFikdNe6TvPuzv2M9SwnX5l7w0E7gZaJPMVjRkY_ZuTEsdLTB7jnPp4CqRv9Vdlg3OK5E8aoiADUwhhouaU-qO-3DPjl9eEQ5yvoh60pS5Gs-0CKWmUN6QsHJOoKMHHY.5XW9OWjBYc5kF5Y_IKotlwS-5s20UAPiZAay5VlVo4M&dib_tag=se&keywords=tourmaline+earrings&qid=1719047976&sr=8-45,https://m.media-amazon.com/images/I/71bpetepVZL._AC_UL320_.jpg
tourmaline,tourmaline jewelry,170,False,B07X6MVZTR,"I Love You Necklace 100 Languages Heart Pendant Necklace Women 925 Sterling Silver May June Birthstones Emerald Alexandrite Jewelry, Birthday Gifts for Mother",85.99,USD,173269.85,4.7,2015,,,,False,True,,/ELDA-CO-Necklace-Languages-Tourmaline/dp/B07X6MVZTR/ref=sr_1_165?dib=eyJ2IjoiMSJ9.-xCwCTS4ff_wo20oR79mdyNWcO0ErO9sX_Zm2AM9o7wrgtgmkba48F1db7-0koSB3Z0eAJxtj57mbk7Ie_mOH1lT6lgq2KrqxzdiUD5fVustB5DBFHYlbq4e4r8Cm3yUNW-wVQr8isfGjqJKf8wTcj6-xJEfltw_HONGJ3eTpuQRP_Aow9Hr7ssnJjn8zjNE4S_GsZe3qWQJmhJ-Yd9Z2sKIYQXVJaPSkta-t3DsYzWH0LlxHL0Qp_mOsnXsSRFP3T29uV15DpKKIEmRuYCGNv-nWNpH8y4cj4wiy9C-Uoc.y4fCiXstnI8iG0sY-cdmgSIECWLT8my252gZ2TTyPZ0&dib_tag=se&keywords=tourmaline+jewelry&qid=1719047967&sr=8-165,https://m.media-amazon.com/images/I/61y5z24KhgL._AC_UL320_.jpg
