Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
turquoise,turquoise necklace; turquoise jewelry,15; 2,False,B01NAJPK1P,"Elisa Pendant Necklace for Women, Fashion Jewelry, 14k Gold-Plated",65.0,USD,1022905.0,4.6,15737,,,,False,True,300+ bought in past month,/Kendra-Scott-Signature-Turquoise-Magnasite/dp/B01NAJPK1P/ref=sr_1_8?dib=eyJ2IjoiMSJ9.YloxeSM5kuAIX42JLqqat3qYg0MCPCFRqPAXFlM5vbvrwB73OiJ2MyLY4FHIwYdVbwflY8T0vnxawJAiRLRxJLXYvO3TI3gh98Nh0SqbM6JnJ7RuaLGbVxgf6CU1DPnyE_w7HR4bNgehzJ-Uw4KxA2lXUngpCflq4bh8xkT1pjDIhLNCunRL2Stf8UWFVj9hbrHvz7cSN1YyW8EnUvwr8hVqGS8GOzYHxCpMYiDLOOGMMJpLyQrLx6vjhpj9kMFzqREEEfmVFc00cIj0FpTFWh0s-pz88HM3w2SWrvZF0Kg.G-biIlOXGqzhQ4AyL4XBU04ClIUhRJhvYCag5plXxL0&dib_tag=se&keywords=turquoise+necklace&qid=1719061301&sr=8-8,https://m.media-amazon.com/images/I/41t2i1Wv6kL._AC_UL320_.jpg
turquoise,turquoise necklace,154,False,B07Z6PV32R,"Necklaces for Women, Infinity Love Heart Pendant with Birthstone Crystals, Jewelry Gifts for Wife, Silver Plated 18 + 2 inch Chain, Birthday or Chrismas Holiday Gift for Her, Mom, Girlfriends",39.99,USD,996110.91,4.6,24909,,,,False,True,50+ bought in past month,/Leafael-Swarovski-Turquoise-Birthstone-Silver-Tone/dp/B07Z6PV32R/ref=sr_1_143?dib=eyJ2IjoiMSJ9.OmYMXGv8cKBxuyzNXeSKP-VUpsW7Ky7crmQdx86aFvBaqx7lphWdBq1nkY10UtJsFnN-x-3eiXEWgE_wdl47SDfZpDBTxLfGwXi_FtRLXkORiCPm5lcbysa2pbK6KXLsI_b_3i5FL6exEA0qjs1CLUVnhAIygS3qCPeFg_-vS4cgw8NeOxylFjJ56l4xg4dLWsXlvCT51AnfDCVfeyqGudSlWtPeY5JE_RFcuNJH3dYIo1wXNisaqEh95u3ySgYdDLfyFlwsj8vltxONWkgoo-q9yBjt_AEd4SLtConKQzE.KPMjeRWEM3JSE01ZVza7uadage19aSInb0D2VyMZwiI&dib_tag=se&keywords=turquoise+necklace&qid=1719061304&sr=8-143,https://m.media-amazon.com/images/I/71ydDXQziTL._AC_UL320_.jpg
turquoise,turquoise necklace,311,False,B08L8Y43C4,Dainty Gold Necklace for Women - 14K Solid Gold Over Layering Necklaces for Women Cute Hexagon Letter Initial Necklaces for Women Gold Layered Necklaces for Women Jewelry Gifts,13.49,USD,620890.74,4.5,46026,14.99,1.5,0.1,True,True,1K+ bought in past month,/Layering-Initial-Necklaces-Paperclip-Necklace/dp/B08L8Y43C4/ref=sr_1_300?dib=eyJ2IjoiMSJ9.wfB_1-Z00H-xVVq4Arc7X2KTQM77YUTq7HsEGKqyvk2F9Q0XGipNqA2ucjFFbkyxqZjNH0WeR_a9v_9tGtv3pnJlquozA8yMHwySeDsOx6PR7pjsm1MwqJke0HJy-VMjeoeH4bXmGpuF2SsFVXfovyI5zYY7Ss2AwtRIBegCTE2SRKx8CM_hvNkFHlu-wOI-gcHK92oU8aWFRmb2QhY6vuvjph7Myhd39W1uaK7DsfBtClwrhbVsYZm2yS1Xa4ifA37jZ8sgMAllmQWl9nhXIQ.hnEyjkOjV6FHn_7UOBTrk4N_6h2uVNWl0WFlD_hizCk&dib_tag=se&keywords=turquoise+necklace&qid=1719061311&sr=8-300,https://m.media-amazon.com/images/I/51R-oJ0H8kL._AC_UL320_.jpg
turquoise,turquoise ring,104,False,B07ZFJJ9LF,7MM Genuine Round Shape Gemstones White Gold Plated or Yellow Gold Plated 925 Sterling Silver Victorian Style Solitaire Ring Jewelry for Women,25.99,USD,468261.83,4.6,18017,,,,False,True,,/Silvershake-Turquoise-Sterling-Victorian-Solitaire/dp/B07ZFJJ9LF/ref=sr_1_105?dib=eyJ2IjoiMSJ9.K5mX2NtdW8OwMLu8VQfU90SjtHoRhV-YvT-uyU_M-8Zi95htz4Y5u18Qm5VNOGkX57QwNLcdyz5qwiftd9fkfgfdY5lJfzU6RFNsAayh2eyh8B873ui3SSvSSGtMrrzf7i_21sdGOURVKAbDSTkUpS9gVLX9mbkmw4cXBR4OI41ni1vUeQj3Nz8o5eDKlq9jrWxhkv-wd-ey4KFUdUPbgBUxAwBgL1AIiyf5E7x19T18Bem32CMdFN3gR7EOBsWAKtSmBc4K0Pj4Ixzj4XOEbMsmoSJqZ-hokSGkd6N76V4.CtON1AanioIKXPkOqsIQqOVoSrj8CEzfDVSyiQIgSPc&dib_tag=se&keywords=turquoise+ring&qid=1719061322&sr=8-105,https://m.media-amazon.com/images/I/51rTgn7qqlL._AC_UL320_.jpg
turquoise,turquoise crystal,213,False,B08FMCR4KP,"GASPRO 10 lbs Fire Glass for Propane Fire Pit, 1/2-Inch Decorative Fireplace Glass Rocks for Fire Pit Table, Turquoise",31.99,USD,344308.37,4.7,10763,,,,False,True,100+ bought in past month,/GASPRO-Turquoise-Propane-Natural-Fireplace/dp/B08FMCR4KP/ref=sr_1_211?dib=eyJ2IjoiMSJ9.DiUC6EiIus1MlKfu0jKNltShCFZKy3cGIj1yCtJYW7wePhqpOY21zz8qd2fX7ZkIwtn1YfLzmmI2Fr2uLMSMMz7HM6A8yFnm1E3zWQmmWdMasEIklsSeo4CZCfKFQMfV-X0c1Wpd8e_HV-hiSOVABrUepVI-IAtkjW7kwePVYtK-LjjOdEANZ_8H3NEiMUZfPHKoqUWEMXLkoWLAx-D7nMR9kDM38LakRCkNGPznO7hlewr0zJNqG4E9tjVKhemvrFfJG_V3vn7rReZjC5qgFeuDZF7aCHIImHBrDfxQWjc.ynYanYXyk3Oj20WI1kNDt32KSbP69GygfDjAAKoBqqk&dib_tag=se&keywords=turquoise+crystal&qid=1719061405&sr=8-211,https://m.media-amazon.com/images/I/81s-fD3uxlL._AC_UL320_.jpg
turquoise,turquoise necklace; turquoise jewelry,57; 41,False,B07ZM315YZ,Layered Heart Necklace Pendant Handmade 18k Gold Plated Dainty Gold Choker Arrow Bar Layering Long Necklace for Women,12.99,USD,297886.68,4.5,22932,,,,True,True,50+ bought in past month,/Mevecco-Crescent-Necklace-Delicate-Turquoise/dp/B07ZM315YZ/ref=sr_1_58?dib=eyJ2IjoiMSJ9.YloxeSM5kuAIX42JLqqat3qYg0MCPCFRqPAXFlM5vbvrwB73OiJ2MyLY4FHIwYdVbwflY8T0vnxawJAiRLRxJLXYvO3TI3gh98Nh0SqbM6JnJ7RuaLGbVxgf6CU1DPnyE_w7HR4bNgehzJ-Uw4KxA2lXUngpCflq4bh8xkT1pjDIhLNCunRL2Stf8UWFVj9hbrHvz7cSN1YyW8EnUvwr8hVqGS8GOzYHxCpMYiDLOOGMMJpLyQrLx6vjhpj9kMFzqREEEfmVFc00cIj0FpTFWh0s-pz88HM3w2SWrvZF0Kg.G-biIlOXGqzhQ4AyL4XBU04ClIUhRJhvYCag5plXxL0&dib_tag=se&keywords=turquoise+necklace&qid=1719061301&sr=8-58,https://m.media-amazon.com/images/I/61svqdobIKL._AC_UL320_.jpg
turquoise,turquoise crystal,191,False,B0BZC8YL55,"Acaxin Bedside Lamps for Bedrooms Set of 2 Nightstand- Crystal Table Lamp with USB C+A Ports & AC Outlet for Charging, 3 Way Dimmable Touch Silver Small Bed Side Table Lamp for Living Room",54.99,USD,245035.44,4.4,4456,,,,False,True,,/Acaxin-Bedrooms-Nightstand-Charging-Dimmable/dp/B0BZC8YL55/ref=sr_1_189?dib=eyJ2IjoiMSJ9.8Ip1LVASTPQ5C9t_6N81CwXa1pApu-wuI_YfzCJOqMhepTgDStFoG-CqhGu0Pjww4CXRgxT1AJHv-Rgp5gw0EUFzkB_CpEjYCtkfZ6vzqdz54DMokJOzvdRlBeP44nMYZDnRT9gR6AQuiGuopZ7x-UIyyMKs7rTMSa-AEWdLIPi1rj1Zyjepyh73qqBoxmFVzPJDQCL8rGXnwvcm7V6pfMlZjYgJAAHpcaOOleFdwEvaIySCPYWJrdk0XEt-5A-nZl0nG-rn_aSk3EuMTC7MMGIt59CIqJgJy-OclLPcdNI.utUrK2wpuowbZjzqqi1_70bniT6-AhPNE_YzOieAXq8&dib_tag=se&keywords=turquoise+crystal&qid=1719061403&sr=8-189,https://m.media-amazon.com/images/I/81snuTg3gwL._AC_UL320_.jpg
turquoise,turquoise jewelry,54,False,B08XX91ZVB,Rosy Reverie Birthstone Necklace for Women Sterling Silver Genuine or Created Gemstone Rose Flower Heart Pendant Necklace Anniversary Birthday Gifts for Women Mom Wife Her,79.99,USD,236290.46,4.6,2954,,,,False,True,,/December-Birthstone-Necklaces-Turquoise-Anniversary/dp/B08XX91ZVB/ref=sr_1_55?dib=eyJ2IjoiMSJ9.W7v-b5phXABc_qIk-SK8RWGceB9UsG5Rv_k71sRF-476o5XSv2TXddbPvhmLM9oyv8lIyyoGKxc7GjxZjyledX73-LHIeXQeYurvBx1eFPBv3k6FWkoBkRFMzOAFOtgbp5WxQFp2a9vS3txGTr3eeVsVGG5sZLRPTfapFqrlXceXjglU1yezL3GYqXVU1eGTTnzoRbTff96Bn0_3UYXy5OlDXLMdihq2cEtqLP068E5MxBX_J8DD8TRrDNBNZbgY2JDpr4SsK57zSlHLrqE4qyqTwjN08yFhRq8uA8DNPBs.J8ldd1R6Sb9y1oxD1OOUYC_0mIm8Z9xMk0F8UOu_fzw&dib_tag=se&keywords=turquoise+jewelry&qid=1719061340&sr=8-55,https://m.media-amazon.com/images/I/610EFY8iRdL._AC_UL320_.jpg
turquoise,turquoise anklet,82,False,B07N8JF8C9,Gold Anklet for Women Flat Mariner Anklet 18K Gold Plated Flat Marina Link Anklet for Women - Made In Brazil,12.99,USD,232092.33,4.6,17867,19.99,7.0,0.35,False,True,2K+ bought in past month,/Barzel-Gold-Plated-Marina-Anklet/dp/B07N8JF8C9/ref=sr_1_83?dib=eyJ2IjoiMSJ9.iSyof3QzXdUJd3ogNxq2x1ohADCqtxiMMTWDlVPPhT6GK0edDXhFyL_oOLVgJO3N1oazn9QyhTfquNwTUCFVRD39mtFMCIXmwtHzdQxowoYWNrhovaFCZXrwicRxwlEGTgmjYcWM_AmQVb3vp5VVe3zIejllAI2hHjqoZh2BPfAuPBoYlY7rDtWyRqCtsrdb0EcmQcC19fmVcVwvIx7X96iehzelR3Dh3bWw4Bll3EvbH-OH3TW4JiFp2aJ5vev0-o867GFgUt8NtdpH2BIrcsRP44IOJbjuNvwd8Vyo3OI.KT1Zrwy6C1TEE1Q5-_X52f9GvAz5hgw2kmoJsqBJzzo&dib_tag=se&keywords=turquoise+anklet&qid=1719061382&sr=8-83,https://m.media-amazon.com/images/I/51ntlg+Y98L._AC_UL320_.jpg
turquoise,turquoise crystal,115,False,B0C1Y8YMZY,"Touch Control Crystal Table Lamp, USB Bedside Lamp for Bedroom, 3-Way Dimmable Nightstand Lamp with Elegant Teal Shade, Modern Decorative Lamp for Living Room, Girls Room, Office, LED Bulb Included",46.99,USD,229311.2,4.7,4880,,,,False,True,50+ bought in past month,/Control-Dimmable-Nightstand-Decorative-Included/dp/B0C1Y8YMZY/ref=sr_1_113?dib=eyJ2IjoiMSJ9.1uljqvPAuEo2G52JzTFn4C0pf_6_LjgNYXjvb0Tr83p5gMS4eExbo0NUGCXUwjVCPDK9lcBnq2FTcRWRrVCJnhG241W3dBBEiJf66E9Mbem55mlcUn99S6Vv76I0M-xNm5C6awQm_umKP4xrDb07C280FLESZBYP0Qp_SR4L0jgeLywSgmlUc68yl4BKAesg2UJOqMDgq6YKMNEww0CaaAFQOmqV4tpYfks4SGSqRwtbBpEpm-8WzHbU4jWBy4ANCkEXEMd9Vsry3gVmyO1ILJY2viOeb9bGv87pffevtVw.3iXDuPNH9imSy4R46LUrijVWlRNHMLbvJ4tVM_AA6DQ&dib_tag=se&keywords=turquoise+crystal&qid=1719061402&sr=8-113,https://m.media-amazon.com/images/I/71X2wRVYHRL._AC_UL320_.jpg
