Keyword,Search_Term,Position,Sponsored,ASIN,Title,Price,Currency,Minimum_Revenue,Rating,Reviews_Count,Price_Strikethrough,Discount,Discount_Rate,Best_Seller,Prime,Sales_Volume_Past_Month,URL,Image_URL
press on nails,press on nails; nail glue for press ons,98; 1,False,B01I70RA8E,"Super Strong Nail Glue For Nail Tips, Acrylic Nails and Press On Nails (8ml) NYK1 Nail Bond Brush On Nail Glue For Press On Nails Long Lasting Nail Glue For Acrylic Nails Fake Nails Tips Nail Glue Gel",12.99,USD,878072.04,4.4,67596,17.95,4.96,0.28,False,True,50K+ bought in past month,/NYK1-Nail-Glue-Super-Strong-Bond/dp/B01I70RA8E/ref=sr_1_96?dib=eyJ2IjoiMSJ9.4Tq2bWIPoPogHqqrgZ8_gwXyDbBLUyTMgtlWd5N5Gccily2aoFVC96QsHDcQ3y7jLZlY4u2OIPBi0naLZvQStk-9KPk80asZvCH4svReos4uECoXL1MThJcIfXpXu5WbOkDD031aV4MWf0w0zScq7NyKk_dvk6SQToEqiexsxYdXv0BYDOqf3MkCJ91KleNMRqbVHk-1mEblRQe_MOKIBXN2x6JB1-mjjlx0F9RTRGeoo9ghiwjojiXoU3pjrYiwjaX2tNJBaYt0NoFKzBqWnFXrO9BM5Vq-slgI2ixW2uU.tBi3eHMDz7KNx1NC2-eLWX2Oz9FMRYmmCFdONid-9ic&dib_tag=se&keywords=press+on+nails&qid=1719062127&sr=8-96,https://m.media-amazon.com/images/I/71oyUfJPThL._AC_UL320_.jpg
press on nails,nail glue for press ons,34,False,B09XXJTBFK,"BTArtbox Nail Glue & Primer Set - 2 x 0.5 Fl Oz Acrylic French Ballerina Nail Gel, Long Lasting Super Strong 4 in 1 UV Nail Gel for Press On Nails",11.97,USD,626138.73,4.4,52309,,,,False,True,2K+ bought in past month,/Gel-Nail-Glue-Tip-Primer/dp/B09XXJTBFK/ref=sr_1_35?dib=eyJ2IjoiMSJ9.qNbshXjrAL4ByQffOYzYdaGbEaaMKu9p5RujPURG9tn5ld7QzX0fDg8lhx7Bx6FuZaH9SRALUYEdHJIYqzVZDVSFXcYMg1Df8F8IyNai_-suIFZHyStu3sHAyK-jvWUswU5Z5tkv5fSaaSqr4Q5of6MwiAeI7R6Ws_eAuBenx194g9GvwvRo0jiY7Skn-Svor9ZhWTrAdrWy0Lfz1PkooubDbR4OWal9uxvnOc0kRw_6TPyHb4xzKDIhFg-vWuGwJ8rAxA_MH6C50TAqKKicKmhP4jTODjN-ejLYr6ec9oU.j5GncmiW0Bcc4I7WegC9PuQl5yeghdNJzXQJFEjP_aU&dib_tag=se&keywords=nail+glue+for+press+ons&qid=1719063180&sr=8-35,https://m.media-amazon.com/images/I/71rnUW1McDL._AC_UL320_.jpg
press on nails,a nail secret press on,166,False,B0CDTRZDWZ,"Ultra Quick Nail Glue - Durable, Easy to Apply False Nail Glue – Repairs Natural Nails – Quick-Drying Nail Adhesive Lasts Up to 7 Days - 3 g/0.10 oz - 3 Pack",9.36,USD,554102.64,4.4,59199,9.99,0.63,0.06,False,True,600+ bought in past month,/Nailene-Ultra-Quick-Nail-Glue/dp/B0CDTRZDWZ/ref=sr_1_164?dib=eyJ2IjoiMSJ9.xH30_kc5ioQuEHNBAXom-wXQDbxJa52k3lXj1evDuAo7dXaDcCT8LLxtx3DZXJeBtO4DOqpkPBWGQe1HYmj9lIXWVf-xWYz9OIQt86hliSlv38jXOGz_BommcHglR1ueVWZ4pdH8oeNq7zXbAXVqdMOkJC9jBG74EBaOsAJpQ-M8y7S3w5dR3AK50O0n0LcAxAN0L_ZDAZCaxgXQdpYL5j6k-iIrAWb4vB39z6qGea2yNjyA9i--RUn8HbW9Fk6ZSnWn91nBzc9LU0B4nSDertjhJkm2V62ZbB84UYGz5LI.qkVvqXPNE0KsKj0MJmIBEEn7i2jh1tTOBQ_jTs9VFp0&dib_tag=se&keywords=a+nail+secret+press+on&qid=1719062363&sr=8-164,https://m.media-amazon.com/images/I/81uHvPo-32L._AC_UL320_.jpg
press on nails,press on nails; a nail secret press on,63; 26,False,B0BM925WB9,"BTArtbox Solid Nail Gel - 20g Nail Gel for Press On Nails, Upgrade 3 in 1 Nail Gel for Fake Nails, Super Strong Cured Needed Acrylic Nail Gel for Long Lasting Manicure Pedicure",8.97,USD,469211.73,4.4,52309,9.97,1.0,0.1,False,True,4K+ bought in past month,/BTArtbox-Solid-Nail-Gel-Acrylic/dp/B0BM925WB9/ref=sr_1_61?dib=eyJ2IjoiMSJ9.4Tq2bWIPoPogHqqrgZ8_gwXyDbBLUyTMgtlWd5N5Gccily2aoFVC96QsHDcQ3y7jLZlY4u2OIPBi0naLZvQStk-9KPk80asZvCH4svReos4uECoXL1MThJcIfXpXu5WbOkDD031aV4MWf0w0zScq7NyKk_dvk6SQToEqiexsxYdXv0BYDOqf3MkCJ91KleNMRqbVHk-1mEblRQe_MOKIBXN2x6JB1-mjjlx0F9RTRGeoo9ghiwjojiXoU3pjrYiwjaX2tNJBaYt0NoFKzBqWnFXrO9BM5Vq-slgI2ixW2uU.tBi3eHMDz7KNx1NC2-eLWX2Oz9FMRYmmCFdONid-9ic&dib_tag=se&keywords=press+on+nails&qid=1719062127&sr=8-61,https://m.media-amazon.com/images/I/61jukd0+-EL._AC_UL320_.jpg
press on nails,nail glue for press ons,9,False,B001KYQ7LG,"Nailene Super Strong, Fast-Drying Nail Glue – Durable, Easy to Apply False Nail Glue – Repairs Natural Nails – Quick-Drying Nail Adhesive Lasts Up to 7 Days, 3 Gram",4.96,USD,293627.04,4.4,59199,,,,False,True,3K+ bought in past month,/Nailene-Ultra-Quick-Nail-Glue/dp/B001KYQ7LG/ref=sr_1_10?dib=eyJ2IjoiMSJ9.qNbshXjrAL4ByQffOYzYdaGbEaaMKu9p5RujPURG9tn5ld7QzX0fDg8lhx7Bx6FuZaH9SRALUYEdHJIYqzVZDVSFXcYMg1Df8F8IyNai_-suIFZHyStu3sHAyK-jvWUswU5Z5tkv5fSaaSqr4Q5of6MwiAeI7R6Ws_eAuBenx194g9GvwvRo0jiY7Skn-Svor9ZhWTrAdrWy0Lfz1PkooubDbR4OWal9uxvnOc0kRw_6TPyHb4xzKDIhFg-vWuGwJ8rAxA_MH6C50TAqKKicKmhP4jTODjN-ejLYr6ec9oU.j5GncmiW0Bcc4I7WegC9PuQl5yeghdNJzXQJFEjP_aU&dib_tag=se&keywords=nail+glue+for+press+ons&qid=1719063180&sr=8-10,https://m.media-amazon.com/images/I/61OcEIjD9dL._AC_UL320_.jpg
press on nails,a nail secret press on; nail glue for press ons,31; 107,False,B0C6NFH7SQ,Press On Nails - Bubble Gum Glaze | Short Almond Pink French Tip Nails with a Glaze Finish | 15 Sizes - 30 Nail Kit with Glue,19.99,USD,212993.45,4.0,10655,,,,False,True,800+ bought in past month,/Glamnetic-Press-Nails-Bubble-Almond/dp/B0C6NFH7SQ/ref=sr_1_32?dib=eyJ2IjoiMSJ9.hz-agNLPAgNsr5Z_3HziSd8m4PsfaG387PiCPmhEvyO60LyvBGM4QXbSpvXWQrLoHElj0naYJpXmkmAsE5qXtsWuwTnkrbTFwShPV17x38PC4dID4La5_vppcoteE0jkZHCnfxBmY-7h_hxKFGDnuWsJd8AwYJzaUIKcJIxGWaoxqEUjxuwKyFGbVv85r-Y-EPSIEnwc8-Qz3A8YCGdw2lrYWNzto6nb5hrkBFHgaCQyVEWzYst_WL-zlcM4M-VA4UF6y-o_-FRQP50o4XHtGY15x8DNWlyHreVrkanygt8.4VtKz49h8kzdyJFyVFD7DeK_i6vxpMRE11C6VTchkzA&dib_tag=se&keywords=a+nail+secret+press+on&qid=1719062358&sr=8-32,https://m.media-amazon.com/images/I/61aVLdJ72YL._AC_UL320_.jpg
press on nails,nail glue for press ons,5,False,B0C46XS2ZV,"Beetles 5 in 1 Nail Glue Gel for Nail Tips and Clear Acrylic Nails Long Lasting, Curing Needed UV Extension Glue for Clear False Nail Tips and Clear Press on Nails, Nail Repair Treatment",9.99,USD,173806.02,4.5,17398,,,,False,True,8K+ bought in past month,/Beetles-Gel-Extension-Treatment-Christmas/dp/B0C46XS2ZV/ref=sr_1_6?dib=eyJ2IjoiMSJ9.qNbshXjrAL4ByQffOYzYdaGbEaaMKu9p5RujPURG9tn5ld7QzX0fDg8lhx7Bx6FuZaH9SRALUYEdHJIYqzVZDVSFXcYMg1Df8F8IyNai_-suIFZHyStu3sHAyK-jvWUswU5Z5tkv5fSaaSqr4Q5of6MwiAeI7R6Ws_eAuBenx194g9GvwvRo0jiY7Skn-Svor9ZhWTrAdrWy0Lfz1PkooubDbR4OWal9uxvnOc0kRw_6TPyHb4xzKDIhFg-vWuGwJ8rAxA_MH6C50TAqKKicKmhP4jTODjN-ejLYr6ec9oU.j5GncmiW0Bcc4I7WegC9PuQl5yeghdNJzXQJFEjP_aU&dib_tag=se&keywords=nail+glue+for+press+ons&qid=1719063180&sr=8-6,https://m.media-amazon.com/images/I/51fke2szwOL._AC_UL320_.jpg
press on nails,nail glue for press ons,71,False,B0868BTPYW,"Makartt Nail Rhinestone Glue for Nails, Super Strong Gel Nail Glue for Nail Charm 3D Nails Bling Gel for Mother's Day Decoration Gem Nail Art Jewel Diamonds 30ML Cured Need Beauty Gift",9.99,USD,169300.53,4.6,16947,14.99,5.0,0.33,True,True,30K+ bought in past month,/Makartt-Rhinestone-Adhesive-Rhinestones-Crystal/dp/B0868BTPYW/ref=sr_1_72?dib=eyJ2IjoiMSJ9.nfeRMtbFocA-tyiFkSoZbLQbSSXehQoG1GgawK2zDJL0fwYtUp8gZIujkf0RT2UtPt7bQjimTnPE9-EGfbmac_FPabKeo37rl3nk3-gIJaC3BJGs0pIMVJ37ht_VNhH8eoKlLCtUo6UCMaqyj9M0s_kUySHqZ7qG9QJ2uYD22CJ5Haxd6Ki1zqPWGW3h-8lKJNT34N9CnLU3P4mxgNUylVXY-M0nbF5qiXUTf-xzXcOe4ln_S3ugMRNnMkwdouvygAnD9-DhsaR3_DyQ7RaiQh-pT2y78xSeBkZtBB9x8L0.qTaKY8sNHpyW9iGuGqvyM8RKCYdkjyrGhPKq0tqj34Q&dib_tag=se&keywords=nail+glue+for+press+ons&qid=1719063183&sr=8-72,https://m.media-amazon.com/images/I/51aPnrn5JXL._AC_UL320_.jpg
press on nails,press on nails,7,False,B001T8S86A,"Kiss Everlasting French Nail Manicure, Chip-Free with Flexi-Fit Technology, Real Short, ""Endless"", Nail Kit with Pink Nail Glue (Net Wt. 2 g / 0.07oz.), Mini File, Manicure Stick, and 28 Fake Nails",4.97,USD,160183.1,4.5,32230,6.99,2.02,0.29,False,True,9K+ bought in past month,/Everlasting-Manicure-Chip-Free-Flexi-Fit-Technology/dp/B001T8S86A/ref=sr_1_4?dib=eyJ2IjoiMSJ9.bC96v0EXzHY42CqWYrwEhdDobaso_6dE5blVedwjFZ6CqP3kqQsG2y3GqWiUXyI1xOlqEMHR-gMm5FE4_t2KIr_8pmy5cmYXEMs8zqYPzmf1t5sJ0JQVGzGkGV29v2yPPfTPlsLRZC-OXW_FrhDVeV6s_lxjqUMl6T0x308-6lJSa_BO5xvKg2M1tkrehvhcKtrXjTVgd-R_SkHQjfeQn5eIvAeoRCwD5HXGADwLhVkorAAhUwB6h4sAF-GhTAq_63-HN96315Ry6XS5Hhbl9bPcp7-BCqzAaxvgvKGeuNc.qCjfvFJZDFUehYJbqJ2rEi_n-IJDAsTcUA6J7qB47mE&dib_tag=se&keywords=press+on+nails&qid=1719062123&rdc=1&sr=8-4,https://m.media-amazon.com/images/I/71bZbihtH+L._AC_UL320_.jpg
press on nails,nail glue for press ons,95,False,B002L3YLJU,"KISS Everlasting, Press-On Nails, Nail glue included, Infinite', French, Medium Size, Squoval Shape, Includes 28 Nails, 2g Glue, 1 Manicure Stick, 1 Mini file",4.97,USD,160183.1,4.5,32230,6.49,1.52,0.23,False,True,5K+ bought in past month,/Everlasting-French-Medium-Infinite-Nails/dp/B002L3YLJU/ref=sr_1_96?dib=eyJ2IjoiMSJ9.nfeRMtbFocA-tyiFkSoZbLQbSSXehQoG1GgawK2zDJL0fwYtUp8gZIujkf0RT2UtPt7bQjimTnPE9-EGfbmac_FPabKeo37rl3nk3-gIJaC3BJGs0pIMVJ37ht_VNhH8eoKlLCtUo6UCMaqyj9M0s_kUySHqZ7qG9QJ2uYD22CJ5Haxd6Ki1zqPWGW3h-8lKJNT34N9CnLU3P4mxgNUylVXY-M0nbF5qiXUTf-xzXcOe4ln_S3ugMRNnMkwdouvygAnD9-DhsaR3_DyQ7RaiQh-pT2y78xSeBkZtBB9x8L0.qTaKY8sNHpyW9iGuGqvyM8RKCYdkjyrGhPKq0tqj34Q&dib_tag=se&keywords=nail+glue+for+press+ons&qid=1719063183&sr=8-96,https://m.media-amazon.com/images/I/71r6g10e3+L._AC_UL320_.jpg
