Title,Keyword,Search Type,Product Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Revenue,nail,Organic,All,21952.55,1029.0,6.99,65.0,94579.85,3873355.77,0.05,142.89,8277.39
Price,nail,Organic,All,16.03,9.49,9.99,1350.0,27.67,1295.0,0.01,6.99,15.99
Rating,nail,Organic,All,4.15,4.4,4.5,1607.0,0.92,5.0,0.0,4.1,4.6
Reviews Count,nail,Organic,All,1612.12,92.0,1.0,634.0,6494.65,124099.0,1.0,13.0,648.0
Amount Discounted,nail,Organic,All,4.67,2.0,1.0,503.0,11.2,272.49,-0.38,1.0,4.1
Percent Discounted,nail,Organic,All,0.21,0.17,0.13,213.0,0.13,0.93,-0.1,0.11,0.29
Revenue,nail,Organic,Best Seller,314213.01,138478.89,964768.53,3.0,438603.06,1858150.46,147.25,35164.74,380810.26
Price,nail,Organic,Best Seller,14.13,9.99,9.99,17.0,11.97,84.76,1.19,6.99,16.99
Rating,nail,Organic,Best Seller,4.44,4.5,4.4,25.0,0.24,4.9,3.8,4.3,4.6
Reviews Count,nail,Organic,Best Seller,27324.32,9420.0,120747.0,7.0,35579.36,124099.0,18.0,3574.0,42096.0
Amount Discounted,nail,Organic,Best Seller,5.44,4.0,5.0,10.0,6.4,45.24,0.6,2.17,5.01
Percent Discounted,nail,Organic,Best Seller,0.27,0.28,0.23,7.0,0.12,0.54,0.07,0.2,0.35
Revenue,nail,Organic,Past Month Sales Volume,39214.38,4392.26,6.99,9.0,128218.02,3873355.77,3.96,770.32,23078.58
Price,nail,Organic,Past Month Sales Volume,15.31,9.99,9.99,790.0,23.51,434.11,0.84,6.99,15.29
Rating,nail,Organic,Past Month Sales Volume,4.32,4.4,4.5,1053.0,0.53,5.0,0.0,4.2,4.6
Reviews Count,nail,Organic,Past Month Sales Volume,2913.65,388.5,2.0,75.0,8847.76,124099.0,1.0,73.0,1887.75
Amount Discounted,nail,Organic,Past Month Sales Volume,4.95,2.13,1.0,259.0,12.51,272.49,-0.38,1.0,4.99
Percent Discounted,nail,Organic,Past Month Sales Volume,0.22,0.19,0.13,126.0,0.13,0.85,-0.1,0.11,0.3
Revenue,nail,Organic,Prime,22935.47,1166.54,6.99,63.0,98073.27,3873355.77,2.99,161.73,8987.46
Price,nail,Organic,Prime,15.14,8.99,9.99,1291.0,22.61,659.0,0.84,6.99,14.99
Rating,nail,Organic,Prime,4.23,4.4,4.5,1499.0,0.74,5.0,0.0,4.1,4.6
Reviews Count,nail,Organic,Prime,1686.84,106.0,1.0,511.0,6672.91,124099.0,1.0,16.0,720.5
Amount Discounted,nail,Organic,Prime,4.26,2.0,1.0,492.0,10.31,272.49,-0.38,1.0,4.0
Percent Discounted,nail,Organic,Prime,0.21,0.18,0.13,201.0,0.13,0.93,-0.1,0.11,0.29
Revenue,nail,Paid,All,31530.41,1277.44,19.98,3.0,118890.51,1395949.79,4.88,146.79,10139.22
Price,nail,Paid,All,22.55,9.99,9.99,50.0,33.7,359.99,3.48,8.32,19.99
Rating,nail,Paid,All,4.18,4.4,4.5,51.0,0.85,5.0,0.0,4.0,4.6
Reviews Count,nail,Paid,All,2055.41,78.0,2.0,23.0,7900.47,106395.0,1.0,11.0,530.0
Amount Discounted,nail,Paid,All,7.15,3.0,1.0,19.0,13.58,90.0,0.29,1.0,6.08
Percent Discounted,nail,Paid,All,0.21,0.17,0.2,8.0,0.15,0.67,0.05,0.1,0.29
Revenue,nail,Paid,Best Seller,180720.62,175654.76,1318.35,1.0,151695.84,370254.6,1318.35,116381.02,239994.36
Price,nail,Paid,Best Seller,31.56,11.88,3.48,1.0,45.24,98.98,3.48,6.86,36.57
Rating,nail,Paid,Best Seller,4.7,4.7,4.7,4.0,0.0,4.7,4.7,4.7,4.7
Reviews Count,nail,Paid,Best Seller,29589.5,5899.0,165.0,1.0,51374.41,106395.0,165.0,1530.75,33957.75
Amount Discounted,nail,Paid,Best Seller,28.18,2.51,2.0,1.0,44.9,80.02,2.0,2.26,41.26
Percent Discounted,nail,Paid,Best Seller,0.36,0.42,0.2,1.0,0.14,0.45,0.2,0.31,0.44
Revenue,nail,Paid,Past Month Sales Volume,54189.01,5700.4,143.91,2.0,134711.37,919959.79,8.99,844.19,40991.38
Price,nail,Paid,Past Month Sales Volume,22.64,13.0,9.99,27.0,30.76,199.0,3.48,8.99,19.99
Rating,nail,Paid,Past Month Sales Volume,4.27,4.4,4.5,35.0,0.61,5.0,0.0,4.2,4.6
Reviews Count,nail,Paid,Past Month Sales Volume,3794.17,293.0,5.0,4.0,10495.3,106395.0,1.0,64.5,2082.25
Amount Discounted,nail,Paid,Past Month Sales Volume,7.23,4.0,1.0,10.0,12.39,80.02,0.5,1.5,6.1
Percent Discounted,nail,Paid,Past Month Sales Volume,0.23,0.19,0.1,4.0,0.15,0.67,0.05,0.11,0.36
Revenue,nail,Paid,Prime,31079.51,1218.58,23.97,3.0,118983.21,1395949.79,4.88,144.65,10106.91
Price,nail,Paid,Prime,21.47,9.99,9.99,49.0,32.82,359.99,3.48,7.99,19.98
Rating,nail,Paid,Prime,4.2,4.4,4.5,50.0,0.82,5.0,0.0,4.0,4.6
Reviews Count,nail,Paid,Prime,2011.12,79.5,2.0,21.0,7739.22,106395.0,1.0,12.0,533.75
Amount Discounted,nail,Paid,Prime,7.3,3.0,1.0,17.0,13.78,90.0,0.29,1.13,6.1
Percent Discounted,nail,Paid,Prime,0.21,0.17,0.2,8.0,0.15,0.67,0.05,0.1,0.29
Revenue,nail polish,Organic,All,38450.01,2195.32,43.89,57.0,129884.32,1770060.18,1.59,234.9,17307.48
Price,nail polish,Organic,All,13.56,9.99,9.99,212.0,13.26,299.99,0.2,6.99,15.99
Rating,nail polish,Organic,All,3.88,4.3,4.3,238.0,1.29,5.0,0.0,4.0,4.5
Reviews Count,nail polish,Organic,All,3040.7,198.0,11.0,161.0,9879.52,120747.0,1.0,20.0,1332.75
Amount Discounted,nail polish,Organic,All,4.44,2.63,1.0,61.0,5.74,44.98,0.0,1.32,5.0
Percent Discounted,nail polish,Organic,All,0.24,0.2,0.2,31.0,0.15,0.9,0.0,0.13,0.31
Revenue,nail polish,Organic,Best Seller,421028.85,208959.36,169300.53,2.0,466947.71,1770060.18,7235.92,74525.06,701001.06
Price,nail polish,Organic,Best Seller,14.06,9.64,9.99,5.0,11.04,45.99,2.79,6.99,16.44
Rating,nail polish,Organic,Best Seller,4.44,4.5,4.6,9.0,0.23,4.8,3.8,4.4,4.6
Reviews Count,nail polish,Organic,Best Seller,37429.53,16947.0,120747.0,4.0,40520.46,120747.0,832.0,7774.0,60813.75
Amount Discounted,nail polish,Organic,Best Seller,6.05,5.0,5.0,4.0,4.4,17.0,2.0,3.78,5.82
Percent Discounted,nail polish,Organic,Best Seller,0.32,0.33,0.23,3.0,0.12,0.53,0.08,0.23,0.38
Revenue,nail polish,Organic,Past Month Sales Volume,63911.46,9678.79,484683.76,5.0,162452.25,1770060.18,8.0,1773.31,45618.58
Price,nail polish,Organic,Past Month Sales Volume,13.47,9.99,9.99,141.0,9.04,69.99,0.84,7.99,15.99
Rating,nail polish,Organic,Past Month Sales Volume,4.31,4.4,4.3,177.0,0.35,5.0,0.0,4.2,4.5
Reviews Count,nail polish,Organic,Past Month Sales Volume,5161.97,778.0,7.0,6.0,12746.96,120747.0,1.0,163.0,4362.0
Amount Discounted,nail polish,Organic,Past Month Sales Volume,4.62,3.0,1.0,30.0,5.61,44.0,0.0,1.51,5.0
Percent Discounted,nail polish,Organic,Past Month Sales Volume,0.26,0.23,0.23,23.0,0.16,0.79,0.0,0.14,0.35
Revenue,nail polish,Organic,Prime,45095.09,4220.77,79.92,6.0,141520.17,1770060.18,4.99,612.79,24162.98
Price,nail polish,Organic,Prime,14.23,9.99,9.99,199.0,10.96,159.99,0.84,7.99,16.99
Rating,nail polish,Organic,Prime,4.24,4.3,4.4,209.0,0.48,5.0,0.0,4.1,4.5
Reviews Count,nail polish,Organic,Prime,3528.16,327.0,2.0,29.0,10667.71,120747.0,1.0,55.25,1881.0
Amount Discounted,nail polish,Organic,Prime,4.35,3.0,1.0,55.0,5.1,44.0,0.0,1.39,5.0
Percent Discounted,nail polish,Organic,Prime,0.25,0.2,0.2,30.0,0.15,0.79,0.0,0.13,0.33
Revenue,nail polish,Paid,All,85253.43,3768.9,1358.64,3.0,228270.42,1395949.79,13.99,1338.66,20517.49
Price,nail polish,Paid,All,22.22,14.0,9.99,18.0,26.12,139.99,5.99,9.99,20.74
Rating,nail polish,Paid,All,4.32,4.3,4.5,18.0,0.33,5.0,3.2,4.2,4.5
Reviews Count,nail polish,Paid,All,4675.3,266.0,136.0,5.0,10687.07,51721.0,1.0,86.5,1398.75
Amount Discounted,nail polish,Paid,All,9.56,7.0,2.0,3.0,8.38,39.8,1.0,3.0,15.5
